Nuorese	Nuorese	probability
ˈɛ_ɣ	ˈɛ	1.0
ˈo	ˈo	1.0
ʦ	θ	1.0
ʣ_u	j	1.0
ɾ_ˈi	r_ˈi	1.0
ɲ	ɲ	1.0
ɣ	-	1.0
ɡ_ɾ	ʤ	1.0
ɡ	ð	1.0
ɛ_ɾ	e	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
z_ɔ̆_#>	#>	1.0
z	-	1.0
u	o	1.0
t_ɛ_#>	t_#>	1.0
s	s	1.0
r_ɛ	ˈi	1.0
r	r	1.0
n_u_#>	ŋ_#>	1.0
n_a	n	1.0
k_ɾ	ʧ	1.0
k_ɔ	k_o	1.0
j_ˈa	ˈa	1.0
j	-	1.0
f	f	1.0
e	e	1.0
d	d	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#	1.0
<#_b	<#	1.0
<#_a	<#	1.0
ˈa	ˈa	0.955
a	a	0.938
l	l	0.926
ɾ_ɛ_#>	r_#>	0.917
u_#>	#>	0.917
ɾ	r	0.81
p	p	0.792
t	t	0.786
n_ɛ_#>	ŋ_#>	0.778
m	m	0.767
<#_ɡ	<#_ɡ	0.714
n	n	0.708
ˈe	ˈɛ	0.7
o	o	0.667
ˈɔ	ˈo	0.64
ð	-	0.556
β	v	0.538
i	e	0.522
ˈɛ	ˈe	0.5
ˈi	ˈi	0.5
ˈi	ˈe	0.5
ʣ	j	0.5
ʣ	-	0.5
ɔ	o	0.5
ɔ	-	0.5
nː	n	0.5
k	k	0.5
b	b	0.484
ˈu	ˈo	0.48
b	v	0.452
ð	d	0.444
ˈu	ˈu	0.4
ɛ	r	0.385
ˈɛ	ˈɛ	0.375
o	-	0.333
β	-	0.308
ˈe	ˈe	0.3
nː	ɲ	0.3
n	ŋ	0.292
<#_ɡ	<#_j	0.286
ˈɔ	ˈɔ	0.28
ɛ	e	0.269
i	-	0.261
n_ɛ_#>	#>	0.222
i	i	0.217
t	d	0.214
nː	ŋ	0.2
k	θ	0.18
m	ŋ	0.167
β	v_e	0.154
ɛ	a	0.154
ɾ	j	0.143
k	ɡ	0.14
ˈɛ	j_ˈe	0.125
p	-	0.125
ˈu	ˈɔ	0.12
ɛ	o	0.115
k	-	0.1
ɾ_ɛ_#>	#>	0.083
u_#>	s_#>	0.083
p	r	0.083
ˈɔ	r	0.08
k	z	0.08
ɛ	-	0.077
l	-	0.074
m	ŋ_k	0.067
b	-	0.065
a	-	0.062
