Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ˈɛː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	r	1.0
ˈɔ	-	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈeɪ̯	j_ˈoːu̯	1.0
ɪ	ɡ̊_ʏ	1.0
ɡ_#>	k_#>	1.0
ə	-	1.0
ɐ_n	r_t͡n̥	1.0
ɐ_d	r_ð	1.0
z̥_#>	s_#>	1.0
tʰ	tʰ	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
k	-	1.0
j	ɟ̊	1.0
i	ɣ_u	1.0
f	f	1.0
d_ɐ	ʰt͡n̥	1.0
aɪ̯	aːu̯	1.0
<#_ʒ	<#	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_r	<#_r̥	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
v	v	0.913
z	s	0.905
ˈuː	ˈuː	0.846
ˈiː	ˈiː	0.846
b	b̥	0.75
h	h	0.722
f_#>	v_ʏ_r̥_#>	0.714
m	m	0.697
ˈøː	-	0.667
s	s	0.667
ˈaː	-	0.6
kʰ	kʰ	0.6
t	t	0.583
ˈɔʏ̯	-	0.556
ˈʊ	ˈʏ	0.538
#>	ʏ_r̥_#>	0.526
<#_d	<#_θ	0.519
ˈɛ	j	0.5
ʃ	s	0.5
l	l	0.5
d_#>	ʏ_r̥_#>	0.5
d_#>	#>	0.5
<#_d	<#_d̥	0.481
ç	r̥	0.462
ˈeː	-	0.455
ˈʏ	ˈɪ	0.444
ˈɔʏ̯	ˈaːi̯	0.444
ˈyː	ˈiː	0.4
ˈyː	-	0.4
ˈaː	ˈa_r	0.4
kʰ	cʰ	0.4
ç	-	0.385
d	t	0.383
ˈoː	-	0.364
d	ð	0.362
ŋ	ŋ_ɡ̊	0.357
ˈʏ	-	0.333
ˈøː	ˈɔː	0.333
x	-	0.333
s	s_t	0.333
ˈaʊ̯	-	0.31
n	a	0.309
ˈʊ	ˈu	0.308
ɐ	r̥	0.3
ˈɪ	ˈɪ	0.296
n	n	0.294
ˈa	ˈa	0.292
ŋ	a	0.286
f_#>	#>	0.286
ˈaʊ̯	ˈoːu̯	0.276
ʃ	s_k	0.273
ɐ	ɪ	0.267
ˈɪ	-	0.259
ˈɛ	ˈɛː	0.25
ˈɛ	-	0.25
t	ʰt	0.25
ˈaʊ̯	ˈœːy̯	0.241
#>	r̥_#>	0.237
ɡ	ɟ̊	0.235
ɡ	k	0.235
ˈoː	ˈɑːu̯	0.227
ʃ	s_c	0.227
l	t͡l̥	0.225
ˈʏ	ˈʏ	0.222
x	ˈɔu̯	0.222
x	ʰt	0.222
x	ɣ	0.222
ŋ	ŋ	0.214
ˈa	ˈaː	0.208
ˈyː	i	0.2
l	l̥	0.2
d	d̥	0.191
#>	a_#>	0.186
ˈeː	ˈɪː	0.182
ˈeː	ˈɛː	0.182
ˈeː	ˈɛ	0.182
b	p	0.179
ɡ	ʰk	0.176
ɡ	ɡ̊	0.176
ˈaɪ̯	ˈɛːi̯	0.167
ˈaɪ̯	j_ˈuː	0.167
ˈaɪ̯	j_ˈoːu̯	0.167
ˈa	ˈɑu̯	0.167
t	-	0.167
h	ç	0.167
ˈʊ	-	0.154
ˈuː	ˈʏ	0.154
ˈiː	j_ˈɛː	0.154
ç	ɣ	0.154
ˈɪ	ˈɛ	0.148
ˈɪ	ˈi	0.148
ŋ	-	0.143
ˈoː	ˈɔː	0.136
ˈoː	ˈaː	0.136
ˈoː	ˈa	0.136
ɐ	r	0.133
n	-	0.132
ˈaɪ̯	ˈiː	0.125
ˈaɪ̯	-	0.125
m	v_a	0.121
ɡ	c	0.118
n	nː	0.118
h	h_ˈɛːi̯	0.111
ˈaʊ̯	ˈɔ	0.103
ɐ	r_ɪ	0.1
z	s_j	0.095
v	-	0.087
ˈaɪ̯	ˈɛː	0.083
ˈaɪ̯	ˈɛi̯	0.083
ˈaɪ̯	j	0.083
ˈa	ˈɛ	0.083
ˈa	ˈœ	0.083
ˈa	ˈa_r̥	0.083
ˈa	-	0.083
l	-	0.075
ˈɪ	ˈɪː	0.074
ˈɪ	j	0.074
b	-	0.071
ˈaʊ̯	ˈaːu̯	0.069
ɐ	ʏ	0.067
ɐ	ɡ̊_ʏ	0.067
ɐ	a_r̥	0.067
d	ʰt	0.064
m	v	0.061
m	p_n̥	0.061
m	a	0.061
ɡ	ʰc	0.059
n	t͡n̥	0.059
