Galician	Western Lombard	probability
f	f	1.0
k	k	1.0
l	l	1.0
p	p	1.0
r	r	1.0
s	s	1.0
ŋ	-	1.0
ɪ	a	1.0
ˈɑ	ˈa	1.0
n	n	0.701
ð	t	0.311
ʧ	ʧ	0.311
ˈi	ˈĩː	0.21
ˈo	ˈy	0.11
ˈu	ˈu	0.1
ˈɔ	ˈɔ	0.441
ˈɛ	ˈe	0.321
β	-	0.201
θ	ʦ	0.101
b	ʋ	0.582
w	w	0.302
ʎ	j	0.342
ˈu	ˈyː	0.192
θ	ʧ	0.222
a	a	0.643
b	b	0.353
n	-	0.273
ɐ	a	0.793
ɡ	k	0.173
ˈe	ˈe_j	0.073
ˈo	ˈyː	0.153
θ	-	0.283
θ	s	0.353
d	t	0.084
e	-	0.154
i	ĩ	0.114
j	-	0.794
o	o	0.24
ɣ	-	0.554
ɲ	ɲ	0.934
ʃ	-	0.054
ʊ	-	0.394
ˈa	ˈaː	0.214
ˈe	ˈeː	0.074
ˈo	ˈo	0.084
ˈo	ˈu	0.294
ˈɔ	ˈøː	0.214
β	ʋ	0.724
b	ʋ_e	0.065
m	-	0.085
m	m	0.915
t	ʦ	0.055
ˈe	ˈi	0.125
ˈe	-	0.135
ˈo	ˈɔ	0.115
β	b	0.075
d	d	0.916
i	-	0.886
j	j	0.206
o	u	0.76
t	t	0.856
ɣ	ɡ	0.446
ɲ	-	0.066
ɾ	r	0.726
ˈa	ˈa	0.786
e	e	0.387
ɡ	ɡ	0.827
ɾ	-	0.27
ʃ	s	0.157
ʊ	u	0.107
ˈe	ˈa	0.077
ˈo	-	0.057
ˈɔ	ˈu	0.257
t	t_e	0.088
w	-	0.698
ɐ	-	0.098
ˈe	ˈɛ̃ː	0.068
ˈe	ˈɛ	0.128
ˈɔ	ˈø	0.088
a	ˈa	0.329
e	i	0.459
ð	d	0.689
ɐ	n_a	0.109
ʃ	ʤ	0.789
ʊ	ˈø	0.499
ʎ	ʤ	0.239
ʎ	-	0.419
ʧ	j	0.689
ˈe	ˈe	0.319
ˈi	ˈi	0.79
ˈo	ˈũː	0.069
ˈo	ˈø	0.119
ˈu	ˈi	0.059
ˈu	ˈy	0.649
ˈɛ	ˈɛ	0.679
