Swiss German	West Flemish	probability
b̥	b	0.644
b̥	f	0.154
b̥	v	0.142
b̥	-	0.056
d̥	t	0.44
d̥	d	0.415
d̥	-	0.127
f	v	0.913
f	p	0.077
fː	p	0.512
h	-	0.874
h	k	0.086
h	z	0.052
i	-	0.403
i	ə	0.237
i	ɪ	0.164
i	m	0.068
j	j	1.0
k	k	1.0
l	l	0.85
l	w	0.06
l	-	0.052
l	n	0.038
l_t	t	1.0
m	m	1.0
mː	m	0.135
n	n	0.955
n	-	0.05
p	p	0.723
p	f	0.213
p͡f	p	0.891
p͡f	f	0.077
r	ɾ	0.944
r	-	0.057
s	z	0.509
s	s	0.321
s	t	0.125
s	-	0.041
sː	t	0.974
sː	s	0.045
t	t	0.619
t	d	0.314
t	-	0.063
tː	-	0.5
tː	d	0.5
w	w	0.512
ŋ	ŋ	0.701
ŋ	n_t	0.288
ə	n	0.386
ə	-	0.366
ə	ə	0.242
ɡ̊	ɦ	0.583
ɡ̊	-	0.214
ɡ̊	h	0.12
ʃ	s	0.605
ʃ	z	0.155
ʃ	ʃ	0.124
ʃ	ɾ_s	0.094
ʃː	s	0.263
ʋ	ʋ	0.944
ʋ	-	0.06
ʦ	t	1.0
ˈa	ˈɔ	0.218
ˈa	ˈu	0.218
ˈa	ˈæ	0.139
ˈa	ˈɑ	0.139
ˈau̯	ˈoː	0.699
ˈau̯	ˈu	0.16
ˈe	ˈeː	0.253
ˈe	ˈiə̯	0.171
ˈe	ˈæ	0.162
ˈe	ˈɒː	0.162
ˈe	ˈɛ	0.116
ˈei̯	ˈɛː	0.725
ˈei̯	ˈi	0.116
ˈei̯	ˈeː	0.074
ˈeː	ˈiə̯	0.594
ˈeː	ˈɛː	0.392
ˈi	ˈɪ	0.561
ˈi	ˈɛ	0.189
ˈi	ˈæ	0.148
ˈi	ˈeː	0.085
ˈiə̯	ˈiə̯	0.379
ˈiə̯	ˈœ	0.287
ˈiː	ˈi	0.752
ˈiː	ˈyː	0.11
ˈiː	ˈɛ	0.11
ˈo	ˈɔ	0.359
ˈo	ˈoː	0.312
ˈo	ˈœ	0.087
ˈo	ˈɒː	0.074
ˈo	ˈøː	0.073
ˈou̯	ˈoː	0.771
ˈou̯	ˈɔ	0.222
ˈoː	ˈoː	0.757
ˈoː	ˈɒː	0.148
ˈoː	ˈøː	0.085
ˈu	ˈu	0.433
ˈu	ˈɔ	0.317
ˈu	ˈœ	0.151
ˈu	ˈʏ	0.087
ˈuə̯	ˈuə̯	1.0
ˈuː	ˈyː	0.702
ˈuː	ˈu	0.296
ˈy	ˈæ	0.32
ˈy	ˈiə̯	0.216
ˈy	ˈɪ	0.178
ˈy	ˈoː	0.105
ˈyə̯	ˈuə̯	1.0
ˈyː	ˈiə̯	0.68
ˈyː	ˈuə̯	0.114
ˈyː	ˈyː	0.07
ˈyː	ˈœ	0.07
ˈyː	ˈeː	0.07
ˈæ	ˈeː	0.316
ˈæ	ˈæ	0.253
ˈæ	ˈɛ	0.145
ˈæ	ˈɑ	0.127
ˈæ	ˈɛː	0.072
ˈæi̯	j	0.388
ˈæi̯	ˈɛː	0.199
ˈæː	ˈeː	0.467
ˈæː	ˈiə̯	0.171
ˈæː	ˈɒː	0.123
ˈæː	ˈæ	0.109
ˈø	ˈɔ	0.461
ˈø	ˈœ	0.271
ˈø	ˈɑ	0.094
ˈøi̯	ʋ	0.574
ˈøi̯	ˈɛː	0.294
ˈøː	ˈoː	1.0
ˈɒ	ˈɑ	0.597
ˈɒ	ˈɒː	0.265
ˈɒ	ˈu	0.08
ˈɒ	ˈøː	0.054
ˈɒː	ˈɒː	0.731
ˈɒː	ˈɑ	0.266
ˈɛi̯	ˈɛː	0.723
ˈɛi̯	ˈɛ	0.213
χ	k	0.661
χ	h	0.316
χ	-	0.037
χ_s	s	1.0
