Swiss German	East Franconian	probability
ˈøː	ˈeː	1.0
ˈøi̯	-	1.0
ˈø	ˈɛ	1.0
ˈæi̯	ˈaː	1.0
ˈyə̯	ˈiː	1.0
ˈuə̯	ˈuː	1.0
ˈo_n	ˈoː_n	1.0
ˈo	ˈɔ	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈiː	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈaː	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ɣ̊	kʰ	1.0
ɡ̊_ə	ŋ	1.0
ɡ̊_r	ɡ̊_r	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
æ	eː	1.0
v̥	f	1.0
tː	ɾ	1.0
t	d̥	1.0
r_n	ɐ_n	1.0
p͡f	b̥͡v̥	1.0
p	-	1.0
n_ə	n_a	1.0
n_d̥	n	1.0
m	m	1.0
lː	l	1.0
l_ə	l	1.0
l	l	1.0
k͡χ	ɡ̊	1.0
j	j	1.0
h	h	1.0
d̥_ə	ɾ	1.0
d̥_r	d̥_r	1.0
d̥	d̥	1.0
b̥	b̥	1.0
n	n	0.945
ʋ	v	0.939
ˈuː	ˈaʊ̯	0.875
ˈɒː	ˈoː	0.857
f	f	0.842
z̥	s	0.811
ˈɒ	ˈɒ	0.804
ˈy	ˈɪ	0.787
ˈu	ˈʊ	0.764
ʃ	ʃ	0.754
ə	n	0.711
ˈæ	ˈɛ	0.709
b̥_ə	β	0.696
ˈoː	ˈuː	0.686
r	ɐ	0.686
ˈi	ˈɪ	0.676
ɡ̊ː	ɡ̊	0.635
fː	v̥	0.593
sː	z̥	0.588
χː	-	0.569
ɡ̊	ɡ̊	0.569
ˈyː	ˈaɪ̯	0.548
s	z̥	0.543
ˈæː	ˈeː	0.506
ˈæː	-	0.494
i	-	0.462
s	s	0.457
ˈyː	ˈiː	0.452
sː	s	0.412
fː	f	0.407
ɡ̊ː	ɡ̊_n	0.365
χ	ç	0.333
χ	x	0.329
ˈi	ˈiː	0.324
ˈoː	ˈoː	0.314
r	r	0.314
b̥_ə	m	0.304
ɡ̊	ɣ̊	0.29
i	ɪ	0.269
i	i	0.269
ʃ	s	0.246
χː	ɣ̊	0.22
ə	a	0.219
ˈy	ˈaɪ̯	0.213
χː	x	0.212
ˈæ	-	0.194
χ	ɡ̊	0.193
z̥	z̥	0.189
ˈu	ˈɔ	0.181
f	f_a	0.158
χ	-	0.145
ˈɒː	ˈɒ	0.143
ˈuː	-	0.125
ˈɒ	ˈoː	0.117
ɡ̊	-	0.099
ˈæ	ˈeː	0.097
ə	ŋ	0.07
ʋ	v_ˈɔ	0.061
ˈu	-	0.056
n	-	0.055
ˈɒ	ˈa	0.052
