Westphalian	Swabian	probability
b	b	1.0
f	f	1.0
h	h	1.0
j	j	1.0
l	l	1.0
m	m	1.0
r	ʁ	1.0
z	s	1.0
ə	e	1.0
ɡ	ɡ	1.0
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ˈoː	ˈuə̯	1.0
ˈuː	ˈao̯	1.0
ˈuːə̯	ˈu	1.0
ˈyː	ˈəi̯	1.0
ˈɛː	ˈɛ	1.0
ˈʏ	ˈu	1.0
n	a	0.381
ç	ɡ	0.91
ˈaɪ̯	ˈae̯	0.351
ˈɔ	ˈa	0.881
ˈɛ	ˈa	0.161
n	-	0.172
v	ʋ	0.72
ŋ	ŋ	0.812
ˈɛ	ˈe	0.132
ˈɪɛ̯	ˈɛ	0.782
t	d	0.293
t	s	0.373
x	x	0.283
ˈaː	ˈa	0.943
ˈøː	ˈiə̯	0.263
ˈɪ	ˈɪ	0.213
k	ç	0.314
p	f	0.914
s	s	0.724
ɐ	-	0.264
ʋ	-	0.184
ˈa	ˈɛ	0.054
ˈaʊ̯	ˈoː	0.684
ˈeː	ˈae̯	0.164
ˈɪ	ˈəi̯	0.064
d	d	0.985
n	n	0.395
t	ʦ	0.335
v	b	0.255
ˈɔː	ˈo	0.205
ˈɔː	ˈoː	0.35
ˈɪ	ˈi	0.285
ˈʊ	ˈao̯	0.225
ˈʊ	ˈo	0.775
p	b̥͡f	0.086
ʋ	ʋ	0.816
ˈa	ˈa	0.946
ˈaʊ̯	ˈao̯	0.316
ˈeː	ˈɔe̯	0.836
ˈiː	ˈəi̯	0.976
ˈɔː	ˈɔː	0.446
s	ɡ_s	0.067
x	ɡ	0.717
ɐ	d_ʌ	0.167
ˈaː	ˈaː	0.057
ˈøː	ˈuə̯	0.737
ˈɛ	ˈɛ	0.707
k	x	0.118
ŋ	ɡ	0.188
ˈɪ	ˈe	0.438
ˈɪɛ̯	ˈeː	0.218
k	ɡ	0.209
k	kʰ	0.359
s	ʃ	0.209
ç	ç	0.09
ɐ	ʌ	0.569
ˈaɪ̯	ˈiə̯	0.649
ˈɔ	ˈɔ	0.119
