Westphalian	Swabian	probability
b	b	0.888
b	f	0.07
b	-	0.048
d	d	0.914
d	t	0.05
d	-	0.033
f	f	0.888
f	b	0.102
h	h	1.0
j	j	1.0
k	kʰ	0.354
k	ç	0.235
k	ɡ	0.222
k	x	0.115
k	-	0.066
l	l	1.0
m	m	0.885
m	a	0.111
n	n	0.422
n	a	0.381
n	-	0.173
p	f	0.584
p	b̥	0.136
p	b̥͡f	0.136
p	p͡f	0.136
r	ʁ	1.0
s	s	0.82
s	ʃ	0.176
t	d	0.415
t	ʦ	0.291
t	s	0.291
v	b	0.578
v	ʋ	0.182
v	f	0.118
v	m	0.08
w	ʋ	1.0
x	ɡ	0.731
x	x	0.26
z	s	0.594
z	ʁ	0.392
ç	ɡ	0.62
ç	ç	0.263
ç	x	0.08
ŋ	ŋ	0.849
ŋ	ɡ	0.123
ɐ	ʌ	0.602
ɐ	-	0.351
ɐ	e	0.044
ə	-	0.822
ə	e	0.111
ə	a	0.062
ɡ	ɡ	1.0
ɣ	ɡ	0.683
ɣ	-	0.221
ɪ	ɪ	0.53
ɪ	-	0.461
ʃ	ʃ	1.0
ʃ_k	ʃ	1.0
ˈa	ˈa	0.769
ˈa	ˈɛ	0.097
ˈa	ˈa_ʕ	0.056
ˈa	ˈaː	0.046
ˈa	ˈɔː	0.038
ˈa_n	ˈaː	0.491
ˈaɪ̯	ˈiə̯	0.253
ˈaɪ̯	ˈeː	0.188
ˈaɪ̯	ˈae̯	0.163
ˈaɪ̯	ˈeə̯	0.124
ˈaɪ̯	ˈiː	0.124
ˈaʊ̯	ˈoː	0.416
ˈaʊ̯	ˈao̯	0.393
ˈaʊ̯	ˈaː	0.105
ˈaʊ̯	ˈuə̯	0.076
ˈaː	ˈa	0.654
ˈaː	ˈaː	0.339
ˈeː	ˈɔe̯	0.808
ˈeː	ˈi	0.098
ˈeː	ˈae̯	0.073
ˈiə̯	ˈi	0.241
ˈiɛ̯	ˈe	1.0
ˈiː	ˈəi̯	0.712
ˈiː	ˈi	0.145
ˈiː	ˈɛ	0.096
ˈiː	ˈiː	0.043
ˈoː	ˈuə̯	0.52
ˈoː	ˈuː	0.168
ˈoː	ˈɔə̯	0.168
ˈoː	ˈu	0.118
ˈuə̯	ˈoː	0.5
ˈuə̯	ˈuə̯	0.5
ˈuː	ˈao̯	0.603
ˈuː	ˈae̯	0.126
ˈuː	ˈo	0.121
ˈuː	ˈuː	0.085
ˈuːə̯	ˈoː	0.425
ˈuːə̯	ˈu	0.28
ˈuːə̯	ˈɔ	0.28
ˈyː	ˈəi̯	0.891
ˈyː	ˈɔ	0.068
ˈyːœ̯	ˈi	0.241
ˈø	ˈae̯	0.491
ˈøː	ˈeː	0.315
ˈøː	ˈiə̯	0.204
ˈøː	ˈiː	0.155
ˈøː	ˈeə̯	0.1
ˈœː	ˈeː	0.392
ˈœː	ˈɛː	0.392
ˈœː	ˈɔ	0.125
ˈɒː	ˈaː	0.118
ˈɔ	ˈa	0.553
ˈɔ	ˈɔ	0.303
ˈɔ	ˈu	0.092
ˈɔː	ˈɔː	0.565
ˈɔː	ˈo	0.167
ˈɔː	ˈoː	0.167
ˈɔː	ˈaː	0.084
ˈɛ	ˈɛ	0.329
ˈɛ	ˈe	0.195
ˈɛ	ˈa	0.17
ˈɛ	ˈaː	0.112
ˈɛ	ˈɛː	0.112
ˈɛː	ˈɛ_ʕ	0.363
ˈɛː	ˈaː	0.24
ˈɛː	ˈɛː	0.044
ˈɪ	ˈi	0.378
ˈɪ	ˈɪ	0.214
ˈɪ	ˈe	0.12
ˈɪ	ˈəi̯	0.111
ˈɪ	ˈa	0.064
ˈɪə̯	ˈiː	0.28
ˈɪə̯	ˈɛː	0.28
ˈɪə̯	ˈae̯	0.172
ˈɪə̯	ˈɔː	0.172
ˈɪɛ̯	ˈʌ	0.214
ˈɪɛ̯	ˈeː	0.162
ˈɪɛ̯	ˈɛ	0.155
ˈɪɛ̯	ˈeə̯	0.123
ˈɪɛ̯	ˈi	0.123
ˈʊ	ˈo	0.646
ˈʊ	ˈao̯	0.351
ˈʏ	ˈo	0.287
ˈʏ	ˈu	0.287
ˈʏ	ˈɛ	0.162
ˈʏ	ˈɪ	0.162
