Polish	Macedonian	probability
a	a	1.0
b	b	1.0
d	d	1.0
k	k	1.0
m	m	1.0
n	n	1.0
p	p	1.0
r	r	1.0
s	s	1.0
t	t	1.0
v	v	1.0
w	ɫ	1.0
x	f	1.0
z	z	1.0
ɕ	s	1.0
ɨ	i	1.0
ɲ	n	1.0
ʈ͡ʂ	ʧ	1.0
ʑ	z	1.0
ʥ	d	1.0
ʦ	ʦ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈi	1.0
j	-	0.181
l	ɫ	0.421
ʐ	-	0.21
ˈa	ˈɛ	0.911
ˈɔ	ɛ	0.061
j	j	0.362
ɡ	ɡ	0.942
ɔ	o	0.873
ʨ	t	0.703
ɛ	ɛ	0.824
ʐ	ʒ	0.224
ˈɔ	ˈo	0.444
f	v	0.245
f	f	0.755
ʂ	r	0.15
ʂ	ʃ	0.85
ˈu	ˈa	0.135
ˈɛ	ˈo	0.075
ˈɛ	ˈɛ	0.745
ʐ	r	0.566
ˈu	ˈo	0.516
j	ɛ	0.457
ɔ	a	0.107
ɛ	u	0.077
ʨ	-	0.297
ˈɔ	ˈa	0.347
ɡ	-	0.058
ˈɛ	ˈa	0.18
l	l	0.579
ɛ	ˈɛ	0.099
ˈa	ˈa	0.089
ˈu	ˈu	0.349
ˈɔ	ˈɛ	0.149
