Spanish	Spanish	probability
β_j	j	1.0
β_e	ɛ	1.0
ˈu	ˈu	1.0
ˈi_n	ˈi_n	1.0
ˈe_θ	ɣ_ɛ	1.0
ˈe_β	ɛ	1.0
ˈe_ʧ	ˈe_t	1.0
ˈe_ŋ	ŋ	1.0
ˈe_r	r	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ɾ_β	ɾ_b	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_ð	ɾ_d	1.0
ɾ_t	ɾ	1.0
ɾ_n	r	1.0
ŋ	m	1.0
u	u	1.0
t_ˈa	ɛ	1.0
t_e	t_ɛ	1.0
t	t	1.0
s_#>	z_ɔ̆_#>	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
n_ˈo	n_ˈɔ	1.0
n_#>	n_ɛ_#>	1.0
l_#>	l_ɛ_#>	1.0
j_#>	ɣ_ɛ_#>	1.0
i	i	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b_e	b_i	1.0
a_#>	#>	1.0
<#_θ	<#_k	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
m	m	0.944
ɾ	ɾ	0.909
n	n	0.872
l	l	0.857
k	k	0.857
ð	ð	0.85
b	b	0.839
#>	ɛ_#>	0.833
a	a	0.82
ˈe_ɾ	ɛ_ɾ	0.778
ɾ_o	ɾ_u	0.75
s	s	0.75
<#_e	<#_i	0.75
ˈi	ˈi	0.733
o	u	0.717
ɾ_a	ɾ_a	0.714
ʝ	ɖː	0.7
<#	<#_f	0.682
ɣ	ɣ	0.667
j_ˈe	ˈɛ	0.6
x	ʣ	0.571
w_ˈe	ˈo	0.542
ɡ	b	0.5
b_ɾ	ɛ_n	0.5
b_ɾ	i_n	0.5
w_ˈe	ˈɔ	0.458
e	ɛ	0.455
ɲ	n_ʣ	0.444
w	-	0.444
j_ˈe	ˈe	0.4
ˈe	ˈi	0.389
β	β	0.375
β	-	0.375
j	ˈɛ	0.364
ˈo	ˈɔ	0.35
θ	ɣ	0.333
ɲ	nː	0.333
ɟ͡ʝ	p	0.333
ɟ͡ʝ	k_ɾ	0.333
ɟ͡ʝ	-	0.333
w	ˈu	0.333
ˈo	ˈu	0.325
ˈe	ˈɛ	0.306
ʝ	-	0.3
ɡ	ɡ	0.3
ɾ_a	a	0.286
x	j	0.286
j	ˈi	0.273
ɾ_o	u	0.25
s	z	0.25
<#_e	<#_f	0.25
θ	-	0.238
ˈe_ɾ	ɛ	0.222
ɲ	ɲ	0.222
w	ˈɔ	0.222
ˈo	ˈo	0.2
ɣ	-	0.2
ɡ	-	0.2
θ	k	0.19
j	ˈe	0.182
j	-	0.182
<#	<#_b	0.182
e	ˈɛ	0.152
e	i	0.152
ð	t	0.15
θ	ʦ	0.143
x	ɣ	0.143
ˈe	ˈe	0.139
<#	<#_i	0.136
ɣ	ɡ	0.133
o	ɔ	0.131
#>	u_#>	0.13
β	ɾ	0.125
β	ɛ	0.125
ˈo	ˈa	0.125
ˈi	ɛ	0.1
ˈi	-	0.1
b	-	0.097
θ	ʣ	0.095
l	-	0.095
ɾ	ɛ_ɾ	0.091
e	u	0.091
e	a	0.091
ˈe	ˈi_s	0.083
ˈe	ɛ	0.083
n	nː	0.077
k	b	0.071
k	-	0.071
ˈi	ˈe	0.067
b	b_ˈi	0.065
o	ˈɔ	0.061
e	e	0.061
m	-	0.056
a	ˈa	0.056
n	-	0.051
