Alsatian	Swiss German	probability
b̥	b̥	1.0
d̥	d̥	0.679
d̥	t	0.307
e	-	0.241
f	f	0.954
f	fː	0.046
h	h	1.0
i	i	1.0
i_ʃ	χ	0.241
j	ɡ̊	0.668
j	j	0.229
k	χ	0.432
k	ɡ̊_ɡ̊	0.367
k	k	0.132
kʰ	χ	0.955
kʰ	-	0.048
l	l	0.883
l	l_ə	0.06
l	-	0.033
l	ə_l	0.033
m	m	0.962
m	mː	0.046
n	n	0.745
n	-	0.193
n	nː	0.03
n	ŋ	0.03
n_d̥	ŋ	1.0
p	p	0.491
p͡f	p͡f	0.417
p͡f	p	0.076
s	s	0.712
s	sː	0.288
t	t	0.885
t	tː	0.055
t	d̥	0.036
t	-	0.033
v	ɡ̊	0.561
v	b̥	0.275
w	ʋ	1.0
x	χ	1.0
ŋ	ŋ	0.843
ŋ	ŋ_ɡ̊	0.101
ə	ə	0.974
ə	-	0.032
ɡ̊	ɡ̊	0.935
ɡ̊	χ	0.062
ʁ	r	0.98
ʁ	rː	0.028
ʁ_i	r	1.0
ʃ	ʃ	0.719
ʃ	χ	0.212
ʃ	ɡ̊	0.065
ʋ	ʋ	0.928
ʋ	ɡ̊	0.072
ʦ	ʦ	1.0
ˈai̯	ˈøi̯	0.491
ˈaː	ˈɒ	0.574
ˈaː	ˈæ	0.282
ˈe	ˈæ	0.447
ˈe	ˈe	0.218
ˈe	ˈø	0.218
ˈe	ˈi	0.093
ˈei̯	ˈyː	0.316
ˈei̯	ˈei̯	0.226
ˈei̯	ˈøi̯	0.127
ˈeː	ˈeː	0.366
ˈeː	ˈøː	0.25
ˈeː	ˈæː	0.143
ˈeː	ˈe	0.104
ˈeː	ˈi	0.104
ˈi	ˈi	0.548
ˈi	ˈy	0.244
ˈi	ˈyː	0.082
ˈi	ˈøː	0.062
ˈi	ˈiə̯	0.052
ˈiː	ˈyː	0.3
ˈiː	ˈiː	0.273
ˈiː	ˈyə̯	0.161
ˈiː	ˈiə̯	0.113
ˈiː	ˈy	0.063
ˈo	ˈo	0.671
ˈo	ˈoː	0.166
ˈo	ˈu	0.091
ˈo	ˈou̯	0.052
ˈoː	ˈoː	0.549
ˈoː	ˈɒː	0.281
ˈoː	ˈo	0.158
ˈu	ˈu	0.738
ˈu	ˈo	0.132
ˈu	ˈøi̯	0.089
ˈyː	ˈuː	1.0
ˈæ	ˈæ	0.702
ˈæ	ˈæː	0.266
ˈæː	ˈæ	0.447
ˈæː	ˈeː	0.257
ˈæː	ˈæː	0.207
ˈø	ˈo	1.0
ˈøi̯	ˈuː	0.241
ˈøː	ˈuə̯	1.0
ˈœ	ˈou̯	1.0
ˈɒ	ˈɒ	0.662
ˈɒ	ˈa	0.151
ˈɒ	ˈæ	0.054
ˈɒ	ˈe	0.054
ˈɒ	ˈø	0.049
ˈɒ_n	ˈɒː	1.0
ˈɒː	ˈɒ	0.519
ˈɒː	ˈɒː	0.478
ˈɔi̯	ˈau̯	0.491
ˈəi̯	ˈæi̯	0.336
ˈəi̯	ˈei̯	0.286
ˈəi̯	ˈɛi̯	0.264
ˈəi̯	ˈøi̯	0.095
ˈɛ	ˈæ	1.0
ˈʊː	ˈuə̯	0.605
ˈʊː	ˈau̯	0.154
ˈʊː	ˈou̯	0.134
ˈʊː	ˈyə̯	0.087
