East Frisian Low Saxon	Old English	probability
ˈʊə̯	ˈu	1.0
ˈɛə̯	ˈe	1.0
ˈɛ_b	bː	1.0
ˈɔː_ɐ	r	1.0
ˈɒːɒ̯	ˈɑ	1.0
ˈɑːʊ̯	-	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈoː	1.0
ˈœy̯	ˈeː	1.0
ˈœ	ˈu	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈeː	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈeːo̯	1.0
ˈyːʏ̯	ˈy	1.0
ˈuːu̯	ˈuː	1.0
ˈoːo̯	ˈæːɑ̯	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	-	1.0
ʊ	ˈoː	1.0
ɫ	l_e	1.0
ɡ̊	ɡ	1.0
ɡ_r	ɡ_r	1.0
ə	-	1.0
ɑɪ̯	iːy̯	1.0
ɐ_n	r_n	1.0
w	w	1.0
v̥	v	1.0
s_k	ʃ	1.0
r	r	1.0
o	ˈæɑ̯	1.0
n_s	ʃː	1.0
k_n	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
s	s	0.906
m	m	0.903
p	p	0.902
t	t	0.891
z	s	0.864
ˈʊ	ˈu	0.829
ˈuː	ˈuː	0.817
ˈɑʊ̯	ˈoː	0.8
ˈɪ	ˈi	0.789
ˈɑːɑ̯	-	0.77
ŋ	ŋ_ɡ	0.762
n	n	0.758
d̥	d	0.728
d	θ	0.625
ˈɔ	ˈo	0.603
v	w	0.602
ˈʏə̯	ˈy	0.6
ˈɛːɪ̯	-	0.6
l	l	0.583
ˈɑː	ˈæɑ̯	0.567
ɐ	r	0.543
ˈæɪ̯	ˈɑː	0.54
k	k	0.539
ˈɑ	ˈɑ	0.516
χ	ç	0.5
χ	x	0.5
ˈoː	ˈæːɑ̯	0.478
ˈɛ	ˈe	0.451
ɣ̊	ʤ	0.439
ˈʏə̯	-	0.4
ˈɛːɪ̯	ˈeːo̯	0.4
l	ɫ	0.388
ˈæɪ̯	ˈeːo̯	0.377
ˈɛ	ˈi	0.361
k	ʧ	0.336
ˈøː	ˈu	0.334
ˈøː	-	0.334
ɣ̊	ɣ̊	0.326
ˈoː	ˈo	0.305
ˈeː	ˈeo̯	0.3
ˈeː	ˈe	0.3
ˈʏ	ˈy	0.299
ˈʏ	ˈeːo̯	0.299
ˈʏ	-	0.299
ˈɑː	ˈeo̯	0.27
ɡ	j	0.264
ˈɑ	ˈæ	0.252
ŋ	ŋ	0.238
ɣ̊	ɣ_e	0.236
ɐ	e_r	0.231
ˈɑːɑ̯	ˈæɑ̯	0.23
ɡ	ɡ	0.224
ˈoː	-	0.216
ɡ	ɣ_ɑ	0.211
ˈɔ	-	0.201
ˈɑʊ̯	ˈeː	0.2
ˈeː	ˈi	0.2
ˈeː	-	0.2
ˈøː	ˈiːy̯	0.199
ˈɔ	ˈæɑ̯	0.196
ˈɛ	-	0.189
ˈɒː	ˈæː	0.186
ˈɒː	ˈæ	0.186
ˈuː	ˈyː	0.183
d̥	θ	0.183
ˈɒː	ˈɑ	0.181
ˈɒː	n	0.177
ɡ	ɣ	0.173
ˈʊ	ˈuː	0.171
ˈɑː	xː	0.163
d	d	0.16
ɐ	o_r	0.136
z	z	0.136
ˈɒː	ˈæːɑ̯	0.135
ˈɒː	-	0.135
ˈøː	ˈo	0.133
v	v_ɑ	0.133
d	d_ɑ	0.133
ɡ	ɑ	0.128
ˈɪ	-	0.124
v	h_w	0.117
ˈʏ	ˈɛ	0.104
p	pː	0.098
m	ɑ_n	0.097
s	k_s	0.094
n	nː	0.094
d̥	d_e	0.089
t	tː	0.088
ˈɪ	ˈeː	0.087
ˈæɪ̯	-	0.083
d	dː	0.082
ˈɑ	ˈæɑ̯	0.077
ˈɑ	ˈi	0.077
ˈɑ	-	0.077
v	v	0.077
n	n_d	0.076
v	w_ˈi	0.071
ɐ	r_e	0.063
k	ʧː	0.062
