Icelandic	Proto-Germanic	probability
a	n_ɑ̃	0.445
a	ɔ̃ː	0.201
a	j	0.113
a	ɔːː	0.079
a	ɑ	0.044
b̥	b	1.0
c	k	0.715
c	kʷ	0.198
cʰ	k	1.0
d̥	d	0.94
d̥	ð	0.051
d̥	ɸ	0.034
f	ɸ	0.954
f	β	0.049
h	x	0.892
h	k	0.054
h	-	0.054
i	iː	0.493
j	ˈe	0.325
j	j	0.186
j	ˈe_w	0.148
j	-	0.109
j	ˈeu̯	0.107
j_ˈoːu̯	ˈeu̯	1.0
j_ˈœ	ˈe	1.0
k	k	0.681
k	k_s	0.232
k	x	0.082
kʰ	k	0.792
kʰ	kʷ	0.203
kʰ_v	xʷ	1.0
l	l	0.692
l	l_ɔː	0.089
l	ɑ_l	0.089
l	l_ɑ̃	0.059
l	l_ɑ	0.039
l̥	l	0.492
l̥	l_ɑ	0.196
l̥	x_l	0.181
l̥	ɑ_l	0.091
m	m	1.0
n	n	0.889
n	m	0.056
n	ð	0.035
n	-	0.033
nː	nː	0.475
nː	n_θ	0.414
nː	l	0.092
n̥	n_ɑ̃	0.303
n̥	n_ɑ	0.237
n̥	ɔːː	0.176
n̥	n	0.176
n̥	ɔː	0.08
p	p	0.69
p	m	0.119
p	x	0.081
p	ɸ	0.059
r	r	0.901
r	i	0.047
r	-	0.047
r_t	r	1.0
rː̥	r	0.429
rː̥	k	0.104
r̥	z	0.749
r̥	r	0.137
r̥	-	0.054
r̥	r_ɑ̃	0.037
s	s	0.912
s	s_ɑ̃	0.068
sː	s	0.325
sː	sː	0.325
t	t	0.811
t	-	0.185
t_l̥	lː	1.0
t_n̥	n	0.243
tʰ	t	1.0
u	w	0.419
u	ˈi	0.077
v	w	0.455
v	β	0.287
v	ɸ	0.108
v	pː	0.043
v	s	0.04
x	k	0.184
x	z	0.184
ç	x	0.618
ç	xʷ	0.259
ð	ð	0.378
ð	ð_ɑ̃	0.259
ð	θ	0.104
ð	θ_ɑ̃	0.077
ð	z	0.044
ð_ʏ	θ	1.0
ŋ	ŋ	0.657
ŋ	n	0.191
ŋ	-	0.15
ɑu̯	ɑ	1.0
ɛ	i	1.0
ɟ̊	ɣ	0.846
ɟ̊	ɡʷ	0.071
ɟ̊	j	0.068
ɡ̊	ɣ	0.416
ɡ̊	ɡ	0.367
ɡ̊	x	0.073
ɡ̊	-	0.055
ɡ̊	z	0.042
ɣ	ɣ	1.0
ɪ	ɛː	0.271
ɪ	ɔːː	0.245
ɪ	i	0.104
ɪ	-	0.104
ɪ	ɑ	0.091
ɲ	ŋ	0.243
ʏ	ɑ	0.649
ʏ	u	0.123
ʏ	-	0.089
ʏ	i	0.084
ʏ	r_u	0.034
ʰk	k	0.422
ʰk	ŋ_k	0.422
ʰk	kː	0.097
ʰp	p	1.0
ʰt	t	1.0
ˈa	ˈɑ	0.843
ˈa	ˈɑu̯	0.06
ˈa	ˈe	0.052
ˈa	-	0.051
ˈai̯	j	0.574
ˈai̯	ˈɔː	0.16
ˈai̯	w	0.052
ˈaː	ˈɑ	1.0
ˈaːi̯	ˈɔː	0.5
ˈaːi̯	ˈɑ	0.5
ˈaːu̯	ˈɑ	0.325
ˈaːu̯	ˈɑi̯	0.16
ˈeːi̯	ˈɑu̯	0.5
ˈeːi̯	ˈɑi̯	0.5
ˈi	ˈi	0.619
ˈi	ˈu	0.258
ˈi	ˈiu̯	0.104
ˈiː	ˈiː	0.492
ˈiː	ˈuː	0.175
ˈiː	ˈi	0.12
ˈiː	ˈiu̯	0.069
ˈiː	ˈeu̯	0.063
ˈiː_j	ˈe	0.243
ˈou̯	ˈu	0.85
ˈou̯	w	0.077
ˈoːu̯	ˈɔː	0.651
ˈoːu̯	w	0.214
ˈoːu̯	ˈe	0.066
ˈoːu̯	ˈeu̯	0.066
ˈu	ˈu	0.814
ˈu	ˈiu̯	0.112
ˈu	ɑi̯	0.054
ˈuː	ˈuː	0.736
ˈuː	ɑ	0.13
ˈuː	-	0.13
ˈœ	ˈɑ	1.0
ˈœː	u	0.245
ˈœː	ˈu	0.245
ˈœː	ˈɑu̯	0.151
ˈœː	ˈɑi̯	0.151
ˈœː	-	0.093
ˈœːy̯	ˈɑu̯	1.0
ˈɑu̯	ˈɑ	0.618
ˈɑu̯	ˈɑ_x	0.259
ˈɑːu̯	ˈɛː	0.495
ˈɑːu̯	ˈɑu̯	0.234
ˈɑːu̯	ɑ̃	0.103
ˈɑːu̯	ˈɑi̯	0.092
ˈɑːu̯	ˈɑ	0.051
ˈɔ	ˈu	0.648
ˈɔ	w_ˈu	0.17
ˈɔ	ˈe	0.112
ˈɔ	ˈɛː	0.062
ˈɔu̯	ˈɑ	0.425
ˈɔu̯	-	0.241
ˈɔu̯	ˈɔː	0.084
ˈɔu̯	ˈu	0.047
ˈɔː	ˈɛː	0.261
ˈɔː	ˈe	0.261
ˈɔː	ˈu	0.148
ˈɛ	ˈɑ	0.296
ˈɛ	ˈe	0.247
ˈɛ	ˈɑi̯	0.131
ˈɛ	-	0.123
ˈɛ	ˈi	0.099
ˈɛi̯	ˈɑi̯	1.0
ˈɛː	ˈe	0.345
ˈɛː	ˈɑ	0.234
ˈɛː	ɑ̃	0.16
ˈɛː	ˈeu̯	0.092
ˈɛː	ˈeː	0.092
ˈɛːi̯	ˈɑi̯	0.623
ˈɛːi̯	ˈɑu̯	0.132
ˈɛːi̯	ˈɑ	0.114
ˈɪ	ˈi	0.463
ˈɪ	ˈu	0.351
ˈɪ	ˈe	0.178
ˈɪː	ˈi	1.0
ˈʏ	ˈu	0.923
ˈʏ	ˈuː	0.075
ˈʏ_t	ˈu	0.493
ˈʏː	ˈu	0.409
ˈʏː	ˈe	0.184
ˈʏː	ˈɑi̯	0.184
ˈʏː	ˈɔː	0.085
ˈʏː	ˈeu̯	0.078
θ	θ	0.964
θ	d	0.045
