Romagnol	Romagnol	probability
θ	θ	1.0
ˈʌ̃_n_ɐ_#>	ˈa_#>	1.0
ˈɛ̃	ˈɛ	1.0
ˈõũ̯	ˈo	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ˈeə̯_#>	ɾ_#>	1.0
ˈe	ˈe	1.0
ɲ	ɲ	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	θ_#>	1.0
s_t	s	1.0
r_ɐ	ɾ_ɐ	1.0
r_t	ɾ_t	1.0
r_#>	ɾ_ʊ_#>	1.0
m	m	1.0
l_ɐ	ɐ	1.0
k_#>	k_ʊ_#>	1.0
k	k	1.0
j̃	ŋ	1.0
i_#>	o_s_#>	1.0
f_j	ʧ	1.0
f	f	1.0
e	a	1.0
d_ɐ	ð_ɐ	1.0
a	-	1.0
<#_θ	<#_θ	1.0
<#_ˈʌ̃	<#_ˈa	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ʃ	1.0
<#_v	<#_b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
r	ɾ	0.875
p	p	0.867
ˈa	ˈa	0.818
ɡ	ɣ	0.8
t	t	0.775
ˈu	ˈu	0.75
b	b	0.75
ˈɛə̯	ˈɛ	0.714
ˈɔə̯	ˈɔ	0.706
v	β	0.682
s	s	0.676
ʧ	ɟ_ʊ	0.667
ð	-	0.667
i	i	0.667
d	d	0.652
l_#>	l_#>	0.625
ˈou̯	ˈo	0.611
ɐ	ɐ	0.603
#>	ʊ_#>	0.602
ˈʌ̃	ˈa	0.6
n	n	0.59
ˈɛ	ˈe	0.588
ˈeə̯	ˈa	0.586
l	l	0.583
z	θ	0.571
ˈẽ	ˈi	0.556
ˈeː	ˈe	0.545
u	o	0.533
ˈi	ˈi	0.524
ˈo	ˈo	0.522
ʤ	ʃ	0.5
ʤ	-	0.5
ɐ_n	ɪ	0.5
ɐ_n	n_ʊ	0.5
ˈɔ	ˈɔ	0.455
ˈeː	ˈɛ	0.455
ɐ_r	ɾ	0.455
ˈẽ	ˈe	0.444
z	-	0.429
ˈi	ˈe	0.381
l_#>	#>	0.375
j	ɟ	0.357
j	-	0.357
ʧ	ʧ	0.333
ð	ʃ	0.333
i	e	0.333
ˈʌ̃	ˈɑ_ŋ	0.3
l	-	0.292
n	-	0.282
ˈɔ	ˈo_j	0.273
ˈɔ	ˈo	0.273
ɐ_r	ɾ_ʊ	0.273
ɐ_r	ɾ_ɪ	0.273
u	-	0.267
ˈɛ	ˈi	0.265
ˈo	ˈu	0.261
ˈu	ˈɔ	0.25
b	β	0.25
ˈeə̯	ˈa_ɾ	0.241
ˈou̯	ˈɔ	0.222
d	-	0.217
#>	ɪ_#>	0.205
ɡ	ɡ	0.2
u	u	0.2
ˈa	ˈe_j	0.182
v	w	0.182
ˈɔə̯	ˈo_w	0.176
ˈou̯	ˈu	0.167
s	e_s	0.162
ɐ	a	0.154
t	ð	0.15
ˈɛə̯	ˈe_j	0.143
ˈɛə̯	ˈe	0.143
j	s_ˈo	0.143
j	o	0.143
v	-	0.136
p	ʧ	0.133
ˈo	-	0.13
d	ð	0.13
ɐ	ɪ	0.128
n	ɲ	0.128
r	r	0.125
l	ʊ	0.125
ˈɔə̯	-	0.118
s	ʃ	0.108
ˈeə̯	w	0.103
ˈʌ̃	ˈɑ	0.1
ˈi	-	0.095
ˈɛ	ˈɛ	0.088
ˈo	u	0.087
t	ð_ʊ	0.075
#>	ɐ_#>	0.072
ˈeə̯	ɾ	0.069
ˈɛ	-	0.059
s	j_ʃ	0.054
ɐ	-	0.051
