Lithuanian	Upper Sorbian	probability
̌	-	1.0
̂	-	1.0
ˈ	-	1.0
ʑ	z	1.0
ʊ_ˈ	i	1.0
ʊ	-	1.0
ɫ	w	1.0
ɪ_̌	ɔ	1.0
ɪ_ˈ	ɔ	1.0
ɡ_ɐ	x	1.0
ɡ	ɦ	1.0
ɛʊ̯	u	1.0
ɛɪ̯	i	1.0
ɐʊ̯	w	1.0
ɐɪ̯	e	1.0
ɐ_̌	u	1.0
ŋ	-	1.0
æː_̌	ɔ	1.0
z	ɔ	1.0
uː_̂	u	1.0
uː	ɪ	1.0
tʲ_ɪ	ʨ	1.0
r	ʀ	1.0
pʲ_ɛ	pʲ	1.0
pʲ	p	1.0
p	-	1.0
n_d	d	1.0
kʲ	k	1.0
j	-	1.0
iː_̌	w	1.0
iː	i	1.0
eː_̂	e	1.0
eː	a	1.0
dʲ	ʥ	1.0
aː	-	1.0
b	b	0.871
ɐ_s	ɪ	0.865
vʲ	ɥ	0.777
k	k	0.777
bʲ	-	0.75
lʲ	l	0.739
nʲ	-	0.736
sʲ	s	0.724
mʲ	mʲ	0.72
ɕ	s	0.712
ʃ	s	0.683
rʲ	ʀʲ	0.661
iə̯	ɛ	0.65
t	t	0.634
m	m	0.621
oː	a	0.618
ʒ	z	0.603
v	w	0.569
æː	e	0.561
ɡʲ	ʒ	0.538
d	d̥	0.536
n	n	0.534
ɪ	-	0.516
uə̯	j	0.506
uə̯	-	0.494
ɐ	ɔ	0.467
n	-	0.466
d	d	0.464
æː	-	0.439
aː_̌	ɔ	0.429
s	s	0.428
ɛ	-	0.405
ʒ	ɦ	0.397
oː	-	0.382
m	-	0.379
t	-	0.366
iə̯	-	0.35
aː_̌	o	0.343
rʲ	ʀ	0.339
ʃ	x	0.317
s	ɔ	0.302
ɡʲ	-	0.301
ɕ	-	0.288
mʲ	m	0.28
sʲ	u_x	0.276
ɛ	ɔ	0.272
s	xʲ	0.27
nʲ	ɲ	0.264
lʲ	-	0.261
bʲ	bʲ	0.25
v	ɥ	0.242
aː_̌	ɛ	0.228
ɐ	-	0.226
vʲ	w	0.223
k	-	0.223
ɪ	e	0.208
ɛ	ɛ	0.191
v	-	0.189
ɪ	ʨ	0.165
ɡʲ	ʒ̊	0.161
ɐ	u	0.157
ɐ	a	0.149
ɐ_s	i	0.135
ɛ	e	0.132
b	b̥	0.129
ɪ	ɔ	0.111
