French	Gascon	probability
p	p	1.0
ɥ	w	1.0
a	j	0.081
a	e	0.1
d	d	0.971
e	ˈa	0.581
f	h	0.861
l	ɾ	0.051
n	n	0.551
o	ˈɔ_s	0.191
s	ʃ	0.061
s	s	0.841
w	ˈi	0.121
ø	-	0.131
ɔ	u	0.251
ɔ	ˈɔ	0.411
ə	-	0.201
ɛ̃	ˈi	0.061
e	e_s	0.272
i	ˈe	0.102
k	k	0.932
n	n_ɔ	0.212
o	ˈa_w	0.402
v	β	0.242
w	-	0.222
z	z	0.762
ɔ̃	ŋ	0.092
ɛ	ˈa	0.312
ɛ̃	n	0.082
ɡ	ɣ	0.152
ʁ	ɾ_ɔ	0.092
ʃ	k	0.862
ʒ	-	0.162
b	β	0.3
f	-	0.123
i	ˈɛ	0.13
k	k_w	0.063
n	ŋ	0.123
t	j	0.083
ɑ̃	ˈe_n	0.373
ə	ˈe	0.223
ɛ̃	ˈa_ŋ	0.243
ɲ	ɲ_ɔ	0.653
ʃ	k_ɔ	0.103
i	ˈe_j	0.234
i	ˈi	0.474
j	ʎ	0.234
j	ʎ_ɔ	0.294
n	-	0.114
t	t_ɔ	0.064
w	ˈe_ð	0.134
ø	w	0.534
ɔ̃	ˈu_ŋ	0.54
ɛ̃	i	0.084
ʁ	a_r	0.094
ʁ	ɾ_e	0.134
a	a	0.365
a	ˈa	0.405
u	ˈu_ʎ	0.065
u	ˈu_s	0.155
w	ˈe	0.275
y	ˈy_β	0.165
y	ˈy	0.835
ø	ˈu	0.15
ə	e	0.575
ɛ	ˈɛ	0.195
i	i	0.06
m	m_ɔ	0.126
o	ˈɛ_t	0.406
t	t	0.696
u	ˈu	0.566
ø	ˈɔ	0.186
œ	-	0.096
œ	ˈɔ	0.236
ɔ	ˈu	0.226
ɛ̃	ɲ	0.136
ʁ	-	0.06
ʁ	ɾ	0.216
b	b	0.7
l	l_ɔ	0.157
l	l	0.637
u	u	0.187
ɑ̃	ˈa_ŋ	0.257
ɛ	ˈe	0.237
ɛ̃	ˈi_ŋ	0.117
ɲ	ɲ	0.347
ʒ	ʒ	0.767
j	-	0.398
m	m	0.838
s	-	0.098
w	ˈy	0.248
z	z_ɔ	0.238
œ	w_ˈe	0.668
ɑ̃	ˈa_n	0.18
ɔ̃	ˈu_n	0.368
ɛ	ˈɛ_j	0.118
ɛ̃	ŋ	0.228
ɡ	ɡ	0.848
e	ˈa_t	0.099
l	-	0.129
v	b	0.699
ɑ̃	m	0.19
ɛ	ˈa_j	0.09
ʁ	r	0.349
