Swabian	Zeelandic	probability
ˈɪ	ˈi	1.0
ˈɔə̯	ˈɔ	1.0
ˈɔ	ˈʊə̯	1.0
ˈuə̯	ˈuː	1.0
ˈiə̯	ˈiː	1.0
ˈeə̯	-	1.0
ˈa_l	ˈɑu̯	1.0
ʦ	t	1.0
ʋ	ʋ	1.0
ʃ_d	s_t	1.0
ɪ	i	1.0
ɡ_ʁ	x_ɾ	1.0
ŋ	ŋ	1.0
t	d̥	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ	1.0
h	ˈʊə̯	1.0
f_a	p_ə	1.0
eə̯	iː	1.0
e	ə	1.0
b̥͡f	p	1.0
l	ɫ	0.919
f	v	0.91
ˈao̯	ˈyː	0.869
n	n	0.86
ʁ	ɾ	0.85
x	x	0.829
ˈɔː	ˈɛː	0.815
ˈeː	-	0.772
d	d	0.766
a	ə	0.715
ç	k	0.687
ɡ	x	0.678
ʕ	ɾ	0.636
ˈae̯	-	0.62
b	b	0.58
ʌ	ə_ɾ	0.569
ˈu	ˈɔ	0.564
s	z	0.554
ˈa	ˈɑ	0.552
ˈoː	ˈʊə̯	0.537
ˈɔe̯	ˈɪə̯	0.536
ʃ	s	0.525
ˈe	ˈi	0.516
ˈiː	-	0.511
ˈɛː	-	0.504
ˈɛː	ˈɛː	0.496
ˈiː	ˈiː	0.489
ˈe	ˈɪ	0.484
ˈo	ˈɔ	0.48
ˈəi̯	ˈi	0.465
ˈɔe̯	ˈæi̯	0.464
ˈi	ˈɪ	0.439
ˈu	-	0.436
ˈi	-	0.417
ˈɛ	ˈæ	0.384
ˈae̯	ˈɪə̯	0.38
ˈaː	ˈɛː	0.377
ˈaː	ˈɑ_n	0.371
ʕ	ɾ_ə	0.364
ʌ	ɾ	0.36
ʃ	s_x	0.317
ç	x	0.313
ˈoː	ˈøː	0.265
ˈa	ˈɛː	0.261
ˈaː	-	0.252
ˈo	-	0.228
ˈeː	ˈiːə̯	0.228
ˈəi̯	ˈiː	0.223
b	v	0.22
ˈo	ˈu	0.211
s	z̥	0.206
b	-	0.2
ˈoː	-	0.198
s	t	0.198
ˈɛ	-	0.187
ˈɔː	-	0.185
x	k_ə	0.171
d	t	0.168
ʃ	z	0.158
ˈəi̯	ˈyː	0.156
ˈəi̯	-	0.156
ʁ	-	0.15
a	ə_n	0.147
ˈɛ	ˈɛː	0.145
ˈɛ	ˈeː	0.145
ˈi	ˈæ	0.144
ɡ	x_ə	0.142
n	ˈɪ_n	0.14
ˈɛ	ˈɑ	0.139
a	n	0.137
ˈao̯	ˈʊə̯	0.131
ˈa	-	0.129
f	v̥	0.09
ɡ	-	0.088
ˈo	ˈʏ	0.081
l	l	0.081
ʌ	ə	0.071
ˈa	ˈæ	0.058
