Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛɪ̯	ˈɛɪ̯	1.0
ˈɔ	ˈɔ	1.0
ˈœː	-	1.0
ˈœ	ˈœ	1.0
ˈeː	-	1.0
ˈaɪ̯	-	1.0
ɾ_æ	ɐ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ̊	ɣ̊	1.0
ɣ	ɣ	1.0
ɡ̊	-	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v	v	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_n	n_n	1.0
n	n	1.0
l	l	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
ae̯	ɒː	1.0
<#_tʰ	<#_t	1.0
ˈae̯	ˈɛɪ̯	0.958
ˈa	ˈa	0.958
t	t	0.951
æ	ɐ	0.939
d	d	0.933
d̥	d̥	0.926
ˈuː	ˈuː	0.867
v̥	f	0.833
ŋ	ŋ	0.812
m	m	0.812
ˈiː	ˈiː	0.8
ˈɒː	ˈɒː	0.765
ˈɛ	ˈɛ	0.714
ɡ	ɣ	0.692
ˈɔʏ̯	ˈɔʏ̯	0.667
ç	ç	0.636
ˈyː	ˈyː	0.6
ˈoː	-	0.6
ˈaː	ˈa_ɐ	0.571
z̥	z̥	0.571
ʃ	ʃ	0.556
ˈɛː	ˈɛː	0.5
ˈɛː	ˈeː	0.5
ˈaʊ̯	ˈeo̯	0.476
ʃ	s	0.444
ˈaː	ˈaː	0.429
ˈaʊ̯	ˈaʊ̯	0.429
z̥	z_ə	0.429
ˈyː	-	0.4
ˈoː	ˈɒː	0.4
ˈɔʏ̯	ˈøː	0.333
ˈɛ	-	0.286
ŋ	-	0.188
ç	ɣ_ə	0.182
ç	ə	0.182
v̥	v̥	0.167
ɡ	j	0.154
ɡ	-	0.154
ˈuː	ˈoː	0.133
ˈɒː	ˈoː	0.118
ˈɒː	-	0.118
ˈiː	ˈeː	0.1
ˈiː	-	0.1
ˈaʊ̯	-	0.095
m	v_n	0.094
m	m_n	0.094
d̥	-	0.074
d	-	0.067
æ	r_ə	0.061
