Old French	Old French	probability
θ_#>	ð_#>	1.0
ˈɛ_f	ˈe_β	1.0
ˈɔ_j	ˈe	1.0
ˈỹ	ˈu	1.0
ˈũ_j	ˈu	1.0
ˈu_t	ˈo_ð	1.0
ˈõ	-	1.0
ˈo	ˈo	1.0
ˈa_w	ˈa_l	1.0
ʤ	ɟ͡ʝ	1.0
ʎ	x	1.0
ɲ	ɲ	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	θ	1.0
y	-	1.0
w_ˈɛ	ˈo	1.0
ũ	o	1.0
t_ə	t_a	1.0
s_#>	s_#>	1.0
r_t	ɾ_t	1.0
p_l	ɟ͡ʝ	1.0
p	p	1.0
o	-	1.0
n_#>	o_#>	1.0
m	m	1.0
l_ə	a	1.0
l_#>	o_#>	1.0
k_l	ɟ͡ʝ	1.0
j_ˈɛ	ˈa	1.0
j_ˈẽ	ˈe	1.0
j_t	ʧ_e	1.0
j_s	θ	1.0
j_n	n	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
i	i	1.0
d_r	ˈe	1.0
b_ə	β_a	1.0
ã_n	a_n	1.0
a	a	1.0
<#_ʦ	<#_θ	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_e	<#_e	1.0
#>	o_#>	0.938
n	n	0.927
ʧ	k	0.917
ˈã	ˈa	0.909
r	ɾ	0.883
k	k	0.862
d	d	0.857
ˈu	ˈo	0.818
ˈa	ˈa	0.81
ˈĩ	ˈi	0.75
b	b	0.75
t	t	0.706
ə	a	0.697
u	o	0.692
ˈe	ˈa	0.667
s	s	0.667
<#_ʤ	<#_x	0.667
v	b	0.645
l	l	0.645
ɡ	ɡ	0.636
ˈy	ˈu	0.625
ʦ	θ	0.571
w	w	0.529
ˈi	ˈi	0.5
ˈẽ	ˈe	0.5
r_ə	ɾ_e	0.5
f	β_e	0.5
f	f	0.5
e	i	0.5
e	e	0.5
ˈũ	ˈo	0.471
ʦ	-	0.429
ˈũ	w_ˈe	0.412
ˈy	ˈo	0.375
ˈɛ	ˈe	0.364
ɡ	ɣ	0.364
ˈẽ	j_ˈe	0.357
v	β	0.355
ˈɔ	w_ˈe	0.333
ˈi	ˈe	0.333
<#_ʤ	<#	0.333
r_ə	ɾ	0.3
l	ʝ	0.29
ˈɔ	-	0.267
ˈĩ	j	0.25
ˈe	ˈe	0.238
j	j	0.231
j	-	0.205
ˈɔ	ˈo	0.2
s	θ	0.2
r_ə	ˈe_ɾ	0.2
ˈa	ˈe	0.19
ˈɛ	j_ˈe	0.182
ˈu	ˈo_t	0.182
w	ˈo	0.176
w	o	0.176
u	ˈo	0.154
u	u	0.154
ˈẽ	e	0.143
d	-	0.143
k	ɡ	0.138
j	ˈe	0.128
j	ɣ	0.128
b	β	0.125
b	e_ɾ	0.125
ˈũ	-	0.118
w	ˈe_ɣ	0.118
ə	e	0.112
j	o	0.103
ˈɔ	ˈe	0.1
ˈɔ	ɾ	0.1
ˈi	ˈi_ɣ	0.1
ˈe	-	0.095
ˈɛ	ˈo	0.091
ˈɛ	ˈi	0.091
ˈɛ	ˈa	0.091
ˈã	-	0.091
t	ð	0.088
t	d	0.088
ʧ	-	0.083
ə	o	0.079
j	ˈu	0.077
j	e	0.077
n	-	0.073
ˈi	-	0.067
s	x	0.067
s	-	0.067
l	ɟ͡ʝ	0.065
ˈɛ	ˈa_ɣ	0.061
ˈɛ	ˈa_ð	0.061
ˈɛ	w	0.061
t	ʧ	0.059
t	-	0.059
j	ˈa	0.051
