Latin	Latin	probability
ˈɪ_kː	ˈe_k	1.0
ˈɛ_k	j_ˈɛ	1.0
ˈɔ_r	ˈɔ	1.0
ˈɔ_n	ˈu_n	1.0
ˈuː	ˈy	1.0
ˈoː_r	ˈu	1.0
ˈoe̯	ˈe	1.0
ˈi	ˈi	1.0
ˈeː_ɡ	ˈe	1.0
ˈe	ˈi_w	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈa_w	1.0
ˈae̯	ˈɛ	1.0
ˈa_ɫ	ˈa_w	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	e	1.0
ɫ_ʊ̃ː_#>	#>	1.0
ɫ_ãː	ɔ	1.0
ɪ̃	-	1.0
ɡʷ	-	1.0
ɡ_ɛ	ʒ	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	i	1.0
ɛ̃	-	1.0
ɛ_r	ɾ	1.0
ɛ_#>	#>	1.0
ɔ_r	e	1.0
ŋ_n	ɲ	1.0
ŋ_k	n	1.0
ŋ	ŋ	1.0
w_ɪ	w	1.0
w_ɛ̃ː	w	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	ð	1.0
t_ˈaː	t_ˈa	1.0
t_ʊ̃ː_#>	#>	1.0
t_r	j_r	1.0
s_ˈeː	s_ˈe	1.0
s_ˈaː	s_ˈa	1.0
s_t	s_t	1.0
s_k	j_ʃ	1.0
rː	-	1.0
r_ɛ̃ː	e	1.0
r_ɛ_#>	#>	1.0
r_n	r	1.0
r_k	r_k	1.0
p_ˈaː	p_ˈa	1.0
p_ʊ̃ː_#>	p_#>	1.0
p_ʊ	s	1.0
p_ɛ	β	1.0
p_t	mː	1.0
oː_#>	#>	1.0
o	-	1.0
nː	-	1.0
n_ʊ̃ː	ŋ	1.0
n_ɛ̃ː	ŋ	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
n_ãː	ɔ	1.0
mː	m	1.0
lʲː_ʊ̃ː	t	1.0
lʲ_i	ʎ	1.0
lʲ	l	1.0
kː	k	1.0
k_ˈiː	z_ˈi	1.0
k_ˈa	k_ˈa	1.0
k_ɛ̃ː	ʦ	1.0
k_i	s	1.0
k_ãː	k_ɔ	1.0
j	ʒ	1.0
iː	i	1.0
i_ʊ̃ː_#>	#>	1.0
f	h	1.0
eː	e	1.0
d_ʊ̃ː	t	1.0
d_i	j	1.0
b_ˈa	b_ˈa	1.0
b_ãː	β_ɔ	1.0
ãː_#>	#>	1.0
ãː	ɔ	1.0
aː	a	1.0
a_#>	#>	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ˈɔ	<#_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_ae̯	<#_e	1.0
<#_a	<#_a	1.0
ˈiː	ˈi	0.931
ˈa	ˈa	0.929
m	m	0.927
a	a	0.867
ˈɪ	ˈe	0.857
k_ʊ̃ː_#>	k_#>	0.833
<#	<#_e	0.833
ˈoː	ˈu	0.786
p	p	0.78
ɔ	u	0.778
s	s	0.765
n	n	0.72
ˈʊ	ˈu	0.714
kʷ	k	0.714
w	b	0.69
ˈɛ	ˈɛ	0.649
ˈeː	ˈe	0.636
ʊ	-	0.636
s_#>	s_#>	0.636
ɛ	e	0.625
k_ʊ	ʎ	0.625
e	j	0.6
ɫ	l	0.578
sː	s	0.571
k_t	j_t	0.571
ˈɔ	ˈɔ	0.567
b	b	0.565
r	ɾ	0.562
oː	-	0.556
d	d	0.531
ˈu	ˈy	0.5
ˈu	-	0.5
ɪ	e	0.5
ɡ	ɡ	0.5
t	t	0.481
oː	u	0.444
i	-	0.444
sː	-	0.429
lʲː	l	0.429
k_t	t	0.429
e	-	0.4
ɪ	-	0.389
k_ʊ	ˈe	0.375
k	s	0.375
ˈeː	e	0.364
ʊ	u	0.364
s_#>	#>	0.364
t	ð	0.333
r	r	0.333
i	j	0.333
b	β	0.304
ˈɛ	ˈe	0.297
k	ɣ	0.292
ˈʊ	ˈy	0.286
lʲː	ɾ	0.286
lʲː	t	0.286
kʷ	ɣ	0.286
ɡ	ʒ	0.273
w	w	0.241
s	z	0.235
ɔ	-	0.222
i	y	0.222
d	-	0.219
ˈoː	-	0.214
ˈɔ	w_ˈe	0.2
ɫ	w	0.2
k_ʊ̃ː_#>	#>	0.167
k	k	0.167
k	-	0.167
<#	<#_a	0.167
n	ŋ	0.16
p	β	0.146
ˈɪ	ɾ	0.143
ɡ	-	0.136
ɫ	ʎ	0.133
a	-	0.133
b	-	0.13
ɛ	d	0.125
d	ð	0.125
n	-	0.12
ɪ	ˈe	0.111
t	-	0.111
r	-	0.104
ˈɔ	ˈu	0.1
ɡ	ɣ	0.091
ɫ	-	0.089
ɛ	ˈe	0.083
ɛ	j_ˈe	0.083
ɛ	-	0.083
t	ʤ	0.074
p	-	0.073
m	-	0.073
ˈa	ˈɛ_j	0.071
ˈiː	-	0.069
w	-	0.069
ˈɔ	w	0.067
ˈɔ	-	0.067
d	ʤ	0.062
d	ʒ	0.062
ˈɛ	j_ˈe	0.054
