Friulian	Gascon	probability
c	k	1.0
k	k	1.0
w	w	1.0
ˈe	ˈe	1.0
ˈeː	ˈe	1.0
ˈoː	ˈu	1.0
l	l	0.581
n	ŋ	0.1
o	a	0.051
p	-	0.081
u	y	0.061
u	e	0.081
u	-	0.151
z	-	0.161
ɡ	ɡ	0.571
ɲ	ɲ	0.81
ˈa	ˈa_j	0.061
ˈɛ	-	0.221
a	e	0.102
f	-	0.072
i	i	0.132
i	e	0.732
n	n	0.822
t	j_t	0.052
t	t	0.872
ʧ	j	0.062
ʧ	-	0.242
ˈiː	ˈi	0.452
ˈo	-	0.102
ˈɔ	ˈe	0.182
ˈɔ	ˈa_w	0.382
ˈɛ	ˈɛ	0.332
a	a	0.633
e	a	0.053
e	-	0.093
j	ʒ	0.083
j	-	0.203
o	u_z	0.103
r	r	0.443
r	ɾ	0.473
ˈaː	ˈi	0.083
ˈi	ˈi	0.53
j	j	0.424
ʤ	-	0.144
a	-	0.265
l	t	0.155
o	u	0.845
ʧ	s	0.695
ˈo	ˈy	0.175
ˈu	ˈu	0.155
ˈu	ˈy	0.845
ˈɛ	ˈe	0.415
b	-	0.116
d	ð	0.36
d	d	0.486
i	-	0.086
s	ʦ	0.06
s	j_ʃ	0.116
ʤ	ʒ	0.856
ˈuː	ˈɔ	0.536
ˈɔ	ˈu	0.436
b	b	0.817
d	ʤ	0.087
e	ɔ	0.797
f	p	0.127
f	h	0.787
l	w	0.227
u	u	0.707
v	β	0.27
ɡ	k	0.07
ˈaː	ˈa	0.917
ˈo	ˈɔ	0.087
ˈo	ˈu	0.567
ˈuː	ˈa	0.097
ˈuː	ˈy	0.367
b	β	0.068
e	e	0.058
m	m	0.848
n	-	0.078
ˈiː	ˈɛ	0.548
j	ʎ	0.279
m	-	0.119
p	p	0.919
s	s	0.79
v	b	0.709
z	z	0.839
ŋ	ŋ	0.979
ɡ	ɣ	0.359
ɲ	n	0.19
ˈa	ˈa	0.919
ˈi	ˈe	0.379
ˈo	ˈe	0.069
