Štokavian	Polish	probability
ǎː	ˈɔ	1.0
eː	ɛ_ɲ	1.0
iː	ɨ	1.0
îː	ˈɨ	1.0
k	k	1.0
ô	ˈɔ	1.0
ǒ	ˈɔ	1.0
p	p	1.0
r̂ː	ˈa_r	1.0
r̩̂ː	r	1.0
r̩̂	ʐ	1.0
û	ˈu	1.0
ɲ	ɲ	1.0
ʎ	l	1.0
ʧ	ʈ͡ʂ	1.0
ʨ	ʦ	1.0
a	a	0.61
b	b	0.81
ěː	w̃	0.251
z	z	0.431
ʒ	ʂ	0.21
â	ˈɛ	0.332
âː	ˈɔ	0.742
e	ˈɔ	0.142
e	ɛ_w̃	0.22
j	-	0.192
n	n_ɨ	0.192
o	ɨ	0.072
ôː	ˈɔ	0.552
s	s	0.562
ûː	l	0.22
ɡ	i_#>	0.062
ʦ	ʦ	0.742
a	ɛ	0.193
n	ɲ	0.333
t	ʨ	0.363
ɡ	k	0.103
d	t	0.114
d	ʥ	0.34
e	ˈa	0.084
e	ɛ	0.554
ê	ˈɛ	0.404
ě	ɛ	0.074
î	ˈɨ	0.124
l	l	0.414
x	x	0.574
êː	j_ˈɛ	0.145
i	ɨ	0.495
i	-	0.505
m	m_j	0.175
m	m	0.825
n	n	0.475
r	-	0.075
ûː	ˈɔ	0.5
ɡ	ɡ	0.775
ʋ	v_j	0.165
ʋ	v	0.645
â	ˈɔ	0.36
d	d	0.546
ê	ˈa	0.596
êː	ˈa	0.276
ě	ˈɛ	0.736
î	ˈi	0.876
l	w	0.586
t	t	0.596
x	x_ɨ	0.426
ɡ	ɨ_#>	0.06
r	ʐ	0.127
âː	ˈu	0.258
j	j	0.808
o	ɔ	0.928
ôː	ˈu	0.448
r	r	0.798
s	ɕ	0.438
ûː	ˈu	0.28
ʦ	-	0.258
a	-	0.119
â	ˈa	0.309
b	m_p	0.19
êː	ˈɛ	0.579
ě	ˈɔ	0.19
ěː	ˈa	0.749
z	ʑ	0.569
ʋ	f	0.19
ʒ	ʐ	0.79
