Italian	Italian	probability
ˈu_tː	ˈoː_t	1.0
ˈo_r	ˈoː_r	1.0
ˈa_m	ˈa_m	1.0
ʧ_e	k_ɛ̃ː	1.0
ʦː	t_i	1.0
ʦ	t_i	1.0
ʣː	d_i	1.0
ʣ	d_ɛ	1.0
ʃː	s_k	1.0
ɡ_w	ɡʷ	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɔ	ˈɔ	1.0
u	-	1.0
t_r	t_r	1.0
t_e	t_ɛ̃ː	1.0
t	t	1.0
s_e	s_ɛ	1.0
s	s	1.0
rː	rː	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_a	r_ãː	1.0
pː	-	1.0
p_o	p_ʊ̃ː	1.0
p	p	1.0
o_r	ɔ_r	1.0
o_n	ɔ_n	1.0
o_l	ɫ	1.0
o_#>	oː_#>	1.0
nː	-	1.0
n_ʤ	ŋ_ɡ	1.0
n_o	n_a	1.0
n_e	n_ɛ̃ː	1.0
mː	mː	1.0
m	m	1.0
lː	lʲː	1.0
l_t	ɫ_t	1.0
l_e	ɫ_ɛ̃ː	1.0
k_ˈa	k_ˈa	1.0
k_w	kʷ	1.0
k_r	k_r	1.0
k_j	k_ɫ	1.0
k_a	k_a	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈa	ɫ_ˈa	1.0
j_o	e_ʊ̃ː	1.0
j_#>	s_#>	1.0
i_n	ĩː	1.0
i_#>	iː_#>	1.0
fː	fː	1.0
f	f	1.0
e_r_e	s_i	1.0
dː	ɪ_d	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
r	r	0.97
n	n	0.947
k	k	0.946
ˈɛ	ˈɛ	0.929
d	d	0.919
o	ʊ̃ː	0.875
v	w	0.865
r_o	r_ʊ̃ː	0.846
a	ãː	0.787
ʎː	lʲ_i	0.778
ˈu	ˈuː	0.767
ˈi	ˈiː	0.767
sː	sː	0.75
j	ɫ	0.714
<#	<#_h	0.714
ʧ	k	0.706
bː	b_ʊ	0.667
<#_a	<#_a	0.667
#>	s_#>	0.667
l	ɫ	0.656
w	-	0.6
r_ˈa	r_ˈaː	0.6
e	ɛ	0.571
ˈɔ	ˈɔ	0.559
ʤ	ɡ	0.556
ɡ	ɡ	0.524
ʤː	ɡ	0.5
ʤː	-	0.5
kː	kː	0.5
kː	k_ʊ	0.5
ˈa	ˈaː	0.478
i	ɪ	0.476
ˈo	ˈʊ	0.472
tː	k_t	0.462
ˈe	ˈɪ	0.439
ˈa	ˈa	0.42
w	kʷ	0.4
r_ˈa	r_ˈa	0.4
ˈe	ˈeː	0.39
ˈo	ˈoː	0.389
ɡ	k	0.381
ʧː	k_i	0.375
ʧː	-	0.375
ɲː	n_i	0.333
bː	bː	0.333
<#_a	<#_au̯	0.333
#>	ɛ̃ː_#>	0.333
e	ɛ̃ː	0.295
<#	<#_a	0.286
ʤ	j	0.278
ʧː	k	0.25
sː	k	0.25
i	ɛ	0.238
tː	tː	0.231
ʎː	-	0.222
ɲː	ɡ_n	0.222
ɲː	ŋ_n	0.222
ɲː	n_e	0.222
j	i	0.19
l	lʲ	0.188
ˈɔ	-	0.176
ʧ	-	0.176
ʤ	-	0.167
tː	t	0.154
tː	p_t	0.154
r_o	r_ɛ̃ː	0.154
a	a	0.149
ˈɔ	ˈau̯	0.147
i	eː	0.143
ˈo	ˈɔ	0.139
ˈu	ˈʊ	0.133
ˈɔ	ˈʊ	0.118
ʧ	k_ɛ̃ː	0.118
ˈu	-	0.1
ɡ	-	0.095
j	d_i	0.095
i	iː	0.095
l	-	0.094
v	b	0.081
ˈi	ˈɪ	0.07
ˈi	ˈi	0.07
a	aː	0.064
o	ʊ	0.062
l	ˈɪ	0.062
v	-	0.054
k	kʷ	0.054
d	t	0.054
n	ŋ_k	0.053
