Western Lombard	Galician	probability
ĩ	i	1.0
w	w	1.0
y	u	1.0
z	-	1.0
ˈiː	ˈi	1.0
ˈĩ	ˈi	1.0
ˈoː	ˈo	1.0
ˈy	ˈo	1.0
e	-	0.251
j	o	0.1
n	n	0.701
t	t_ʊ	0.131
t	t_ɪ	0.131
ɲ	ɲ	0.21
ˈa	ˈa_ɾ	0.281
ˈuː	ˈɔ	0.621
ˈøː	ˈo	0.261
ˈɛ	ˈe	0.41
n	-	0.222
p	p	0.82
s	s	0.422
ɲ	ɲ_ɐ	0.2
ˈeː	ˈɛ	0.082
ˈẽ	ˈe_n	0.622
ˈi	ˈu	0.202
ˈũ	ˈo_ŋ	0.142
d	ð	0.263
d	-	0.333
j	ʎ	0.583
r	ɾ	0.643
u	-	0.13
ɡ	ɣ	0.523
ʒ	-	0.163
ˈã	ˈa_n	0.163
ˈe	ˈe	0.813
ˈu	ˈo	0.843
d	d	0.404
i	i	0.94
k	ɣ_ʊ	0.14
k	k	0.804
r	-	0.054
s	θ	0.254
t	t	0.304
ʤ	ʃ	0.444
ˈa	ˈa	0.664
ˈi	ˈi_ɾ	0.244
ˈyː	ˈu	0.934
b	β	0.185
b	b	0.815
e	e	0.635
f	-	0.095
f	f	0.855
n	ɲ	0.065
r	r	0.185
s	-	0.065
t	ð_ʊ	0.05
v	β	0.345
v	b	0.655
ɡ	ɡ	0.445
ˈa	a	0.055
ˈɑː	ˈa	0.955
ˈɔ	ˈɔ	0.595
a	ɐ	0.726
i	ʊ	0.06
l	-	0.136
m	m	0.96
s	e_s	0.116
ʤ	-	0.556
ʧ	θ	0.626
ˈyː	ˈo	0.066
ˈɛ	ˈɛ	0.56
a	a	0.137
e	j	0.077
l	l_ʊ	0.147
u	o	0.87
ˈe	ˈɛ	0.187
ˈi	ˈe	0.257
ˈi	ˈi	0.297
ˈu	ˈɔ	0.157
a	-	0.08
j	ʧ	0.318
l	l	0.648
p	-	0.158
r	ɾ_ʊ	0.118
t	ð	0.268
ʒ	θ	0.08
ʒ	ʃ	0.758
ʧ	j_t	0.068
ˈã	ˈɑ_ŋ	0.668
ˈeː	ˈe	0.918
ˈẽ	ŋ	0.378
ˈũ	ˈu	0.078
ˈũ	ˈo	0.78
ˈɔ	ˈo	0.38
l	ʊ	0.069
ɲ	ɲ_ʊ	0.59
ʧ	-	0.259
ˈã	ɪ	0.169
ˈuː	ˈo	0.379
ˈøː	ˈɔ	0.739
