Neapolitan	Neapolitan	probability
ˈɛ_ɾ	ˈɛ	1.0
ˈu_ɾ	ˈy	1.0
ˈu_tː	ˈu_t	1.0
ˈo_ɾ	ˈu	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	ʦ	1.0
ʦː	ʦ	1.0
ʤː	ʒ	1.0
ʎː	ʎ	1.0
ʃ_ə	ʦ	1.0
ɾ_t	r_t	1.0
ɾ_n	r	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
v_ə_#>	w_#>	1.0
u_t	ð	1.0
t_ˈa	t_ˈa	1.0
t_ɾ	j	1.0
s_ˈi	s_ˈe	1.0
s_ˈa	s_ˈa	1.0
s_ə	z_ɔ	1.0
s	s	1.0
rː	-	1.0
o	-	1.0
n_ə_#>	#>	1.0
n_ə	ɔ	1.0
n_t_ə_#>	n_#>	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː_ə	k_ɔ	1.0
kː_j	ʎ	1.0
k_ɾ	k_ɾ	1.0
k_ə_#>	k_#>	1.0
k_j	p_l	1.0
k	k	1.0
j_ˈa	l_ˈa	1.0
fː	f	1.0
f	h	1.0
dː	t	1.0
d_ə	t	1.0
d	d	1.0
bː	-	1.0
b	b	1.0
a	a	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_ʒ	1.0
<#_a	<#	1.0
<#	<#_a	1.0
ˈa	ˈa	0.943
p	p	0.818
ˈi	ˈi	0.812
j_ˈɛ	ˈɛ	0.8
l_ə_#>	w_#>	0.778
w	w	0.75
lː	t	0.75
tː	t	0.727
ˈe	ˈe	0.706
v	b	0.679
w_ˈɔ	ˈɔ	0.667
u	u	0.636
#>	s_#>	0.625
ʤ	ʒ	0.6
ə_ɾ	e	0.6
nː	-	0.6
ə	ɔ	0.592
e	e	0.571
ɾ_ə_#>	#>	0.556
i	-	0.556
ʃ	s	0.545
ɡ	ɡ	0.545
ˈo	ˈu	0.538
n	ŋ	0.516
sː	s	0.5
sː	-	0.5
r	ɾ	0.5
j	ˈe	0.5
j	ˈa	0.5
ˈu	ˈy	0.469
ˈo	-	0.462
t	t	0.455
ˈɛ	ˈɛ	0.444
ɾ_ə_#>	e_#>	0.444
i	e	0.444
e	-	0.429
ˈu	ˈu	0.406
ʤ	-	0.4
ə_ɾ	ɾ	0.4
nː	ŋ	0.4
ˈɛ	ˈe	0.389
#>	e_#>	0.375
ɾ	ɾ	0.371
u	-	0.364
t	ð	0.364
n	n	0.355
ʃː	ʃ	0.333
ʃː	s	0.333
ʃː	j_ʃ	0.333
w_ˈɔ	ˈu	0.333
r	a_r	0.333
ɾ	r	0.314
ɾ	-	0.314
ˈɔ	ˈa_w	0.286
ʃ	e_s	0.273
ɡ	ɣ	0.273
tː	j_t	0.273
w	ˈa	0.25
v	β	0.25
lː	l	0.25
ˈɔ	ˈɔ	0.238
l_ə_#>	#>	0.222
ə	e	0.211
j_ˈɛ	ˈe	0.2
ˈi	ˈe	0.188
ɡ	k	0.182
t	-	0.182
ˈe	ˈe_j	0.176
ˈɛ	j	0.167
r	r	0.167
ˈɔ	ˈe	0.143
ˈɔ	w_ˈe	0.143
p	β	0.121
ˈe	ˈɛ	0.118
ˈɔ	ˈu	0.095
ˈɔ	w	0.095
ʃ	z	0.091
ʃ	e_h	0.091
v	-	0.071
ə	w	0.066
n	a	0.065
n	-	0.065
ˈu	u_z	0.062
ˈu	-	0.062
p	s	0.061
ˈa	ˈɛ_j	0.057
ə	-	0.053
