North Frisian	American English	probability
b	b	0.904
b	-	0.052
b	p	0.051
d	d	0.658
d	ð	0.153
d	θ	0.105
d	ɾ	0.044
d	-	0.039
dʲ	d	1.0
f	f	0.957
f	-	0.047
h	h	1.0
i	i	0.619
i	-	0.238
i	ɪ	0.11
j	-	0.452
j	oʊ̯	0.152
j	ˈaɪ̯	0.115
j	ɫ	0.1
j	ˈɔ	0.1
k	k	0.448
k	kʰ	0.203
k	-	0.133
k	ʧ	0.122
k	ʃ	0.048
l	l	0.603
l	ɫ	0.295
l	-	0.092
l_ə	ɫ	1.0
lʲ	ɫ	0.447
lʲ	ɫ_d	0.422
lʲ	ɚ	0.068
m	m	1.0
n	n	0.888
n	-	0.108
nʲ	n_d	0.436
nʲ	n	0.38
nʲ	ˈeɪ̯	0.158
p	p	0.807
p	pʰ	0.189
p_ə	p	1.0
r	ɹ	0.583
r	-	0.264
r	ɚ	0.144
s	s	0.872
s	θ	0.061
s	-	0.045
s	z	0.031
t	t	0.551
t	tʰ	0.229
t	θ	0.135
t	d	0.05
t	-	0.029
t_ə	t	1.0
tʲ	t	0.851
tʲ	θ	0.123
v	w	0.655
v	v	0.171
v	-	0.079
v	p	0.045
v	f	0.045
v_ə	v	1.0
w	ˈaɪ̯	0.667
w	ʤ	0.333
x	-	0.24
x_t	t	1.0
z	t	0.415
z	z	0.361
z	-	0.094
z	θ	0.057
ŋ	ŋ	0.798
ŋ	-	0.118
ŋ	n	0.078
ə	-	0.544
ə	ɚ	0.313
ə	ə	0.098
ə	ɡ_ɚ	0.039
ə_l	ɫ	1.0
ə_v	f	0.49
ɡ	ɡ	0.871
ɡ	j	0.129
ʃ	ʃ	0.776
ʃ	ʧ	0.156
ʃ	s	0.061
ˈa	ˈɪ	0.396
ˈa	-	0.174
ˈa	ˈɑ	0.132
ˈa	ˈɝ	0.1
ˈa	ˈʌ	0.1
ˈa_x	ˈaɪ̯	1.0
ˈai̯	ˈɪ	0.561
ˈai̯	ˈu	0.181
ˈai̯	ˈoʊ̯	0.111
ˈaː	ˈɪ	0.723
ˈaː	ˈʌ	0.203
ˈeː	ˈi	0.231
ˈeː	ˈɑ	0.171
ˈeː	ˈeɪ̯	0.171
ˈeː	ˈæ	0.149
ˈeː	ˈɪ	0.149
ˈi	ˈaɪ̯	0.461
ˈi	ˈɪ	0.351
ˈi	ˈoʊ̯	0.071
ˈi	ˈi	0.057
ˈi	ˈeɪ̯	0.049
ˈiː	ˈi	0.496
ˈiː	ˈoʊ̯	0.239
ˈiː	ˈaɪ̯	0.118
ˈiː	ˈɛ	0.045
ˈiː	ˈɑ	0.045
ˈiː_ə	ˈi	1.0
ˈuː	ˈi	0.473
ˈuː	-	0.089
ˈuː	ˈeɪ̯	0.089
ˈuː	ˈɔ	0.071
ˈuː	ˈu	0.07
ˈyː	ˈaʊ̯	0.41
ˈyː	ˈɛ	0.265
ˈyː	-	0.128
ˈyː	ˈaɪ̯	0.112
ˈyː	ˈʌ	0.053
ˈøː	ˈi	0.287
ˈøː	ˈɛ	0.287
ˈøː	-	0.162
ˈøː	ˈaʊ̯	0.162
ˈøː_j	ˈaʊ̯	1.0
ˈœ	ˈæ	0.32
ˈœ	ˈʊ	0.248
ˈœ	ˈoʊ̯	0.136
ˈœ	ˈʌ	0.118
ˈœ	ˈu	0.09
ˈœ_r	ˈɝ	1.0
ˈɒ	ˈɑ	0.347
ˈɒ	ˈʌ	0.155
ˈɒ	ˈoʊ̯	0.148
ˈɒ	ˈæ	0.096
ˈɒ	ˈeɪ̯	0.096
ˈɒ_x	ˈaɪ̯	1.0
ˈɒː	ˈæ	0.404
ˈɒː	ˈɛ	0.282
ˈɒː	ˈeɪ̯	0.172
ˈɒː	ˈɑ	0.084
ˈɔ	ˈɔ	0.848
ˈɔ	ˈoʊ̯	0.126
ˈɔi̯	ˈɛ	0.49
ˈɔu̯	ˈʌ	0.433
ˈɔu̯	ˈu	0.273
ˈɔu̯	ˈoʊ̯	0.11
ˈɔu̯	ˈɔ	0.11
ˈɔː	ˈɛ	0.307
ˈɔː	ˈɑ	0.227
ˈɔː	ˈeɪ̯	0.182
ˈɔː	ˈæ	0.12
ˈɔː	ˈoʊ̯	0.066
ˈɛ	ˈi	0.488
ˈɛ	ˈɪ	0.28
ˈɛ	ˈæ	0.171
ˈɛi̯	ˈi	0.731
ˈɛi̯	ˈeɪ̯	0.174
ˈɛi̯	ˈu	0.071
ˈɛː	ˈɛ	0.457
ˈɛː	ˈi	0.223
ˈɛː	ˈeɪ̯	0.169
ˈɛː	ˈu	0.114
ˈʊ	ˈʌ	0.234
ˈʊ	ˈɪ	0.197
ˈʊ	w_ˈʊ	0.12
ˈʊ	ˈɛ	0.069
ˈʊ	ˈʊ	0.069
ˈʏ	ˈɪ	0.683
ˈʏ	ˈɑ	0.221
