Meixian	Meixian	probability
⁵	³²	1.0
ʨʰ	tʰ	1.0
ʨ	t	1.0
ʊ	ɵ	1.0
ɲ	ᵑɡ	1.0
ɛ_t̚	a_k̚	1.0
ɛ	e	1.0
ɕ	ɬ	1.0
ç	h_u	1.0
¹¹	²²	1.0
z̩	u	1.0
z	u	1.0
w_⁴⁴	w_³³	1.0
t̚	t̚	1.0
tʰ	h	1.0
p̚	t̚	1.0
pʰ	pʰ	1.0
n̩	ⁿd_u	1.0
l	l	1.0
k̚	k̚	1.0
kʰ	h_w	1.0
k	k	1.0
j_ɛ	u	1.0
j_a	e	1.0
h	h	1.0
f	f	1.0
e	e	1.0
c	k	1.0
a_¹¹	a_²²	1.0
<#_tʰ	<#	1.0
<#_t	<#	1.0
#>	²¹_#>	1.0
³¹	⁵⁵	0.957
ŋ	ŋ	0.913
⁴⁴	³³	0.861
w	w	0.846
n	n	0.828
s	s	0.818
a	a	0.722
ʦʰ	ʦʰ	0.7
ɔ	ɔ	0.7
u	u	0.688
o	w_ɔ	0.667
cʰ	-	0.667
p	p	0.625
¹	⁵⁵	0.619
j	j	0.615
ʋ	ᵐb	0.6
m	ᵐb	0.571
⁵³	³³	0.522
ʦ	ʦ	0.5
ʦ	t	0.5
<#	<#_ᵑɡ	0.5
<#	<#_h	0.5
⁵³	³²	0.478
m	m	0.429
ʋ	v	0.4
i	e_j	0.385
p	f	0.375
i	i	0.346
o	ɔ	0.333
cʰ	kʰ	0.333
j	-	0.308
ʦʰ	tʰ	0.3
¹	³³	0.238
ɔ	j_a	0.2
u	i_w	0.188
s	ɬ	0.182
w	-	0.154
¹	³²	0.143
⁴⁴	²¹	0.139
u	w_ɔ	0.125
i	j	0.115
n	ⁿd	0.103
ɔ	a	0.1
ŋ	ᵑɡ_w	0.087
a	w	0.083
a	j_a	0.083
j	u	0.077
i	e	0.077
i	a_j	0.077
n	ɔ_n	0.069
a	j_ɛ	0.056
a	-	0.056
