Bavarian	Bavarian	probability
β	v	1.0
ˈɑː	-	1.0
ˈoː	-	1.0
ˈoɐ̯_#>	ˈɛi̯_t͡n̥_#>	1.0
ˈou̯	ˈœːy̯	1.0
ˈiː	-	1.0
ˈeɐ̯	-	1.0
ʃ_d̥	s_t	1.0
ə	-	1.0
ɑ	ɪ_n	1.0
ŋ_ɡ̊	ʰk	1.0
x_d̥	ʰt	1.0
x_#>	k_#>	1.0
s_ˈo	s_ˈa	1.0
s_a	ʰt͡n̥	1.0
n_ˈɑː	n	1.0
n_s	sː	1.0
n_d̥	nː	1.0
n_#>	a_#>	1.0
i	-	1.0
eɐ̯	aːu̯_n	1.0
d̥_n	ð	1.0
b̥͡v̥	pʰ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ʋ	<#	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_r	<#_r̥	1.0
<#_n	<#_n	1.0
<#	<#_s	1.0
m	m	0.889
l	l	0.864
h	h	0.842
b̥	b̥	0.833
r	r	0.818
ˈuɐ̯	ˈoːu̯	0.8
ˈau̯	ˈuː	0.8
ˈai̯	ˈiː	0.778
ˈaː	-	0.75
f	f	0.741
ˈɒː	ˈaː	0.667
ʋ	v	0.667
ə_#>	#>	0.667
kʰ	kʰ	0.667
ɐ	r	0.65
s	s	0.605
ˈoɐ̯	ˈɛːi̯	0.6
d̥	ð	0.556
<#_d̥	<#_d̥	0.542
#>	ʏ_r̥_#>	0.542
ʦ	tʰ	0.538
ˈa	ˈa	0.5
ˈa	-	0.5
ŋ	ŋ	0.5
<#_d̥	<#_θ	0.458
n	n	0.452
x	k	0.429
ˈeː	-	0.4
ʃ	s	0.4
a	a	0.4
s	t	0.395
j	t͡l̥	0.375
ˈiɐ̯	j_ˈuː	0.364
ŋ	a	0.357
ɐ	r̥	0.35
ˈɒː	-	0.333
ˈɑ	ˈa	0.333
ɡ̊	ɡ̊	0.333
ə_#>	ʏ_#>	0.333
kʰ	cʰ	0.333
ˈo	-	0.316
#>	r̥_#>	0.313
ʦ	t	0.308
ˈi	ˈɪ	0.292
x	ˈɔu̯	0.286
x	-	0.286
ˈe	ˈɛ	0.278
ˈe	-	0.278
ˈiɐ̯	j_ˈoːu̯	0.273
ˈeː	ˈɛː	0.267
ʃ	s_k	0.267
ˈaː	ˈœːy̯	0.25
j	l	0.25
d̥	d̥	0.244
ˈɑ	ˈɑu̯	0.222
ˈɑ	ˈaː	0.222
ˈɑ	-	0.222
ˈai̯	-	0.222
f	p	0.222
ˈo	ˈɔ	0.211
ˈo	ˈa	0.211
ˈi	ˈɛː	0.208
ˈi	-	0.208
ˈuɐ̯	-	0.2
ˈoɐ̯	ˈɛ	0.2
ˈoɐ̯	-	0.2
ˈeː	j	0.2
ˈau̯	-	0.2
ʃ	c	0.2
a	ʏ	0.2
ˈiɐ̯	ˈaːi̯	0.182
ˈiɐ̯	-	0.182
a	ɪ_r̥	0.175
ˈi	ˈi	0.167
ˈe	ˈa	0.167
ˈe	j	0.167
ɡ̊	ɣ	0.167
ɡ̊	-	0.167
b̥	v_ʏ	0.167
n	nː	0.161
ˈu	ˈʏ	0.158
ˈu	ˈɪ	0.158
ˈu	ˈɔ	0.158
ˈu	ˈu	0.158
ˈu	-	0.158
ˈo	ˈʏ	0.158
h	ç	0.158
ʦ	ʰt	0.154
ŋ	-	0.143
l	l̥	0.136
ˈeː	j_ˈoːu̯	0.133
ʃ	s_c	0.133
n	t͡n̥	0.129
n	-	0.129
ˈi	ˈɪː	0.125
ɡ̊	ɟ̊	0.125
j	ˈou̯_l̥	0.125
j	ˈau̯_l	0.125
j	l̥	0.125
ˈe	ˈɛː	0.111
ʋ	v_ˈɪː	0.111
ʋ	kʰ_v	0.111
ʋ	-	0.111
m	v_a	0.111
#>	a_#>	0.108
ˈu	ˈʏː	0.105
ˈu	ˈɔː	0.105
ˈo	ˈɪ	0.105
r	r̥	0.091
r	r_ˈɛ	0.091
ɡ̊	ɡ̊ː	0.083
ɡ̊	k	0.083
a	-	0.075
d̥	-	0.067
n	n̥	0.065
n	j_a	0.065
