Nynorsk Norwegian	English	probability
b	b	1.0
f	f	1.0
h	h	1.0
kʰ	kʰ	1.0
mː	m	1.0
p	p	1.0
pʰ	pʰ	1.0
sː	s	1.0
t	t	1.0
tː	t	1.0
v	w	1.0
ə	ə	1.0
ɛ	ə	1.0
ɪ	ɪ	1.0
ɲ	ŋ	1.0
ʉ	ˈe	1.0
ʰpː	p	1.0
ʰtː	t	1.0
ˈæ	ˈæ	1.0
e	ɪ	0.121
m	v	0.081
nː	θ	0.071
tʰ	θ	0.561
ŋ	ŋ	0.431
ŋː	ŋ	0.981
ɡ	ɡ	0.371
ɡ	-	0.41
ɾ	ə	0.211
ʋ	f	0.171
ˈiː	ˈɔː	0.081
ˈuː	-	0.1
ˈyː	j	0.081
ˈɑː	ˈeɪ̯	0.441
ˈʉ	ˈaʊ̯	0.281
ˈʊ	ˈɐ	0.181
ˈʊ	ˈɪ	0.181
ˈʏ	ˈɜː	0.141
jː	ˈaɪ̯	0.672
l	l	0.722
lː	d	0.102
lː	ɫ	0.792
n	n	0.912
s	s	0.82
ç	t	0.092
ç	ʧ	0.332
çː	ʧ	0.672
ɾ	ɹ	0.42
ʂ	s	0.422
ʰkː	k	0.252
ˈiː	ˈɪ	0.262
ˈoː	j	0.052
ˈoː	ˈɐ	0.162
ˈæɪ̯	w	0.12
ˈœ	ˈɐ	0.12
ˈœʏ̯	ˈiː	0.242
ˈɑ	ˈeɪ̯	0.072
ˈɑ	ˈɒ	0.072
ˈɪ	ˈɪ	0.522
ˈʉː	ˈaɪ̯	0.102
ˈʉː	ˈaʊ̯	0.492
ˈʏ	ˈe	0.052
j	ˈaɪ̯	0.083
l	ɫ	0.233
nː	n	0.723
ç	k	0.213
ɑ	ə	0.263
ˈiː	ˈaɪ̯	0.493
ˈuː	ˈʊ	0.133
ˈyː	ˈɪ	0.433
ˈæʉ̯	ˈaɪ̯	0.113
ˈæʉ̯	ˈiː	0.253
ˈøː	ˈiː	0.603
ˈɛ	ˈe	0.543
ˈʉː	ˈɐ	0.053
s	ʃ	0.114
ɡː	ʤ	0.574
ʋ	v	0.204
ˈeː	ˈaɪ̯	0.054
ˈeː	ˈeɪ̯	0.064
ˈiː	ˈiː	0.134
ˈuː	ˈiː	0.054
ˈæʉ̯	ˈe	0.634
ˈœ	ˈɜː	0.154
ˈɑ	ˈæ	0.344
ˈɑː	ˈɛ	0.084
ˈɔ	w	0.064
ˈɔ	ˈɐ	0.514
ˈɛ	ˈaɪ̯	0.084
ˈɪ	ˈaɪ̯	0.284
ˈʉ	-	0.054
ˈʊ	ˈæ	0.084
ˈʏ	w_ˈɪ	0.184
j	h	0.105
ç	kʰ	0.235
ɡ	f	0.115
ˈæɪ̯	ˈeɪ̯	0.085
ˈæː	ˈe	0.155
ˈɛ	ˈɑː	0.115
ˈʉː	ˈɪ	0.05
ˈʊ	ˈɔː	0.555
ˈʏ	ˈɐ	0.05
e	ə	0.316
j	ɡ	0.16
k	ʧ	0.126
lː	f	0.106
ɡː	ɡ	0.426
ʋ	w	0.566
ˈoː	ˈeɪ̯	0.066
ˈæɪ̯	ˈəʊ̯	0.686
ˈøː	ˈe	0.36
ˈɑ	ˈəʊ̯	0.056
ˈɑː	ˈɒ	0.06
ˈɔ	ˈɔː	0.246
ˈʉ	ˈɐ	0.486
ˈʏ	ˈɒ	0.066
k	-	0.127
k	k	0.747
ɑ	-	0.697
ɡ	j	0.077
ˈeː	ˈe	0.097
ˈeː	ˈɪ	0.257
ˈoː	ˈɛ	0.097
ˈoː	ˈɪ	0.097
ˈoː	ˈuː	0.187
ˈuː	ˈɔː	0.057
ˈuː	ˈɜː	0.137
ˈuː	ˈɐ	0.167
ˈæː	ˈɔː	0.277
ˈœ	ˈɪ	0.247
ˈɑ	ˈɑː	0.237
ˈɑː	ˈæ	0.097
ˈʉ	w_ˈʊ	0.077
d	d	0.958
jː	ˈuː	0.328
n	-	0.088
tʰ	tʰ	0.368
ç	θ	0.128
çː	t	0.328
ʂ	ʃ	0.578
ʋ	-	0.058
ʰkː	ŋ_k	0.748
ˈoː	ˈəʊ̯	0.138
ˈoː	ˈiː	0.168
ˈyː	ˈiː	0.108
ˈyː	ˈaɪ̯	0.348
ˈæː	ˈɛ	0.568
ˈœʏ̯	ˈɪ	0.758
ˈʉː	ˈɒ	0.058
ˈʏ	-	0.088
ˈʏ	ˈɪ	0.418
e	-	0.529
j	-	0.589
m	m	0.919
nː	-	0.189
ŋ	n	0.569
ɾ	ð_ə	0.089
ɾ	-	0.269
ˈeː	ˈɑː	0.069
ˈeː	ˈiː	0.459
ˈuː	ˈuː	0.279
ˈœ	ˈɛ	0.479
ˈɑ	ˈɔː	0.129
ˈɑː	ˈəʊ̯	0.079
ˈɑː	ˈɑː	0.239
ˈɛ	ˈɔː	0.09
ˈɪ	-	0.109
ˈʉː	ˈiː	0.199
