Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d	1.0
θ_s	d	1.0
ˈɑː	-	1.0
ˈɑ_x	ˈoː	1.0
ˈɑ_s	ˈɛː_s	1.0
ˈuː_z	ˈuː	1.0
ˈuː	ˈʉː	1.0
ˈu_n	ˈoː_n	1.0
ˈĩː	-	1.0
ˈiː	ˈiː	1.0
ˈiu̯	-	1.0
ˈeː	ˈæː	1.0
ˈe_w_ɑ̃_#>	ˈɛː_#>	1.0
ɡʷ	-	1.0
ɔ̃ː	a	1.0
ɔːː_#>	#>	1.0
ɔːu̯	a	1.0
ɑ̃_#>	#>	1.0
ɑː_n	a	1.0
ɑ_z_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
ð_ɑ	d	1.0
z_#>	#>	1.0
x_t	tː	1.0
wː	-	1.0
w_ˈu	ˈɵ	1.0
tː	-	1.0
t_ɑ	t	1.0
t_u	ʈ	1.0
sː	sː	1.0
s_ˈɑ	s_ˈa	1.0
s_w	s	1.0
s_k	ɧ	1.0
s_#>	#>	1.0
r_ð	ɖ	1.0
r_s	ʂ	1.0
r_#>	r_#>	1.0
p_ɑ	p	1.0
n_θ	nː	1.0
n_#>	#>	1.0
mː	mː	1.0
lː	lː	1.0
kː	kː	1.0
kʷ_ɑ	k	1.0
kʷ	kʰ	1.0
k_i	k	1.0
jː	ɡː	1.0
j	-	1.0
iː	ɪ	1.0
e_x	ɔ	1.0
e	ɛ	1.0
b	b	1.0
a	-	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈu	<#_ˈɵ	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d	1.0
l	l	0.943
i	-	0.931
ɑ_n	a	0.909
ɸ	f	0.875
u	-	0.875
β	v	0.846
ɣ_j	ɡː	0.833
ɔː	-	0.833
r_n	ɳ	0.833
r	r	0.83
s	s	0.827
n	n	0.784
ˈɛː	ˈoː	0.778
m	m	0.769
ɣ	ɡ	0.765
w	v	0.76
ˈɑu̯	ˈøː	0.733
d	d	0.733
<#_l	<#_l	0.727
x	h	0.7
t	t	0.697
ˈeu̯	ˈʉː	0.692
nː	nː	0.667
l_ɑ	l	0.667
ð	d	0.643
k	k	0.636
z	r	0.625
ˈi	ˈɪ	0.6
ɡ	-	0.6
ɛː	-	0.6
ˈɔː	ˈuː	0.579
ɔːː	a	0.571
ɑ	-	0.571
p	p	0.556
θ	tʰ	0.545
xʷ	v	0.5
xʷ	-	0.5
n_ɑ̃_#>	a_#>	0.5
n_ɑ̃_#>	#>	0.5
ˈɑi̯	ˈeː	0.444
ɔːː	ɛ	0.429
ɡ	ɛ	0.4
ɛː	ɛ	0.4
z	n	0.375
ˈɑ	ˈa	0.364
ð	-	0.357
nː	-	0.333
l_ɑ	ɛ_l	0.333
ˈɑ	ˈɑː	0.318
ɑ	a	0.286
<#_l	<#_j	0.273
ˈɔː	ˈøː	0.263
ˈe	ˈɛ	0.259
ˈe	-	0.259
ˈu	ˈɵ	0.25
w	-	0.24
ɣ	j	0.235
m	mː	0.231
θ	d	0.227
ˈɛː	-	0.222
ˈɑi̯	ˈɛ	0.222
p	pː	0.222
p	pʰ	0.222
t	tː	0.212
ˈɑ	ˈɛ	0.205
ˈi	ˈɛ	0.2
x	-	0.2
ˈu	ˈɔ	0.194
k	ɕ	0.182
ˈɑi̯	ˈoː	0.167
ˈɑi̯	-	0.167
ɣ_j	jː	0.167
ɔː	a	0.167
r_n	ɳː	0.167
ˈɔː	-	0.158
β	-	0.154
ˈeu̯	ˈyː	0.154
ˈeu̯	j_ˈʉː	0.154
ˈe	ˈɛː	0.148
ɑ	ɛ	0.143
ˈu	ˈʏ	0.139
ˈu	ˈœ	0.139
θ	-	0.136
ˈɑu̯	ˈœː	0.133
ˈɑu̯	ˈœ	0.133
d	j	0.133
d	-	0.133
ɸ	-	0.125
u	ʊ	0.125
ˈi	-	0.12
ˈu	-	0.111
ˈe	ˈœ	0.111
x	k	0.1
s	ɧ	0.096
θ	ɕ	0.091
ɑ_n	ˈeː	0.091
t	-	0.091
k	kː	0.091
k	-	0.091
r	ɛ_r	0.085
ˈu	ˈʊ	0.083
ˈu	ˈuː	0.083
n	ɛ_n	0.081
n	-	0.081
ˈi	ˈeː	0.08
s	-	0.077
ˈe	ˈɔ	0.074
ˈe	ˈiː	0.074
ˈe	j	0.074
i	ɛ	0.069
ˈɑ	ˈoː	0.068
l	-	0.057
n	nː	0.054
