Old High German	Palatine German	probability
ˈɑ_s	ˈɑː_s	1.0
ˈuo̯_s̻	ˈiː_s	1.0
ˈuo̯_n	ˈĩː	1.0
ˈu_r	ˈɔ_ɐ	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈɑː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈie̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈe	ˈɛ	1.0
ʦː	ʣ̥	1.0
ʦ	ʣ̥	1.0
ɡ_r	ɡ̊_r	1.0
ɛ_r	ɐ	1.0
ɛ	eː	1.0
ə_n	ə	1.0
ɑ_r	ɐ	1.0
ɑ_n	ə	1.0
ŋ_ɡ	ŋ	1.0
x_s	ɡ̊_s	1.0
v	β	1.0
tː	r	1.0
t_r	d̥_r	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ˈi	s_ˈɪ	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_i	s	1.0
rː	-	1.0
r_ɑ	ɐ	1.0
r_n	ɐ_n	1.0
p͡f	b̥	1.0
p	b̥	1.0
oː_n	ə	1.0
oː	ɑ	1.0
ou̯	ˈɑː	1.0
nː	n	1.0
n_u	ˈõː	1.0
n_t	n	1.0
n_d	n	1.0
mː	m	1.0
m_b	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	ɡ̊	1.0
kʰ_n	ɡ̊_n	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
j	j	1.0
i	-	1.0
fː	f	1.0
f	f	1.0
eː_n	n	1.0
e_n	ə	1.0
ɑ	-	0.951
ˈio̯	ˈiː	0.937
t	d̥	0.899
d	d̥	0.868
o	-	0.841
ˈi	ˈɪ	0.833
ˈɑː	ˈoː	0.824
b	b̥	0.804
w	β	0.779
h	h	0.768
ˈuː	ˈau̯	0.761
ˈuo̯	ˈuː	0.756
ˈɛ	ˈɛ	0.751
n	n	0.75
r	ɐ	0.717
x	ʃ	0.712
ˈo	ˈɔ	0.709
ˈɑ	ˈɑ	0.691
ɡ_ɑ	j	0.649
ˈu	ˈu	0.574
xː	ʃ	0.552
ɡ	ɡ̊	0.534
s	s	0.534
ŋ	ŋ	0.5
ŋ	-	0.5
s	ʃ	0.466
xː	x	0.448
ˈei̯	ˈɛː	0.427
u	ə	0.377
u	-	0.377
ɡ_ɑ	ɣ̊	0.351
ˈei̯	-	0.312
x	x	0.288
r	r	0.283
ˈei̯	ˈeː	0.261
ˈɑ	ˈɑː	0.255
ˈɛ	ˈɛː	0.249
u	ɪ	0.246
ˈuo̯	ˈu	0.244
h	-	0.232
ˈu	ˈɪ	0.231
ɡ	-	0.195
ˈo	ˈoː	0.187
ˈuː	-	0.185
w	-	0.174
n	ə	0.166
o	ə	0.159
ɡ	ɪ	0.15
b	β	0.144
d	r	0.132
ˈɑː	ˈeː	0.124
ɡ	ɣ̊	0.121
ˈu	ˈɛ	0.109
ˈo	ˈu	0.104
t	r	0.101
ˈi	ˈiː	0.095
ˈu	-	0.087
n	-	0.085
ˈi	-	0.072
ˈio̯	ˈi	0.063
ˈɑ	-	0.054
ˈuː	ˈau̯̯	0.054
ˈɑː	ˈo	0.052
b	-	0.051
