Zeelandic	Zeelandic	probability
ˈɒː_ɫ	l	1.0
ˈɑu̯	-	1.0
ˈæi̯	ˈeː	1.0
ˈuːə̯	-	1.0
ˈoː_v	ˈaʊ̯	1.0
ˈiːə̯	ˈɛ	1.0
ɾ_ə	ɐ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_ɾ	ɐ	1.0
ə_n	ə_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z_ə_#>	s_#>	1.0
w_#>	#>	1.0
v̥	f	1.0
v_ɾ	f_r	1.0
v	f	1.0
n_d̥	nʲ	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
k_#>	#>	1.0
k	k	1.0
iː	aɪ̯	1.0
i	ɪ	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_ˈɛː	<#_h_ˈɔː	1.0
<#_ˈɑ	<#_ˈɔː	1.0
<#_ɾ	<#_r	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#	<#_h	1.0
t	t	0.897
z	s	0.864
ˈi	ˈɪ	0.857
p	p	0.833
ʋ	v	0.75
s	s	0.739
n	n	0.719
ˈøː	-	0.714
d̥	ɾ	0.706
n_d	n	0.667
ˈyː	ˈʏ	0.643
ˈu	ˈʊ	0.6
ə	ə	0.529
d	d	0.52
j	j	0.5
j	-	0.5
ˈɪə̯	ˈeː	0.444
ˈiː	ˈiː	0.438
ˈʏ	ˈɛ	0.429
ˈu	ˈɔ	0.4
ˈæ	-	0.385
ˈɛː	ˈɔː	0.375
ˈɛː	-	0.375
ˈeː	ˈeː	0.375
ˈeː	-	0.375
x	ç	0.37
ˈʊə̯	ˈɔa̯	0.368
ˈɑ	ˈa	0.364
ˈɪ	ˈɪ	0.353
ˈɪə̯	ˈɛ	0.333
ˈuː	ˈʊ	0.333
ˈuː	ˈøː	0.333
ˈuː	ˈeː	0.333
n_d	nʲ	0.333
d	tʰ	0.32
ˈɔ	-	0.316
ɾ	ɐ	0.316
ɾ	r	0.316
x	x	0.296
ˈɪ	ˈɛ	0.294
ˈʏ	ˈœ	0.286
ˈʏ	r	0.286
ˈøː	ˈøː	0.286
s	s_k	0.261
ˈiː	-	0.25
ˈeː	ˈiː	0.25
ˈɪə̯	ˈiː	0.222
ˈyː	ˈyː	0.214
ˈʊə̯	ˈoː	0.211
ˈɔ	ˈʏ	0.211
ˈɔ	ˈœ	0.211
ˈiː	ˈyː	0.188
ˈɑ	-	0.182
ˈɪ	ˈʊ	0.176
ˈɪ	-	0.176
ə	ɐ	0.176
d̥	t	0.176
ʋ	-	0.167
p	pʰ	0.167
ˈʊə̯	h	0.158
ˈʊə̯	-	0.158
ˈɔ	ˈɔ	0.158
ˈæ	ˈɛː	0.154
ˈæ	ˈɛ	0.154
ˈæ	ˈaː	0.154
ˈæ	ˈa	0.154
ˈyː	ˈɪ	0.143
ˈi	ˈiː	0.143
ˈɛː	ˈuː	0.125
ˈɛː	ˈiː	0.125
ˈiː	ˈɪ	0.125
n	-	0.125
d	ɾ	0.12
ə	n	0.118
ə	-	0.118
d̥	x_t	0.118
x	ˈaɪ̯	0.111
ˈʊə̯	ˈuː	0.105
ˈɔ	ˈʊ	0.105
t	d	0.103
n	ˈœ_n	0.094
ˈɑ	ˈʏ	0.091
ˈɑ	ˈʊ	0.091
ˈɑ	ˈɛ	0.091
ˈɑ	ˈœ	0.091
ˈɑ	ˈeː	0.091
z	s_ˈɔ	0.091
ʋ	v_ˈɛ	0.083
ɾ	ɐ_x	0.079
ɾ	x	0.079
x	ɪ_ç	0.074
x	k	0.074
x	-	0.074
n	ˈeː	0.062
ə	e	0.059
ɾ	ˈuː_ɐ	0.053
ɾ	ˈuː	0.053
ɾ	ə	0.053
ɾ	-	0.053
