Gascon	Emilian	probability
ˈɛ_t	ˈɛ_l	1.0
ˈɛ_j	ˈaː	1.0
ˈu_ʎ	ˈɔ_ʧ	1.0
ˈa_w	ˈɔː	1.0
ˈa_t	ˈaː_t	1.0
ˈa_#>	ˈɛ_r_#>	1.0
ʦ	z	1.0
ʤ_e	d_i	1.0
ʃ_#>	s_#>	1.0
ɾ_e	e_r	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ð	d	1.0
w_ˈe	ˈɔ	1.0
t_ɾ	t_r	1.0
t	t	1.0
s_e	z	1.0
s_#>	#>	1.0
p	p	1.0
n_ˈa	n_ˈɔː	1.0
n_#>	ŋ_t_#>	1.0
lː	-	1.0
k_ˈa	k_ˈa	1.0
k_l	ʧ	1.0
k_#>	ɡ_#>	1.0
j_ˈe	ˈɛ	1.0
j_t	t	1.0
j_#>	#>	1.0
h	f	1.0
e_s	s	1.0
e_h	f	1.0
d	d	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a_w	<#_u	1.0
<#_a_r	<#_r	1.0
ɔ	a	0.962
k	k	0.947
m	m	0.939
ŋ	ŋ	0.92
ɾ	r	0.909
ʒ	ð	0.8
r	r	0.8
n	n	0.8
u	u	0.769
β	v	0.75
<#_ˈa	<#_ˈaː	0.714
j	-	0.692
#>	r_#>	0.688
t_#>	d_#>	0.625
s	s	0.625
b	v	0.586
l	l	0.579
i	i	0.556
z	z	0.5
z	-	0.5
ˈi	ˈe	0.481
e	e_r	0.48
ˈy	ˈo	0.476
w_#>	l_#>	0.467
ˈa	ˈɛ	0.449
i	-	0.444
ˈɔ	ˈɔː	0.429
ˈɔ	ˈɔ	0.429
w	-	0.429
ˈɛ	ˈɛ	0.421
l	j	0.421
b	b	0.414
ʎ	ʧ	0.4
ʎ	j	0.4
t_#>	#>	0.375
ˈu	ˈʌu̯	0.348
ˈy	ˈuː	0.333
ˈi	ˈiː	0.333
w_#>	v_#>	0.333
s	θ	0.325
ˈe	ˈa	0.324
ˈɛ	ˈɛː	0.316
ˈu	ˈʌ	0.304
<#_ˈa	<#	0.286
ˈa	ˈa	0.265
β	b	0.25
u	-	0.231
ˈa	ˈaː	0.224
w	ˈɔː	0.214
w	w	0.214
ʒ	-	0.2
ʎ	ˈɔː_l	0.2
w_#>	#>	0.2
r	r_e	0.2
ˈy	-	0.19
#>	n_#>	0.188
ˈe	ˈæ	0.162
e	-	0.16
ˈɛ	ˈiː	0.158
j	ð	0.154
j	d_e	0.154
ˈɔ	ˈuː	0.143
w	ˈuː	0.143
ˈe	ˈa_j	0.135
ˈe	-	0.135
ˈu	ˈɔː	0.13
ˈu	ˈo	0.13
#>	v_#>	0.125
n	ŋ	0.12
e	r	0.12
e	e	0.12
e	a	0.12
ˈi	ˈi	0.111
ˈe	ˈiː	0.108
ˈɛ	ˈa	0.105
ɾ	l	0.091
ˈu	-	0.087
ˈe	ˈɛ	0.081
ŋ	n	0.08
n	-	0.08
ˈi	j	0.074
ˈa	-	0.061
m	-	0.061
ˈe	ˈe	0.054
k	ɡ	0.053
