Eastern Lombard	Eastern Lombard	probability
ˈɔ_s	ˈɒ_s	1.0
ˈø_ʧ	ˈo_ʎ	1.0
ˈø_l	ˈi_ʎ	1.0
ˈy	ˈu	1.0
ˈu_s	ˈæ_w	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_l	ˈi_l	1.0
ˈe_#>	ˈæ_#>	1.0
ˈa_#>	ˈa_#>	1.0
ʧ_#>	ʎ_#>	1.0
ɲ	ɲ	1.0
ø	-	1.0
w	w	1.0
u	o	1.0
t_ˈø	t_ˈo	1.0
t_m	mː	1.0
s_ˈɛ	s_ˈæ	1.0
r_t	r_t	1.0
r_m	r_m	1.0
r_k	r_k	1.0
r_e	r	1.0
p	p	1.0
m_#>	m_#>	1.0
m	m	1.0
l_s	l_s	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_#>	ʎ_#>	1.0
f_j	f	1.0
f_#>	w_#>	1.0
e_l	e_l	1.0
e_#>	#>	1.0
a_s	a_s	1.0
a_j	a_ʤ	1.0
a_#>	#>	1.0
<#_ˈe	<#_v_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
ˈa	ˈa	0.967
f	f	0.913
n	n	0.864
l	ʎ	0.75
t	t	0.738
b	b	0.722
<#	<#_v	0.722
ʧ	t	0.714
s_#>	w_#>	0.714
s	s	0.68
r_#>	e_#>	0.667
ŋ	ŋ	0.625
o	o	0.625
i	i	0.625
ˈɔ	ˈɒ	0.6
ʋ	v	0.6
e_r	ɾ_ɜ	0.6
ˈu	ˈo	0.588
z	ʤ	0.579
e	e	0.565
ˈø	ˈɒ	0.556
j	l	0.533
r	ɾ	0.525
ˈi	ˈi	0.52
#>	r_#>	0.516
d	d	0.5
ˈo	ˈɒ	0.478
ɡ	ɡ	0.476
r	r	0.475
ˈɛ	ˈe	0.459
ˈø	ˈu	0.444
ˈe	ˈæ	0.435
ʤ	ɡ_l	0.429
ɡ	ɣ	0.429
z	-	0.421
ˈu	ˈɒ	0.412
a	ɐ	0.412
ʋ	β	0.4
e_r	ɾ	0.4
ŋ	-	0.375
i	e	0.375
ˈɛ	ˈæ	0.351
r_#>	#>	0.333
ˈo	ˈo	0.304
ʧ	k_l	0.286
ʤ	ʎ	0.286
ʤ	-	0.286
s_#>	#>	0.286
j	-	0.267
ˈe	ˈe	0.261
o	-	0.25
l	l	0.25
a	ɜ	0.212
ˈɔ	ˈu	0.2
ˈɔ	-	0.2
d	ð	0.2
a	ɞ	0.2
e	i	0.174
b	β	0.167
<#	<#_a	0.167
ˈi	ˈe	0.16
s	e_s	0.16
j	ʎ	0.133
ˈo	ˈu	0.13
e	ɾ	0.13
e	-	0.13
a	a	0.129
#>	ɐ_#>	0.129
#>	w_#>	0.129
o	ɾ	0.125
ˈi	ˈæ	0.12
ˈi	ˈi_r	0.12
t	ð	0.119
b	-	0.111
<#	<#_ˈa	0.111
ˈɛ	ˈi	0.108
d	ʤ	0.1
#>	s_#>	0.097
ɡ	-	0.095
t	-	0.095
n	-	0.091
ˈo	-	0.087
ˈe	ˈi	0.087
ˈe	ˈe_n	0.087
ˈe	-	0.087
f	w	0.087
ˈɛ	ˈe_j	0.081
ˈi	-	0.08
s	ʃ	0.08
j	ɫː	0.067
d	ɾ	0.067
d	z	0.067
d	w_ɾ	0.067
#>	o_#>	0.065
#>	e_#>	0.065
