Sassarese	Sassarese	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_j	j_ˈɛ	1.0
ˈɔ_ɬ	w	1.0
ˈɔ_ɡː	u	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈɔ_j	ˈɔ	1.0
ˈo_tː	ˈɔ	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_n	ˈẽ	1.0
ˈa_ʦː	ˈɔː	1.0
ˈa_ɬ	ˈoː	1.0
ˈa_ɡ	ˈɔː	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_bː	ˈiː_f	1.0
ˈa_#>	ˈe_#>	1.0
ʧː_u_#>	#>	1.0
ʧː	-	1.0
ʧ	k_l	1.0
ʦː	s	1.0
ʦ_i	ˈɛ	1.0
ʤː	-	1.0
ʤ_i	ɲː	1.0
ʤ	ʤ	1.0
ʒ	-	1.0
ʎː	-	1.0
ʃː	ʃ	1.0
ɮ	-	1.0
ɬ_t	s	1.0
ɬ	s	1.0
ɡː	-	1.0
ɡ_u	k	1.0
ɔ	ˈẽ	1.0
z	-	1.0
xː	ʃ	1.0
x	k	1.0
w	w	1.0
v	v	1.0
u_r	ɔ_l	1.0
u_n	ɔ̃	1.0
u_#>	#>	1.0
tː	t	1.0
t_i	ˈa_ʀ	1.0
s	s	1.0
rː	-	1.0
p_ˈɔ	p_ˈoː	1.0
o	ɔ	1.0
nː_u	ˈɑ̃	1.0
lː	-	1.0
kː	ʧ	1.0
k_a	ʧ	1.0
i_pː	s_p	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː_u_#>	#>	1.0
dː_a	j	1.0
dː	-	1.0
b_a	p	1.0
a_ʤː	ɛː	1.0
a_ɲː	ɛ̃	1.0
a_r	f	1.0
<#_ˈo	<#	1.0
<#_ʦ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a_#>	#>	0.892
m	m	0.882
p	p	0.821
ŋ	-	0.8
b	b	0.778
β	-	0.7
ɲː	ɲ	0.667
mː	m	0.667
ɡ	ɡ	0.625
sː	ʃ	0.6
dː_u	ˈa	0.6
d	-	0.583
r	ʀ	0.542
k	k	0.536
t	t	0.524
ʦ	s	0.5
ʦ	-	0.5
j	l	0.5
#>	ˈa_#>	0.5
#>	n_#>	0.5
n	n	0.458
d	d	0.417
sː	-	0.4
dː_u	ˈɛ	0.4
t	-	0.381
ˈu	ˈɔ	0.375
ˈu	ˈy	0.375
ɡ	-	0.375
j	-	0.375
ˈɛ	-	0.368
i	-	0.364
k	ʧ	0.357
ɲː	-	0.333
mː	-	0.333
a	a	0.318
ˈo	ˈuː	0.312
β	f	0.3
r	-	0.292
ˈa	ˈa	0.289
ˈa	-	0.263
ˈu	ˈu	0.25
ˈo	j	0.25
ˈe	ˈɛ	0.25
ˈe	j	0.25
u	ʀ	0.25
n	-	0.25
ˈɔ	ˈɔ	0.226
ˈi	ˈɛ	0.226
ˈi	ˈi	0.226
ˈi	-	0.226
b	v	0.222
ˈɛ	w	0.211
ˈe	ˈiː	0.208
ŋ	ẽ	0.2
ˈɔ	ˈuː	0.194
ˈi	ʀ	0.194
ˈo	ˈɔ	0.188
u	ˈe	0.188
u	ˈa	0.188
u	ɔ	0.188
u	-	0.188
ˈa	ˈiː	0.184
a	ɛ	0.182
a	j	0.182
a	-	0.182
p	-	0.179
n	ˈɛ̃	0.167
ˈɔ	-	0.161
ˈɛ	ˈɛː	0.158
ˈɛ	ˈɛ	0.158
ˈa	ˈɔː	0.158
i	ɛ	0.152
i	j	0.152
ˈɔ	ˈøː	0.129
ˈɔ	w	0.129
ˈo	ˈu	0.125
ˈo	-	0.125
ˈe	ˈi	0.125
n	ˈɔ̃	0.125
j	z	0.125
i	i	0.121
m	-	0.118
a_#>	w_#>	0.108
k	-	0.107
ˈɛ	j	0.105
ˈa	ˈe	0.105
ˈɔ	ˈoː	0.097
t	ʀ	0.095
i	ˈɛ	0.091
a	l	0.091
ˈe	ˈøː_ʀ	0.083
ˈe	-	0.083
r	l	0.083
ˈɔ	ˈa	0.065
ˈi	ˈiː	0.065
ˈi	ˈe	0.065
i	ˈa	0.061
i	ʀ	0.061
