Swabian	East Franconian	probability
ˈɪ	ˈɪ	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɔː	ˈoː	1.0
ˈɔə̯	ˈuː	1.0
ˈɔe̯	ˈaː	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuː	1.0
ˈoː_n	ˈoː_n	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiə̯	ˈiː	1.0
ʦ	ʦ	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʋ	v	1.0
ʁ_a	ɐ_n	1.0
ʁ	r	1.0
ɪ	ɪ	1.0
ɡ_a	ŋ	1.0
ŋ	ŋ	1.0
t	d̥	1.0
s_a	z̥_n	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
eə̯	eː	1.0
e	-	1.0
b̥͡f	b̥͡v̥	1.0
ʃ	ʃ	0.936
n	n	0.933
d	d̥	0.919
f	f	0.908
ˈa	ˈɒ	0.889
b	b̥	0.811
ˈaː	ˈoː	0.8
ˈe	ˈɪ	0.785
ˈɛ	ˈɛ	0.765
ˈao̯	ˈaʊ̯	0.732
s	s	0.73
ˈu	ˈʊ	0.714
ɡ	ɡ̊	0.697
ç	ç	0.672
ˈae̯	ˈaɪ̯	0.629
x	x	0.621
ˈo	ˈʊ	0.618
a	n	0.584
ˈi	ˈɪ	0.569
ˈɛː	ˈeː	0.504
ˈɛː	ˈɛː	0.496
ˈi	ˈiː	0.431
ˈo	ˈɔ	0.382
x	-	0.379
a	a	0.377
ˈae̯	-	0.371
ˈeː	ˈiː	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
ç	ŋ	0.328
ˈu	ˈɪ	0.286
s	z̥	0.27
ˈao̯	ˈaː	0.268
ˈe	ˈɛ	0.215
ˈaː	ˈɒ_n	0.2
b	β	0.189
ˈɛ	ˈɪ	0.166
ɡ	ç	0.112
f	v̥	0.092
ɡ	ɣ̊	0.086
ˈɛ	ˈɒ	0.07
n	n_a	0.067
ʃ	s	0.064
d	ɾ	0.062
ˈa	ˈɔ	0.056
ɡ	ɡ̊_n	0.056
