Štokavian	Štokavian	probability
̌	-	1.0
ʨ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ_#>	v_ʊ_#>	1.0
ʋ	v	1.0
ʃ	-	1.0
ɲ	nʲ	1.0
ɡ̊	ɡ	1.0
ɡ_#>	ɡ_ʊ_#>	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
uː_̌	ɔ̃	1.0
uː_̂	u_ˈ	1.0
t	t	1.0
s	s	1.0
r̩ː_̂	r_ɪ	1.0
r̩_̂	r_ɪ	1.0
p	p	1.0
oː_̂	ɔ_ˈ	1.0
o_̂	ɔ_ˈ	1.0
o_#>	ɔ_#>	1.0
m	m	1.0
l	l	1.0
j_eː	æ	1.0
j_e	æ_ˈ	1.0
j	æ	1.0
iː_#>	ʊ_#>	1.0
iː	i	1.0
e_̌	ɛ	1.0
e_#>	#>	1.0
d̥	d_ʊ	1.0
d_#>	d_ʊ_#>	1.0
d	d	1.0
b	b	1.0
aː_̂	ɑ_ˈ	1.0
aː	ɑ	1.0
a_̌	ɑ_ˈ	1.0
a_r	r_ʊ	1.0
a_m	m_ɪ	1.0
a_#>	ɑ_#>	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
#>	ʊ_#>	0.939
k	k	0.923
n	n	0.895
i_#>	i_#>	0.8
a_̂	ɑ_ˈ	0.8
o	ɔ	0.778
r	r	0.765
̂	-	0.714
e	ɛ	0.714
uː	ɔ̃	0.667
eː	ɛ̃	0.667
ʎ	l	0.6
iː_̂	i_ˈ	0.6
i	i_ˈ	0.6
t_#>	t_ɪ_#>	0.562
a	ɑ_ˈ	0.545
u_̂	ɔ̃_ˈ	0.5
u_̂	l_ɪ	0.5
u	v_ʊ	0.5
u	u	0.5
i_̂	ɯ_ˈ	0.5
i_̂	i_ˈ	0.5
eː_̂	ˈ	0.5
e_̂	ɛ_ˈ	0.5
t_#>	t_ʊ_#>	0.438
ʎ	-	0.4
iː_̂	ɯ	0.4
i	ɯ_ˈ	0.4
uː	l	0.333
eː	ɛ	0.333
e_̂	ˈ	0.333
̂	ʊ_ˈ	0.286
e	æ_ˈ	0.286
eː_̂	ɛ̃_ˈ	0.25
eː_̂	ɛ	0.25
o	l_ʊ	0.222
a	ɪ	0.212
i_#>	#>	0.2
a_̂	ʊ_ˈ	0.2
a	-	0.182
r	r_ʊ	0.176
e_̂	æ_ˈ	0.167
n	-	0.105
k	-	0.077
a	ʊ	0.061
#>	ˈ_#>	0.061
r	rʲ	0.059
