Saterland Frisian	Middle High German	probability
ˈɔː_r	r	1.0
ˈœː	ˈy	1.0
ˈøː	ˈuː	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈo	1.0
ˈoː_f	b̥	1.0
ˈiːu̯	ˈɛ	1.0
ˈiː_r	r	1.0
ˈiː_d	ˈiː_t	1.0
ˈeːu̯	ˈɛ	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɪ	i	1.0
ə_n	n	1.0
z_ə	s_ə	1.0
w	-	1.0
v_ˈoː	w_ˈei̯	1.0
v_ə	b_ə	1.0
s_ˈiː	ˈæː	1.0
n_ɪ	n_ə	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈiə̯	1.0
j_ə	ə_n	1.0
i	ɛ_h	1.0
h	h	1.0
f	v	1.0
b	b	1.0
r	r	0.968
l	l	0.958
m	m	0.948
v	w	0.857
ˈɪ	ˈi	0.849
ɣ	ɡ	0.838
s_k	ʃ	0.797
n	n	0.779
ɣ̥	ɡ̊	0.69
x	x	0.68
s_t	s_t	0.663
ˈɔː	ˈɑ	0.649
ˈoːu̯	ˈuə̯	0.629
ˈiː	ˈi	0.625
s	s	0.612
ˈoːu̯_n	ˈɑ_n	0.6
ˈaː	ˈɑ	0.58
ˈi	ˈiː	0.577
p	f	0.563
ˈʊ	ˈu	0.555
ə	ə	0.552
ŋ	ŋ	0.548
ˈeː	ˈei̯	0.542
ˈa	ˈe	0.526
ˈa	ˈɑ	0.474
ŋ	ŋ_ɡ	0.452
ˈoː	ˈɑ	0.424
ˈaː	ˈei̯	0.42
ˈɛ	ˈɛ	0.415
ˈɔ	ˈɑ	0.414
d	t	0.405
ˈoːu̯_n	ˈɑː_n	0.4
ˈuː	ˈuː	0.386
ˈɛː	ˈy	0.384
k	kʰ	0.382
ˈɛɪ̯	ˈyə̯	0.381
ˈiː	ˈɑː	0.375
d	d̥	0.35
ˈɛː	ˈɑ	0.345
s_t	ʃ_t	0.337
ˈɛ	-	0.334
ˈʊ	-	0.331
ˈɔ	ˈy	0.329
p	p͡f	0.328
t	s̻	0.321
x	-	0.32
ɣ̥	kː_ə	0.31
ˈoː	ˈoː	0.303
j	ɡ	0.303
ˈɛː	-	0.271
ˈuː	ˈu	0.26
ˈɔ	ˈo	0.257
ˈɛ	ˈɑ	0.251
ˈoːu̯	ˈo	0.247
t	ʦ	0.245
ˈɔː	ˈu	0.244
ə	ə_n	0.243
k	k	0.243
ˈi	ˈi_r	0.241
ˈoː	ˈou̯	0.24
ˈɛɪ̯	ˈɑː	0.231
j	ˈiə̯	0.229
j	ˈɛ	0.205
s_k	ʃː	0.203
t	t	0.198
s	ʃ	0.198
s	ʃː	0.191
ˈi	-	0.182
ˈeː	ˈɛ	0.17
ɣ	-	0.162
d	d	0.162
ˈɛɪ̯	r	0.16
ˈeː	ˈøː	0.157
ˈuː	-	0.156
ˈɪ	-	0.151
k	xː	0.147
k	x	0.147
v	-	0.143
j	ə	0.135
ˈeː	ˈeː	0.132
ˈuː	ˈo	0.131
j	j	0.127
ə	-	0.125
ˈoːu̯	ˈo_r	0.124
t	s̻ː	0.124
ˈɛɪ̯	-	0.117
ˈʊ	ˈo	0.114
ˈɛɪ̯	ˈɛ_r	0.112
n	nː	0.109
ˈɔː	-	0.107
k	xː_ə	0.082
p	p	0.074
ˈuː	ˈyː	0.068
n	n_ə	0.066
t	r_ʦ	0.058
t	ʦː	0.054
d	-	0.053
m	mː	0.052
