Palatine German	Palatine German	probability
ˈɛ̃ː	-	1.0
ˈɛ_β	ˈɛː_b	1.0
ˈɛ_ɐ	ˈʌ	1.0
ˈɑ̃ː	ˈaː	1.0
ˈɑ̃ɪ̯	ˈae̯	1.0
ˈɑ_n	ˈaː	1.0
ˈõː	ˈoː	1.0
ˈo	ˈɔː	1.0
ˈĩː	ˈeə̯	1.0
ˈi	ˈiə̯	1.0
ˈau̯̯	ˈao̯	1.0
ˈau̯	ˈao̯	1.0
ɡ̊	ɡ	1.0
ɑ	a	1.0
ŋ	ŋ	1.0
x_l	ɡ_l	1.0
x	x	1.0
s	s	1.0
r_ˈɑː	ʁ_ˈao̯	1.0
r_ə	d_a	1.0
r_ɐ	d_ʌ	1.0
r	ʁ	1.0
n_ˈeː	n	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
eː	eə̯	1.0
#>	e_#>	1.0
d̥	d	0.961
ˈɑ	ˈa	0.929
ʣ̥	ʦ	0.929
β	ʋ	0.897
ˈɛ	ˈɛ	0.895
b̥	b	0.889
ə	a	0.872
n	n	0.857
ˈuː	ˈuə̯	0.75
ˈaɪ̯	ˈəi̯	0.7
ʃ	ʃ	0.681
ˈoː	ˈoː	0.647
ˈu	ˈo	0.643
j	ɡ	0.6
ˈɛː	ˈɔe̯	0.5
ˈiː	ˈiə̯	0.5
ɐ	ʕ	0.488
ˈɔ	ˈo	0.467
ɐ	ʌ	0.415
ˈɔ	ˈɔ	0.4
ˈɑː	ˈaː	0.4
ɪ	ɪ	0.4
ɪ	-	0.4
j	j	0.4
ˈeː	ˈɔe̯	0.375
ˈeː	ˈeː	0.375
ˈɪ	ˈi	0.37
ˈiː	ˈi	0.333
ˈaɪ̯	ˈae̯	0.3
ˈu	ˈu	0.286
ˈuː	ˈuː	0.25
ˈeː	ˈiː	0.25
ˈoː	ˈɔː	0.235
ˈɑː	ˈao̯	0.2
ˈɑː	ˈa	0.2
ˈɑː	-	0.2
ɪ	i	0.2
ˈɛː	ˈɛː	0.188
ˈɛː	-	0.188
ˈɪ	ˈɪ	0.185
ˈɪ	ˈe	0.185
ʃ	ç	0.17
ˈiː	ˈiː	0.167
ʃ	ɡ	0.149
ˈɪ	-	0.148
ˈɔ	ˈu	0.133
ˈɛː	ˈae̯	0.125
ˈoː	-	0.118
ˈɪ	ˈu	0.111
ˈɛ	ˈe	0.105
β	b	0.103
ɐ	d_ʌ	0.098
n	-	0.095
ə	-	0.077
b̥	b̥͡f	0.074
ˈɑ	-	0.071
ˈu	ˈɔə̯	0.071
ʣ̥	ʣ	0.071
ə	d_a	0.051
