Eastern Lombard	Neapolitan	probability
i	i	1.0
u	u	1.0
w	w	1.0
ŋ	ŋ	1.0
ʤ	-	1.0
ˈy	ˈu	1.0
b	b_w	0.051
d	-	0.081
o	u	0.431
p	k	0.101
r	-	0.1
r	ɾ_ə	0.251
s	ʃː_ə	0.051
s	ʃː	0.061
s	ʃ_ə	0.091
t	t	0.531
ɡ	-	0.121
ɡ	ɡ	0.601
ʧ	kː_j_ə	0.821
ˈe	ˈɛ	0.241
ˈo	ˈa	0.101
ˈo	w_ˈɔ	0.191
ˈɔ	ˈo	0.191
ˈɛ	j_ˈɛ	0.241
b	bː	0.12
d	d	0.472
e	i	0.142
j	ʎː	0.192
k	k_ə	0.132
l	lː_ə	0.192
l	l	0.552
r	ɾ	0.402
ɲ	ɲː	0.222
ˈa	ˈa	0.912
ˈe	ˈɛ_n	0.112
ˈi	ˈi_n	0.072
b	-	0.133
e	ə	0.63
m	mː_ə	0.103
t	tː_ə	0.153
z	j	0.443
ˈu	ˈo	0.43
a	a	0.184
f	v_ə	0.224
k	k	0.744
r	r	0.184
ˈi	ˈe	0.244
ˈo	ˈɔ	0.304
ˈo	ˈu	0.404
ˈø	ˈu	0.674
ˈɔ	ˈɔ	0.434
f	f	0.735
j	ʎː_ə	0.05
o	o	0.15
ʧ	tː_ə	0.15
ˈɔ	w_ˈɔ	0.375
a	ə	0.806
d	t	0.396
e	-	0.186
ˈi	ˈi	0.646
ˈu	ˈu	0.186
ˈu	ˈɔ	0.316
ˈø	w_ˈɔ	0.296
ˈɛ	ˈi	0.156
ˈɛ	ˈe	0.336
b	b	0.097
m	m	0.897
s	-	0.057
s	s	0.327
t	t_ə	0.227
ˈe	ˈi	0.427
l	l_ə	0.158
n	nː	0.078
n	n	0.858
z	ʃ	0.078
z	ʤ	0.438
ɲ	ɲː_ə	0.568
ˈa	ˈa_n	0.088
ˈe	j_ˈɛ	0.068
ˈe	ˈe	0.108
b	v	0.599
j	-	0.139
j	j	0.619
k	kː	0.069
o	ə	0.419
p	p	0.899
s	ʃ	0.329
ɡ	k	0.279
ɲ	n	0.209
ˈɛ	ˈɛ	0.249
