Pennsylvania German	Northern Low Saxon	probability
ˈɛː_ɾ	ˈaː	1.0
ˈɛ_s	ˈeː_d	1.0
ˈɛ_d	ˈɛ_l	1.0
ˈeː_l	ˈeː_l	1.0
ˈaː_ɾ	ˈɔː	1.0
ˈaː	-	1.0
ˈaɪ̯_d̥	ˈiː_d	1.0
ˈa_l	ˈaː	1.0
ʋ_ə	m	1.0
ʋ	v	1.0
ʃ_d̥	s	1.0
ɾ_ə	ɐ_n	1.0
ɪ_ç	ɡ	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
t	t	1.0
m_ə	m	1.0
m	m	1.0
l_d̥	l_d	1.0
l	l	1.0
k_ə	ɡ_n	1.0
h	h	1.0
f_ə	b_m	1.0
eː	aɪ̯	1.0
d̥	d	1.0
d_ˈiː	ˈɛː	1.0
d	d	1.0
n	n	0.957
b	b	0.949
ɾ	r	0.944
ʃ	ʃ	0.931
ˈaʊ̯	ˈuː	0.857
f	f	0.854
ɡ	ɡ	0.853
k	kʰ	0.801
ˈiː	ˈaɪ̯	0.767
ɪ	ɪ	0.75
n_ə	n_n	0.719
j	-	0.703
ˈuː	ˈaʊ̯	0.667
ˈɪ	ˈɪ	0.653
x	x	0.617
ˈa	ˈa	0.616
ə	n	0.613
ˈʊ	ˈʊ	0.599
ɣ	ɡ	0.593
b̥	f	0.589
ˈoː	ˈoː	0.558
ˈeː	ˈaɪ̯	0.552
ˈɛː	ˈoː	0.545
ç	ç	0.54
ʦ	tʰ	0.535
ç	ɡ	0.46
ˈɛː	ˈɛɪ̯	0.455
ˈɔ	ˈʊ	0.455
ˈoː	ˈaʊ̯	0.442
ɡ̊	ç	0.433
s	z	0.42
ɣ	-	0.407
ˈaɪ̯	ˈiː	0.399
x	ɡ	0.383
ˈɛ	-	0.381
ˈɔ	ˈɔ	0.364
ˈɔː	ˈoː	0.342
s	d	0.335
ɡ̊	ɡ	0.311
j	ʒ	0.297
n_ə	n	0.281
ˈaɪ̯	-	0.274
ˈɛ	ˈɛ	0.271
ˈɔː	-	0.269
ɡ̊	x	0.256
ɪ	i	0.25
b̥	-	0.25
ʦ	d	0.238
ə	-	0.234
ˈiː	ˈɔʏ̯	0.233
ʦ	t	0.227
ˈɔː	ˈaʊ̯	0.226
ˈeː	ˈɔʏ̯	0.216
ˈʊ	-	0.209
ˈɛ	ˈœː	0.195
ˈɔ	ˈoː	0.182
ˈɪ	ˈʏ	0.177
s	z̥	0.176
ˈuː	ˈuː	0.167
ˈuː	-	0.167
ˈaɪ̯	ˈɪ	0.166
ˈɔː	ˈa	0.164
ˈaɪ̯	ˈyː	0.161
b̥	v̥	0.161
ˈɛ	ˈœ	0.152
ə	ŋ	0.152
k	ç	0.152
ɡ	-	0.147
f	b	0.146
ˈeː	-	0.145
ˈaʊ̯	-	0.143
ˈɪ	-	0.131
ˈʊ	ˈʏ	0.109
ˈa	ˈoː	0.096
ˈa	ˈaʊ̯	0.092
ˈeː	ˈeɪ̯	0.087
ˈa	ˈɪ	0.087
ˈʊ	ˈaʊ̯	0.083
ʃ	s	0.069
ˈa	ˈaʊ̯_ɐ	0.067
ɾ	-	0.056
b	pʰ	0.051
