Slovenian	Czech	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ	ɦ	1.0
ɛ̀ː_l	ˈɛ_l	1.0
ɛ̀ː	ˈɛ	1.0
ɛ	ɛ	1.0
ə́_r	ˈr̩	1.0
ə́	ˈɛ	1.0
ə_m	m̩	1.0
ə_k	k_iː	1.0
ɔ́ː_w	ˈl̩	1.0
ɔ́ː	l	1.0
ɔ́	ˈuː	1.0
ɔ̀ː	ˈo	1.0
ɔ	o	1.0
z	z	1.0
x	x	1.0
w	l_iː	1.0
s	s	1.0
p	p	1.0
óː_#>	o_#>	1.0
òː	ˈo	1.0
o	ˈo	1.0
m	m	1.0
j	j	1.0
íː	ˈɪ	1.0
ìː	ˈɪ	1.0
e	ˈɛ	1.0
d	d	1.0
b	b	1.0
áː	ˈa	1.0
á	ˈa	1.0
<#_t	<#_t	1.0
#>	iː_#>	1.0
l	l	0.917
a	a	0.889
t	t	0.875
k	k	0.864
n	n	0.833
ʋ	v	0.727
i	-	0.667
w_#>	l_#>	0.6
r	r	0.593
àː	ˈaː	0.571
éː	ˈɛ	0.533
ʧ	ʧ	0.5
ʧ	ʦ	0.5
ə	-	0.5
óː	ˈo	0.5
àː	ˈa	0.429
èː	ˈiː	0.417
w_#>	#>	0.4
i	ɪ	0.333
éː	ɛ	0.333
èː	ˈɛ	0.333
ə	ɛ	0.3
óː	ˈu	0.3
ʋ	v_j	0.273
èː	ˈɛː	0.25
r	r̝	0.222
ə	iː	0.2
óː	ˈuː	0.2
n	ɲ	0.167
k	x	0.136
éː	ˈiː	0.133
t	c	0.125
r	r̝̊	0.111
a	ɛ	0.111
l	-	0.083
r	ˈr̩	0.074
