Teochew	Teochew	probability
⁴⁴	³³	1.0
⁴	³²	1.0
ʨʰ	tʰ	1.0
ʣ	ᵑɡ	1.0
ʔ_²	k̚_³³	1.0
ɡ	ᵑɡ	1.0
ŋ̍	v_ɔ_ŋ	1.0
ŋ_o	m̩	1.0
¹¹	³²	1.0
³³	³³	1.0
²¹³	³³	1.0
w_e	w_ɔ	1.0
ũ	w	1.0
u_ŋ	a_n	1.0
tʰ	h	1.0
s	ɬ	1.0
pʰ	pʰ	1.0
õ	a_ŋ	1.0
o_ʔ	ɔ_k̚	1.0
o_w	u	1.0
h_w	f	1.0
ẽ	a_ŋ	1.0
e_ŋ	n	1.0
b	ᵐb	1.0
a_w	e_w	1.0
<#_w	<#_v	1.0
<#_t	<#	1.0
<#_h	<#	1.0
<#	<#_h	1.0
⁵⁵	²²	0.909
k	k	0.909
²	⁵⁵	0.867
⁵²	⁵⁵	0.786
kʰ	h	0.778
j	j	0.727
u	u	0.714
h	h	0.714
ʔ	t̚	0.667
l	l	0.625
³⁵	⁵⁵	0.6
t	ʦ	0.6
k̚	k̚	0.6
i	i	0.556
e	a	0.55
ŋ	ŋ	0.531
n	ⁿd	0.5
n	l	0.5
m	ᵐb	0.5
m	m	0.5
ã	ɔ_n	0.5
ã	ŋ	0.5
ŋ	n	0.469
ʦʰ	tʰ	0.455
ʦ	s	0.455
ɯ	ɔ	0.429
p	p	0.417
p	f	0.417
³⁵	²¹	0.4
t	ʦʰ	0.4
k̚	t̚	0.4
l	ⁿd	0.375
w	w	0.368
ʦʰ	ʦʰ	0.364
ʦ	t	0.364
a	a	0.353
ʔ	k̚	0.333
ĩ	j_a	0.333
ĩ	j	0.333
ĩ	e_n	0.333
a	ɵ	0.294
ɯ	j	0.286
ɯ	-	0.286
h	f	0.286
o	u	0.25
o	a_w	0.25
o	a	0.25
kʰ	f	0.222
i	e_j	0.222
w	e	0.211
w	-	0.211
ʦʰ	s	0.182
ʦ	ʦ	0.182
j	ɔ_j	0.182
⁵²	²¹	0.179
a	ɔ	0.176
p	pʰ	0.167
e	j	0.15
u	w_ɔ	0.143
u	e	0.143
²	³³	0.133
o	ɵ	0.125
o	ɔ	0.125
a	w	0.118
i	u	0.111
i	j	0.111
w	u	0.105
w	j	0.105
e	ɵ	0.1
e	e	0.1
e	a_w	0.1
⁵⁵	n_²²	0.091
k	kʰ	0.091
j	u	0.091
a	ɛ	0.059
