Aragonese	Aragonese	probability
θ_#>	s_#>	1.0
β_ɾ	w	1.0
β_o	f	1.0
ˈi_ɾ_#>	ˈiː_#>	1.0
ˈi_ɾ	i	1.0
ˈe_β	ˈo	1.0
ˈe_ɾ	i	1.0
ˈe_n	ˈi_n	1.0
ˈe_j	ˈe	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_t	l_t	1.0
ʝ	-	1.0
ʃ	s	1.0
ɾ_β	r_b	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_#>	#>	1.0
ɣ_o_#>	#>	1.0
ŋ	ŋ	1.0
ð_o	t	1.0
z	z_u	1.0
w_#>	#>	1.0
t_ˈo	d_ˈu	1.0
t_a	t_e	1.0
s_a	z_e	1.0
s_#>	#>	1.0
r	r	1.0
p_o_#>	p_#>	1.0
o_#>	#>	1.0
n_o_#>	#>	1.0
n_o	ŋ	1.0
m	m	1.0
l_#>	l_#>	1.0
j_t	t	1.0
f	f	1.0
e_ɾ	e_r	1.0
e_s	s	1.0
e_n	e_n	1.0
e_#>	#>	1.0
d_o	t	1.0
d	d	1.0
b_ɾ_e_#>	#>	1.0
a_β	a_v	1.0
a_s	s	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʝ	<#_j	1.0
<#_w	<#_v	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	s_#>	1.0
s	s	0.943
p	p	0.938
t	t	0.929
l	l	0.862
ˈi	ˈi	0.815
θ	ʧ	0.812
ɾ	r	0.811
ʧ	ʤ	0.75
ɲ	ɲ	0.75
a	e	0.747
ˈa	ˈa	0.723
ð	d	0.667
n	n	0.634
ʎ_o	l	0.6
ɾ_o	r_i	0.6
<#	<#_j	0.6
β	v	0.583
ɡ	ɡ	0.583
b	v	0.576
ˈo	ˈo	0.571
u	o	0.571
o	o	0.571
j_ˈe	ˈɛ	0.556
w	w	0.55
j	j	0.542
k	k	0.511
ʎ	l	0.5
ʎ	j	0.5
j_#>	r_i_#>	0.5
j_#>	#>	0.5
i	-	0.455
k	c	0.447
j_ˈe	ˈiː	0.444
u	-	0.429
ˈu	ˈu	0.407
ʎ_o	l_i	0.4
ɾ_o	r	0.4
<#	<#_l	0.4
e	i	0.391
ɣ	ɡ	0.385
ɣ	-	0.385
ˈe	ˈɛ	0.379
j	-	0.375
b	b	0.364
w_ˈe	ˈuː	0.333
e	-	0.304
ˈe	ˈe	0.293
ˈa	ˈaː	0.277
i	i	0.273
i	a	0.273
β	-	0.25
ʧ	-	0.25
ɲ	ŋ	0.25
ɡ	k	0.25
w_ˈe	ˈo	0.25
w_ˈe	w_ˈa	0.25
w	-	0.25
n	ŋ	0.244
ɣ	k	0.231
ˈu	ˈo	0.222
o	u	0.214
o	-	0.214
ð	t	0.2
θ	-	0.188
ˈu	ˈuː	0.185
ˈo	ˈoː	0.179
e	e	0.174
β	b	0.167
ɡ	-	0.167
w_ˈe	ˈɔ	0.167
a	a	0.165
ˈo	w	0.143
l	-	0.138
ð	-	0.133
e	r	0.13
n	ɲ	0.122
ˈe	ˈeː	0.121
ˈu	-	0.111
ˈi	ˈiː	0.111
w	ˈuː	0.1
w	f	0.1
j	ˈɛ	0.083
ɾ	i	0.081
ˈu	ˈɔ	0.074
ˈi	-	0.074
ˈo	-	0.071
t	-	0.071
ˈe	ˈɔ	0.069
p	-	0.062
b	-	0.061
s	ˈa	0.057
ɾ	a_r	0.054
ɾ	a	0.054
ˈe	ˈi	0.052
ˈe	-	0.052
