Northern Low Saxon	Old English	probability
ˈʊ_n	ˈuː	1.0
ˈɛː	j_ˈeː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈy_r	1.0
ˈɔʏ̯_d	ˈeː_t	1.0
ˈœː_l	eo̯	1.0
ˈœ	ˈe	1.0
ˈyː	-	1.0
ˈuː_d	d	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeɪ̯	ˈæː	1.0
ʒ	j	1.0
ɪ	i	1.0
z̥	z	1.0
z	s	1.0
v̥	f	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
n_d	n_t	1.0
l_d	ɫ_d	1.0
k	k	1.0
j	ɡ	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d_r	d_r	1.0
aɪ̯	iːy̯	1.0
v	w	0.931
ˈʊ	ˈu	0.899
t	t	0.883
r	r	0.873
m	m	0.726
ˈɔ	ˈo	0.723
ˈɪ	ˈi	0.718
n	n	0.699
ˈɛ	ˈe	0.667
b	b	0.661
ŋ	ŋ_ɡ	0.632
ʃ	ʃ	0.62
ˈøː	ˈu	0.613
ɐ	r	0.56
ˈaː	ˈæɑ̯_r	0.545
l	l	0.542
ˈa	ˈɑ	0.516
kʰ	k	0.507
d	d	0.403
ˈɔʏ̯	ˈeː	0.401
ˈaɪ̯	ˈeːo̯	0.393
ˈøː	ˈo	0.387
ˈʏ	ˈy	0.384
ˈaɪ̯	ˈɑː	0.383
ˈaʊ̯	ˈæːɑ̯	0.382
ʃ	s	0.38
ˈɔʏ̯	ˈiːy̯	0.369
l	ɫ	0.347
ˈaʊ̯	ˈoː	0.343
kʰ	ʧ	0.329
ˈʏ	-	0.316
x	x	0.305
ˈeː	ˈi	0.287
ˈeː	ˈe	0.287
b	p	0.286
ˈɔ	-	0.277
ˈeː	-	0.276
ɡ	ɡ	0.262
d	θ	0.261
x	-	0.25
ˈa	ˈæ	0.248
ˈʏ	ˈu	0.242
x	ç	0.239
ˈɔʏ̯	-	0.231
ˈaː	ˈæɑ̯_ɫ	0.227
ˈaː	r	0.227
ˈoː	-	0.218
x	xː	0.206
ç	ʤ	0.2
ç	ɣ̊	0.2
ç	ɣ	0.2
ç	x	0.2
ç	-	0.2
d	t	0.2
ɐ	e_r	0.196
ŋ	ʤː	0.193
ˈoː	ˈæː	0.187
ˈoː	ˈɑ	0.186
ˈoː	ˈæːɑ̯	0.186
ŋ	ŋ	0.175
ˈɛ	-	0.172
ɡ	j	0.172
kʰ	ʧ_ˈi	0.164
ˈɛ	bː	0.162
ɐ	o_r	0.15
ˈeː	ˈeo̯	0.149
ɡ	k	0.142
m	ɑ	0.134
ˈɪ	-	0.132
r	h_r	0.127
ˈaɪ̯	ˈeːo̯_ɣ	0.126
n	ɑ_n	0.123
ˈaʊ̯	ˈo	0.119
ɡ	ʧ_e	0.119
t	d	0.117
ˈoː	ˈæ	0.113
ˈoː	ˈu	0.109
ˈa	ˈæɑ̯	0.109
ˈʊ	ˈo	0.101
ˈɪ	ˈɑː	0.101
ˈaɪ̯	-	0.099
n	nː	0.097
d	t_ɑ	0.096
ɐ	r_e	0.093
ˈaʊ̯	-	0.09
m	v_ɑ	0.09
ɡ	ʤ	0.074
ɡ	k_ɑ	0.072
ɡ	ʧː	0.069
v	h_w	0.069
ˈaʊ̯	ˈæɑ̯	0.066
ˈa	ˈiy̯	0.063
ˈa	ˈi	0.063
ˈʏ	ˈɛ	0.058
ɡ	ɣ	0.056
b	pː	0.053
m	v	0.05
