Proto-Germanic	Proto-Germanic	probability
ˈɛː_r	ˈɑː	1.0
ˈɔː_n	ˈĩː	1.0
ˈɑː_n	ˈɛ̃ː	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑi̯_n	ˈãː	1.0
ˈɑi̯	ˈaː	1.0
ˈɑ_s	ˈɑː_s	1.0
ˈĩː	ˈai̯	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiː	ˈai̯	1.0
ˈiu̯	ˈoi̯	1.0
ɸ	f	1.0
ɣ_r	k_ʀ	1.0
ɣ_j	k	1.0
ɡʷ	-	1.0
ɡ	-	1.0
ɛː	æ̆	1.0
ɔ̃ː_#>	#>	1.0
ɔːu̯	-	1.0
ɔː_θ	ɑ	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	ˈa_n	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ə	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
z	-	1.0
xʷ	v	1.0
x_t	ʃ_t	1.0
x_s	k_s	1.0
w_u	ˈoĩ̯	1.0
u	-	1.0
tː	-	1.0
t_s	s	1.0
t_i	t	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɔː	æ̆	1.0
r_ɑ̃	æ̆	1.0
r_ɑ	æ̆	1.0
r_n	ɐ_n	1.0
r_i	æ̆	1.0
r_#>	#>	1.0
pː	-	1.0
nː	n	1.0
n_θ	n	1.0
n_u	ˈõː	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ɑ	l	1.0
l_d	ˈaː	1.0
l	l	1.0
kː	ɡ̊	1.0
kʷ	-	1.0
k_ˈu	kʰ	1.0
jː	ˈai̯	1.0
iː	ˈeː_s	1.0
i	-	1.0
e_x	ɛː	1.0
e	æ̆	1.0
d_u	d̥	1.0
<#_θ	<#_d̥	1.0
<#_ˈɑ	<#	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_x	<#	1.0
<#_w	<#_v	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d̥	1.0
ˈuː	ˈau̯	0.833
ˈeu̯	ˈiː	0.8
ð	d̥	0.8
w	v	0.778
j	-	0.773
ˈi	ˈi	0.75
s	s	0.73
ɔːː	-	0.727
n	n	0.704
x	h	0.696
ˈɛː	ˈɑː	0.667
ɣ_ɑ	ʃ	0.667
θ	d̥	0.643
p	f	0.636
r	ʀ	0.621
β	v	0.615
b	b̥	0.6
ˈɑu̯	ˈaː	0.583
ˈɔː	ˈuː	0.538
ˈɑ_r	ˈɑː	0.5
ˈɑ_r	ˈɑ	0.5
ɣ	ɣ̊	0.5
d	t	0.5
d	d̥	0.5
b	p	0.4
β	b̥	0.385
ˈɑ	ˈɑ	0.341
ˈɛː	ˈoː	0.333
ˈɑu̯	ˈoː	0.333
ɣ_ɑ	x	0.333
ˈɑ	ˈa	0.317
k	ʃ	0.312
r	ɐ	0.31
ˈɔː	ˈu	0.308
ɣ	ʒ̊	0.3
ˈe	ˈɛ	0.276
ˈu	ˈu	0.275
ɔːː	ə	0.273
p	v̥	0.273
ɑ	-	0.263
k	-	0.25
ˈe	-	0.241
t	z̥	0.227
t	s	0.227
w	-	0.222
n	ə	0.222
x	-	0.217
θ	t	0.214
ˈe	ˈi	0.207
ˈu	ˈo	0.2
ˈu	ˈi	0.2
ˈeu̯	ˈi	0.2
ɣ	-	0.2
ð	t	0.2
k	k	0.188
t	ʦ	0.182
t	t	0.182
ˈi	-	0.179
ˈuː	ˈuː	0.167
ɑ	ə	0.158
ɑ	i	0.158
ˈɔː	ˈoi̯	0.154
ˈu	ˈɔ	0.15
ˈɑ	ˈɑː	0.146
ˈɑ	ˈe	0.146
θ	-	0.143
ˈe	ˈɛː	0.138
ˈe	ˈæ	0.138
j	j	0.136
ˈu	ˈoː	0.125
k	ɡ̊	0.125
k	x	0.125
s	ʃ	0.108
s	-	0.108
ɑ	ʒ̊	0.105
ɑ	ʃ	0.105
ɑ	æ̆	0.105
ɑ	l	0.105
t	d̥	0.091
t	-	0.091
p	pʰ	0.091
j	ɣ̊	0.091
x	x	0.087
ˈɑu̯	oː	0.083
n	v	0.074
ˈi	ˈai̯	0.071
r	æ̆	0.069
s	t	0.054
