Eastphalian	Old West Norse	probability
ˈɛə̯	ˈɑ	1.0
ˈɔʏ̯	ˈøː	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ˈaː	ˈɑ	1.0
ˈaɪ̯	ˈɛi̯	1.0
ɪ	ɑ	1.0
ɣ̊	ɣ	1.0
ɡ	ɟː	1.0
ɒː	ɑː	1.0
ŋ_k	kː	1.0
z̥	sː	1.0
z	s	1.0
w	v	1.0
t_n	t_ɑ	1.0
s	s	1.0
r_ˈʏ	r	1.0
r	r	1.0
n_ə	nː	1.0
d	θ	0.909
ˈʊ	ˈu	0.892
p	p	0.888
m	m	0.869
f	f	0.862
h	h	0.856
b	b	0.836
v	v	0.823
l	l	0.788
ˈiː	ˈiː	0.777
ɐ	r	0.756
t	t	0.722
j	-	0.718
ˈuː	ˈuː	0.687
ˈoː	ˈo	0.669
ˈœ	ˈu	0.641
d̥	ð	0.632
ˈaʊ̯	ˈoː	0.603
ˈa	ˈɑ	0.583
ˈɛː	ˈe	0.572
ˈɪ	ˈi	0.532
ɣ	ɡ	0.526
ç	ɣ_r̥	0.52
ʃ	s_k	0.508
x	tː	0.508
ʃ	c	0.492
x	-	0.492
n	n	0.489
ç	ˈeː	0.48
ˈeː	-	0.465
ˈɛ	ˈe	0.463
ˈeo̯	ˈɑu̯	0.461
ə	ɑ	0.447
ˈɒː	ˈɑː	0.446
ˈɒː	ˈɑ	0.432
ˈɛː	ˈɔ	0.428
ŋ	ŋ_ɡ	0.425
k	k	0.421
ə	r̥	0.407
ˈʏ	ˈu	0.393
ˈɛ	-	0.378
ˈœ	ˈo	0.359
ˈɔ	ˈu	0.355
ˈɛɪ̯	ˈɛi̯	0.348
ˈoː	ˈy	0.331
ˈuː	ˈu	0.313
ˈeː	j_ˈɔ	0.312
ˈʏ	ˈy	0.309
ˈeo̯	-	0.306
ɣ	-	0.3
ˈʏ	ˈyː	0.297
k	kʰ	0.296
j	ʝː	0.282
ˈɔ	ˈɑ	0.275
ˈɪ	-	0.236
ˈeː	j	0.224
ˈiː	ˈeː	0.223
l	lː	0.212
ŋ	ɣ_ɑ	0.207
ŋ	ŋ_ɟ	0.207
ˈaʊ̯	-	0.201
ˈaʊ̯	ˈɔː	0.196
ˈɛɪ̯	j_ˈoː	0.192
ˈɔ	ˈoː	0.191
ˈɛɪ̯	j_ˈuː	0.185
ˈɛɪ̯	-	0.184
ˈɔ	ˈo	0.179
ɣ	ɣ	0.174
n	ɑ	0.173
b	-	0.164
ŋ	ŋ	0.161
t	tː	0.16
n	nː	0.16
ˈɛ	ˈɑ	0.159
d̥	d_r̥	0.155
d̥	d	0.155
ˈeo̯	ˈøy̯	0.152
h	ç	0.144
f	v	0.138
v	-	0.131
ˈɒː	-	0.122
p	pː	0.112
k	cʰ	0.109
ˈʊ	ˈoː	0.108
ˈa	ˈɑː	0.106
ˈa	ˈɛ	0.105
ˈa	ˈɔ	0.103
ˈa	-	0.103
ˈɪ	ˈe	0.102
ˈɛɪ̯	ˈiː	0.091
d	ð_i	0.091
k	cː	0.09
k	c	0.084
t	-	0.082
ˈeo̯	ˈɒu̯	0.08
ˈɪ	ˈy	0.079
ə	i	0.073
ə	a	0.073
ɐ	r̥ː	0.064
ɐ	ð_r	0.061
d̥	-	0.058
ˈɪ	e	0.051
n	-	0.051
