Westphalian	American English	probability
aɪ̯	i	1.0
b	b	0.884
b	v	0.068
d	d	0.676
d	θ	0.293
f	f	0.954
h	h	1.0
j	j	1.0
k	k	0.429
k	ʧ	0.338
k	kʰ	0.138
k	ʤ	0.051
l	l	0.527
l	ɫ	0.465
m	m	0.922
m	-	0.059
n	n	0.912
n	-	0.079
p	p	0.918
r	ɹ	0.954
s	s	0.964
t	ʔ	0.448
t	tʰ	0.14
t	d	0.119
t	t	0.116
t	ɹ_ʔ	0.073
v	v	0.491
v	w	0.364
v	f	0.145
w	w	0.982
x	ɡ	0.664
x	ʔ	0.23
x	j	0.05
z	z	0.88
z	s	0.12
ç	ʔ	0.506
ç	ʤ	0.384
ç	-	0.11
ŋ	ŋ	0.835
ŋ	-	0.165
ɐ	ɚ	0.609
ɐ	ɹ	0.151
ɐ	-	0.065
ɐ	d_ɚ	0.061
ə	ə	0.872
ə	-	0.128
ɡ	-	0.894
ɡ	ʤ	0.106
ɣ	-	1.0
ɪ	i	1.0
ʃ	ʃ	0.678
ʃ	s	0.322
ˈa	ˈæ	0.542
ˈa	ˈeɪ̯	0.131
ˈa	ˈɑ	0.124
ˈa	ˈʌ	0.07
ˈa	ˈu	0.058
ˈaɪ̯	ˈi	0.459
ˈaɪ̯	ˈaɪ̯	0.271
ˈaɪ̯	ˈɛ	0.183
ˈaʊ̯	ˈi	0.508
ˈaʊ̯	ˈɛ	0.209
ˈaʊ̯	ˈaʊ̯	0.087
ˈaʊ̯	ˈaɪ̯	0.082
ˈaʊ̯	ˈeɪ̯	0.057
ˈaʊ̯	ˈu	0.057
ˈaː	ˈɑ	0.366
ˈaː	ˈæ	0.279
ˈaː	ˈeɪ̯	0.198
ˈaː	ˈɔ	0.157
ˈeː	ˈoʊ̯	0.726
ˈeː	ˈʌ	0.095
ˈeː	ˈɔ	0.058
ˈeː	ˈɑ	0.053
ˈeː	ˈɛ	0.053
ˈiɛ̯	ˈi	0.385
ˈiɛ̯	ˈɛ	0.35
ˈiɛ̯	j	0.162
ˈiɛ̯	ˈɝ	0.102
ˈiː	ˈaɪ̯	0.44
ˈiː	ˈi	0.292
ˈiː	ˈɪ	0.1
ˈiː	ˈʌɪ̯	0.093
ˈiː	ˈu	0.075
ˈoː	ˈʌ	0.363
ˈoː	ˈu	0.361
ˈoː	ˈʊ	0.16
ˈoː	ˈoʊ̯	0.116
ˈuə̯	ˈʌ	0.48
ˈuə̯	ˈaʊ̯	0.26
ˈuə̯	ˈʊ	0.26
ˈuː	ˈaʊ̯	0.653
ˈuː	ˈaɪ̯	0.155
ˈuː	ˈu	0.1
ˈuː	ˈʌ	0.092
ˈuːə̯	ˈʌ	0.36
ˈuːə̯	ˈɝ	0.26
ˈuːə̯	ˈɔ	0.2
ˈuːə̯	ˈɑ	0.111
ˈuːə̯	ɹ	0.067
ˈyː	ˈaɪ̯	0.497
ˈyː	ˈɪ	0.305
ˈyː	ˈi	0.198
ˈyːœ̯	ˈoʊ̯	1.0
ˈø	ˈɛ	1.0
ˈøː	ˈi	0.941
ˈøː	ˈɔ	0.059
ˈœː	ˈɔ	0.682
ˈœː	ˈi	0.318
ˈɒː	ˈɛ	1.0
ˈɔ	ˈɑ	0.55
ˈɔ	ˈoʊ̯	0.351
ˈɔ	ˈɛ	0.1
ˈɔː	ˈi	0.358
ˈɔː	ˈeɪ̯	0.205
ˈɔː	ˈoʊ̯	0.156
ˈɔː	ˈu	0.105
ˈɔː	ˈʌ	0.1
ˈɛ	ˈɛ	0.262
ˈɛ	ˈɪ	0.205
ˈɛ	ˈʌɪ̯	0.171
ˈɛ	ˈeɪ̯	0.149
ˈɛ	ˈæ	0.109
ˈɛ	ˈʌ	0.053
ˈɛ	ə	0.051
ˈɛː	ˈɑ	0.381
ˈɛː	ˈæ	0.292
ˈɛː	ˈɝ	0.246
ˈɛː	ˈɛ	0.081
ˈɪ	ˈɪ	0.592
ˈɪ	ˈaɪ̯	0.236
ˈɪ	ˈɛ	0.065
ˈɪə̯	ˈɪ	0.389
ˈɪə̯	ˈaɪ̯	0.235
ˈɪə̯	ˈoʊ̯	0.235
ˈɪə̯	ˈɛ	0.141
ˈɪɛ̯	ˈɛ	0.256
ˈɪɛ̯	ˈeɪ̯	0.128
ˈɪɛ̯	ˈoʊ̯	0.113
ˈɪɛ̯	ˈɑ	0.113
ˈɪɛ̯	ˈɪ	0.113
ˈɪɛ̯	ˈæ	0.109
ˈɪɛ̯	ˈi	0.094
ˈɪɛ̯	ˈɝ	0.076
ˈʊ	ˈʌ	0.824
ˈʊ	ˈaʊ̯	0.092
ˈʊ	ˈʊ	0.084
ˈʏ	ˈɪ	0.703
ˈʏ	ˈoʊ̯	0.212
ˈʏ	ˈʌ	0.085
