French	Spanish	probability
y	ˈu	1.0
z	θ	1.0
ɲ	ɲ	1.0
e	-	0.191
e	e_s	0.301
s	-	0.1
w	ˈu	0.381
ø	o	0.731
ɛ	j_ˈe	0.101
ɛ	ˈe	0.401
n	n_o	0.062
o	o	0.22
o	ˈo	0.302
s	θ	0.262
s	s	0.612
ø	ˈo_s	0.132
ɑ̃	e	0.062
ɑ̃	ˈe	0.622
ɛ̃	n_o	0.352
ʒ	ɟ͡ʝ	0.102
ʒ	-	0.42
b	b	0.853
d	-	0.13
n	-	0.053
v	b	0.713
ə	a	0.113
f	ˈe_β_o	0.134
i	ˈe	0.174
i	ˈi	0.584
l	-	0.294
m	m	0.774
w	ˈe	0.144
œ	w	0.244
ɔ	o	0.334
ɔ̃	o	0.314
ɛ̃	n	0.154
ɛ̃	o	0.494
ɥ	ʧ	0.344
a	ˈe	0.095
e	o	0.055
p	-	0.095
p	p	0.905
u	o	0.335
ɔ	ˈo	0.185
ɡ	ɡ	0.705
ɥ	ˈo	0.25
ʁ	ɾ_a	0.065
a	ˈa	0.356
e	ˈa	0.066
f	f	0.866
j	-	0.276
k	k	0.956
m	m_a	0.226
n	n	0.456
o	ˈa	0.216
w	ˈi	0.136
ø	ˈo	0.136
œ	ˈo	0.756
ɑ̃	ˈa	0.316
ɔ̃	e	0.376
ɥ	ˈu	0.406
ʁ	ɾ_e	0.066
ʃ	k_a	0.186
b	β	0.147
e	ˈa_ɾ	0.307
u	ˈo	0.527
v	β	0.277
w	ˈe_ð	0.07
ə	e	0.887
ɡ	ɣ	0.267
ʁ	ɾ	0.577
a	a	0.428
e	ˈa_ð	0.08
i	j_ˈe	0.068
j	a	0.078
j	x_o	0.138
j	j	0.508
l	l_o	0.118
l	l	0.558
o	ʝ_o	0.218
t	t	0.908
u	ˈo_ð	0.138
ɔ	w_ˈe	0.48
ʃ	k	0.778
d	d	0.839
n	n_a	0.429
w	e	0.269
ɔ̃	ˈo_n	0.309
ɛ	ˈa	0.339
ʁ	ɾ_o	0.079
ʁ	r	0.119
ʒ	x	0.479
