Swedish	Danish	probability
a	ə	0.893
a	-	0.107
b	b̥	1.0
d	ð̞ˠ	0.651
d	d̥	0.274
d	-	0.074
f	f	0.954
h	h	0.949
h	-	0.051
j	j	0.363
j	ɡ̊	0.298
j	-	0.107
j	w	0.095
j	d̥	0.073
j	l	0.064
jː	ˈiː	1.0
k	k	0.486
k	j	0.346
k	ɡ̊	0.094
k	-	0.074
kʰ	kʰ	1.0
kː	k	0.699
kː	-	0.301
l	l	0.756
l	lˀ	0.244
lː	lˀ	0.699
lː	l	0.301
m	m	0.857
m	mˀ	0.132
mː	m	0.781
mː	mˀ	0.219
n	n	0.726
n	nˀ	0.228
nː	n	0.685
nː	nˀ	0.315
p	b̥	0.85
p	p	0.15
pʰ	pʰ	1.0
pː	b̥	0.547
pː	p	0.453
r	ɐ	0.458
r	ʁ	0.431
r	ɐˀ	0.066
rː	ɐ	0.683
rː	ɐˀ	0.317
s	s	1.0
sː	s	1.0
t	ð̞ˠ	0.71
t	t	0.29
tʰ	ʦʰ	0.941
tʰ	ʨ	0.059
tː	ð̞ˠ	0.489
tː	t	0.38
tː	-	0.131
v	ʋ	0.731
v	w	0.182
v	-	0.087
ŋ	ŋ	0.487
ŋ	ŋˀ	0.195
ŋ	jˀ	0.177
ŋ	wˀ	0.141
ŋː	ŋˀ	0.611
ŋː	ŋ	0.389
ɔ	-	1.0
ɕ	kʰ	0.889
ɕ	ʦʰ	0.111
ɖ	-	1.0
ɛ	ɐ	0.567
ɛ	ə	0.211
ɛ	-	0.191
ɡ	-	0.374
ɡ	ɡ̊	0.369
ɡ	j	0.257
ɡː	ɡ̊	1.0
ɧ	k	0.548
ɧ	s	0.452
ɪ	i	0.638
ɪ	-	0.182
ɪ	e	0.18
ɳ	n	0.539
ɳ	ɐˀ_n	0.461
ɳː	ɐˀ	1.0
ɵ	e	0.842
ɵ	ə	0.158
ʂ	s	1.0
ʈ	t	1.0
ʈː	ɐ_t	1.0
ʊ	w	1.0
ˈa	ˈa	0.501
ˈa	ˈɛ	0.191
ˈa	ˈɑ	0.087
ˈa	ˈʌ	0.087
ˈa	ˈɑˀ	0.074
ˈeː	ˈeˀ	0.638
ˈeː	ˈiˀ	0.131
ˈeː	ˈɛ	0.062
ˈeː	ˈeː	0.06
ˈiː	ˈiˀ	0.714
ˈiː	ˈiː	0.173
ˈiː	ˈi	0.113
ˈoː	ˈɔˀ	0.301
ˈoː	ˈɔː	0.216
ˈoː	ˈɒˀ	0.122
ˈoː	ˈœ	0.086
ˈoː	ˈɑ	0.086
ˈoː	ˈʌ	0.086
ˈoː	ˈoˀ	0.053
ˈuː	ˈoˀ	0.587
ˈuː	ˈo	0.346
ˈuː	ˈoː	0.067
ˈyː	ˈyˀ	0.396
ˈyː	ˈiː	0.305
ˈyː	ˈi	0.156
ˈyː	ˈyː	0.144
ˈæ	ˈæ	0.5
ˈæ	ˈɛ	0.5
ˈæː	ˈɛˀ	0.719
ˈæː	ˈɛ	0.199
ˈæː	ɐ	0.082
ˈøː	ˈœˀ	0.462
ˈøː	ˈøː	0.177
ˈøː	ˈeˀ	0.102
ˈøː	ˈœː	0.093
ˈøː	ˈʌˀ	0.068
ˈœ	ˈœ	0.687
ˈœ	ˈœˀ	0.09
ˈœ	j	0.08
ˈœ	ˈe	0.072
ˈœ	ˈuˀ	0.071
ˈœː	ˈøː	0.721
ˈœː	ˈoˀ	0.279
ˈɑː	ˈɑː	0.278
ˈɑː	ˈɑˀ	0.161
ˈɑː	ˈa	0.119
ˈɑː	ˈɑ	0.107
ˈɑː	ˈæˀ	0.073
ˈɑː	ˈɛˀ	0.073
ˈɑː	ˈɔˀ	0.055
ˈɔ	ˈʌ	0.333
ˈɔ	ˈœˀ	0.204
ˈɔ	ˈoː	0.121
ˈɔ	ˈo	0.119
ˈɔ	ˈɔˀ	0.119
ˈɔ	ˈɛ	0.072
ˈɛ	ˈɛ	0.355
ˈɛ	ˈɑ	0.223
ˈɛ	ˈe	0.182
ˈɛ	ˈeˀ	0.128
ˈɛː	ˈɛˀ	0.272
ˈɛː	ˈeˀ	0.262
ˈɛː	ˈɛː	0.183
ˈɛː	ˈa	0.172
ˈɛː	ˈɑˀ	0.111
ˈɪ	ˈe	0.829
ˈɪ	ˈœ	0.115
ˈɵ	ˈɔ	0.378
ˈɵ	ˈu	0.208
ˈɵ	ˈɒ	0.161
ˈɵ	ˈø	0.112
ˈɵ	ˈʌ	0.088
ˈʉː	ˈyˀ	0.351
ˈʉː	ˈuˀ	0.3
ˈʉː	ˈyː	0.182
ˈʉː	ˈuː	0.098
ˈʊ	ˈu	0.268
ˈʊ	ˈɔ	0.268
ˈʊ	ˈʌ	0.268
ˈʊ	ˈo	0.196
ˈʏ	ˈœ	0.408
ˈʏ	ˈy	0.34
ˈʏ	ˈi	0.252
