Sicilian	Sicilian	probability
ˈu_ɾ	ˈu	1.0
ˈo	ˈu	1.0
ˈi_ɾ	ˈe_ð	1.0
ˈi_n	ˈi	1.0
ˈe	ˈe	1.0
ˈa_ʈ	ˈa_j	1.0
ʧː	-	1.0
ʤː	-	1.0
ʤ	-	1.0
ʐː	-	1.0
ʐ	a_r	1.0
ʊ_l	l	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʈ	-	1.0
ʃː	ʃ	1.0
ʃ	e_s	1.0
ɾ_ɪ_#>	#>	1.0
ɾ_n	r	1.0
ɽ_ʊ	e	1.0
ɽ_ɪ	r	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_ɾ	ɾ	1.0
ɡ_ʊ	k	1.0
ɟ	ʒ	1.0
ɕ_ɪ	ʦ	1.0
ŋ	ŋ	1.0
ç	e_h	1.0
z	z	1.0
v_ʊ	w	1.0
v_ɪ_#>	w_#>	1.0
v_i	b_e	1.0
t_ˈa	t_ˈa	1.0
sː	s	1.0
s	s	1.0
o	-	1.0
nː_ɪ	n_d	1.0
n_ˈɔ	n_ˈa	1.0
n_t_ʊ_#>	n_#>	1.0
n_t_ɪ_#>	n_#>	1.0
n_a	ɔ	1.0
mː	-	1.0
m_ɪ_#>	m_#>	1.0
m	m	1.0
l_ʊ_#>	w_#>	1.0
l_ɪ	w	1.0
l	l	1.0
kː	k	1.0
k_ʊ_#>	k_#>	1.0
fː	f	1.0
f	h	1.0
dː	t	1.0
c	p_l	1.0
bː	w	1.0
a_t	a_ð	1.0
a_s	e_s	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_w	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɕ	<#_s	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
#>	s_#>	1.0
k	k	0.914
ˈa	ˈa	0.893
ɖː	t	0.833
b	b	0.833
a	ɔ	0.833
ɪ_#>	#>	0.822
p	p	0.806
d	d	0.8
ɟː	ʎ	0.778
w	w	0.778
tː	t	0.75
ˈɛ	ˈɛ	0.718
u	u	0.7
v	b	0.68
cː	ʎ	0.667
ɡ	ɡ	0.6
p_ʊ_#>	p_#>	0.6
i	e	0.556
t	t	0.55
r	-	0.538
j	ʒ	0.529
ˈu	ˈy	0.523
ɾ	ɾ	0.516
ʦː	ʦ	0.5
ʦː	-	0.5
ɾ_ʊ	ɾ_e	0.5
ɾ_ʊ	e	0.5
ɪ	e	0.5
ɖː_a	ɾ_ɔ	0.5
ɖː_a	l_ɔ	0.5
w_ˈa	ˈa	0.5
w_ˈa	w_ˈa	0.5
nː	ŋ	0.5
nː	m	0.5
n	ŋ	0.5
ˈi	ˈe	0.478
ʊ	j	0.444
ˈi	ˈi	0.435
ɕ	-	0.429
ˈɔ	ˈɔ	0.424
n	n	0.412
ɡ	ɣ	0.4
p_ʊ_#>	#>	0.4
j	-	0.353
t	ð	0.35
ˈu	ˈu	0.341
ʊ	i	0.333
cː	ˈe_ʎ	0.333
v	β	0.32
ˈɔ	ˈu	0.303
u	-	0.3
ɕ	z	0.286
ɕ	s	0.286
i	-	0.278
r	r	0.269
ɾ	r	0.258
tː	j_t	0.25
ɪ	-	0.227
ʊ	w	0.222
ɟː	-	0.222
w	-	0.222
ˈɛ	ˈe	0.205
d	t	0.2
p	β	0.194
r	ɾ	0.192
ˈɔ	w_ˈe	0.182
ɪ	ˈi	0.182
ɖː	l	0.167
i	i	0.167
b	-	0.167
ɾ	-	0.161
a	a	0.136
j	z_ˈa	0.118
ɪ_#>	s_#>	0.111
t	-	0.1
ˈɔ	ˈa_w	0.091
ɪ	d	0.091
n	-	0.088
k	ɣ	0.086
ˈɛ	j_ˈe	0.077
ˈu	u	0.068
ˈu	-	0.068
ɪ_#>	e_#>	0.067
ɾ	ʤ	0.065
