Eastern Lombard	Latin	probability
ˈɛ_r	ˈɛ_rː	1.0
ˈø_l	lʲ_i	1.0
ˈy	ˈuː	1.0
ˈu_n	ˈɔ_n	1.0
ø	-	1.0
y	-	1.0
w	kʷ	1.0
s_t	s_t	1.0
s_p	s_p	1.0
r_k	r_k	1.0
p_ˈɔ	p_ˈɔ	1.0
p_j	p_ɫ	1.0
p	p	1.0
m	m	1.0
l_ˈɛ	lʲ_ˈɪ	1.0
l_s	ɫ_s	1.0
k_ˈa	k_ˈa	1.0
k_r	k_r	1.0
k_a	k_a	1.0
b	b	1.0
a_s	a_k	1.0
r	r	0.933
n	n	0.873
f	f	0.816
t	t	0.746
a	ãː	0.687
ˈɔ	ˈɔ	0.653
ŋ	ŋ	0.604
ʤ	ɡ	0.569
l	ɫ	0.556
ˈi	ˈiː	0.537
d	t	0.528
ʋ	w	0.525
ˈu	ˈoː	0.518
ˈɛ	ˈɛ	0.516
e	ɛ	0.51
ʋ	p	0.475
ˈa	ˈaː	0.471
ˈø	ˈuː	0.467
z	ɡ	0.464
ɡ	k	0.454
ˈa	ˈa	0.45
i	ɪ	0.446
k	k	0.429
o	ɔ	0.428
ˈo	ˈʊ	0.426
ŋ	-	0.396
ɡ	ɡ	0.394
l	lʲː	0.383
ɲ	n_i	0.382
j	ɫ	0.367
k	kː	0.33
ʧ	oː_s	0.312
i	iː	0.311
ʧ	k_t	0.271
ˈø	ˈɔ	0.269
d	d	0.268
ˈe	ˈɛ	0.258
ˈe	ˈeː	0.258
s	k	0.257
ˈɛ	ˈɪ	0.245
ˈo	ˈɔ	0.245
i	eː	0.242
k	kʷ	0.241
ɲ	ŋ_n	0.237
ˈɔ	-	0.234
s	s	0.232
ʤ	ɡ_ɫ	0.224
j	d_i	0.214
ʧ	ɫ	0.208
ʧ	k_ʊ	0.208
ʤ	k	0.206
o	ʊ	0.201
ɲ	n	0.2
s	t_i	0.197
o	-	0.189
ɲ	n_e	0.182
o	oː	0.182
ˈo	ˈau̯	0.173
z	s_i	0.173
j	lʲ_i	0.169
ˈu	ˈʊ	0.165
z	j	0.165
ˈɛ	ˈeː	0.156
ˈo	ˈa	0.156
ɡ	-	0.152
t	tː	0.152
a	a	0.139
d	t_r	0.138
s	sː	0.132
ˈe	ˈɛ_n	0.129
e	ɪ	0.121
ˈu	ˈoː_n	0.12
ˈi	ˈɪ	0.117
ˈi	ˈiː_n	0.114
ˈɔ	ˈʊ	0.113
ˈø	ˈoː	0.11
z	-	0.11
e	r	0.107
ˈe	ˈiː	0.105
ˈe	ˈɪ	0.096
n	ŋ	0.095
e	w_ɛ	0.095
j	ˈiː	0.094
j	i	0.094
e	-	0.09
z	s	0.088
a	aː	0.084
ˈɛ	-	0.083
ˈø	k_ʊ	0.082
ˈu	ˈu	0.079
ˈø	ˈʊ	0.072
d	tʰ	0.066
t	p_t	0.064
j	-	0.063
ˈi	ɛ	0.062
l	lʲ	0.061
f	w_ʊ̃ː	0.061
f	w_ɛ̃ː	0.061
f	b_ɛ	0.061
ˈu	ˈɔ	0.06
ˈu	ˈɔ_n	0.058
ˈi	ˈiː_w	0.058
s	s_k	0.058
ˈi	-	0.055
ˈa	ˈaː_n	0.055
