Aragonese	Spanish	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
m	m	1.0
o	o	1.0
r	r	1.0
ŋ	ŋ	1.0
ɣ	ɣ	1.0
ɲ	ɲ	1.0
ɾ	ɾ	1.0
ʃ	x	1.0
ˈo	ˈo	1.0
β	β	1.0
θ	θ	1.0
n	n	0.921
w	w	0.921
ð	ʝ	0.051
ʎ	ʝ	0.422
ʧ	x	0.882
ˈa	ˈa	0.932
j	-	0.103
j	j	0.83
ð	-	0.153
ʝ	j	0.383
a	a	0.974
l	l	0.874
p	p	0.834
t	t	0.904
u	u	0.764
ˈu	ˈu	0.914
i	i	0.495
i	e	0.505
n	n_t	0.055
ɡ	-	0.115
ɡ	ɡ	0.885
t	ð	0.096
u	o	0.236
ˈu	ˈo	0.086
l	ɟ͡ʝ	0.067
p	β	0.097
s	s	0.977
ð	ð	0.797
ʝ	ð	0.617
e	e	0.938
ʎ	x	0.578
ʧ	θ	0.118
ˈe	ˈe	0.968
p	e_#>	0.069
ˈi	ˈi	0.969
