West Frisian	West Frisian	probability
ˈɪə̯_r	ɐ	1.0
ˈɪə̯_#>	ˈoː_d̥_#>	1.0
ˈɛi̯	-	1.0
ˈɛ_j	ˈɛːɪ̯	1.0
ˈɔː	ˈɑ	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈʏ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈɑʊ̯	1.0
ˈuə̯_r	ɐ	1.0
ˈuə̯	ˈɑʊ̯	1.0
ˈiə̯_n	n	1.0
ˈi_l	ˈɪ_l	1.0
ʋ_ˈaː	v	1.0
ɣ_ə	ɣ̊	1.0
ɣ_j	ɡ	1.0
ɡ	ɡ	1.0
ə_r	ɐ	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
z	ɡ	1.0
t	t	1.0
s_#>	z̥_#>	1.0
r_ˈuː	r	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
m	m	1.0
k	k	1.0
j_ɪ	ɑɪ̯	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d̥	d̥	1.0
d_ə	ɐ	1.0
d	d	1.0
b	b	1.0
<#_ˈɪə̯	<#_ˈoːo̯	1.0
<#_t	<#_d	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
l	l	0.979
ʋ	v	0.889
n	n	0.826
ˈoː	-	0.75
j	-	0.727
ˈɛː	-	0.714
s	s	0.696
ˈeː	-	0.667
ˈuː	ˈuː	0.636
ˈɛ	-	0.6
ˈu	ˈʊ	0.6
ə	n	0.532
χ	χ	0.5
χ	ɣ̊	0.5
r	ɐ	0.467
ˈiː	ˈiː	0.462
ˈɪ	ˈɪ	0.448
ˈa	ˈɑ	0.444
r	r	0.433
ˈi	ˈiː	0.417
v	w	0.417
ˈu	-	0.4
ˈiə̯	-	0.4
#>	ˈɛːɪ̯_#>	0.4
ə	-	0.387
ˈiː	-	0.385
ˈoə̯	ˈoː_ɐ	0.333
ˈeː	ˈæɪ̯	0.333
ˈaː	ˈɒː	0.333
ʦ	t	0.333
ʦ	k	0.333
ʦ	d	0.333
v	v	0.333
ˈɔ	-	0.316
s	z	0.304
#>	v̥_#>	0.3
#>	n_#>	0.3
ˈɪə̯	ˈæɪ̯	0.286
ˈɪə̯	ˈoː	0.286
ˈɛː	ˈʏə̯	0.286
ˈɔ	ˈɔ	0.263
ˈoː	ˈœːy̯	0.25
ˈoə̯	ˈøː	0.25
ˈoə̯	-	0.25
ˈiə̯	ˈæɪ̯	0.25
ˈi	ˈɪ	0.25
ˈi	-	0.25
ˈaː	ˈɑ	0.25
ˈaː	-	0.25
v	-	0.25
ˈa	ˈɑːɑ̯	0.222
ˈa	-	0.222
ˈɔ	ˈʊ	0.211
ˈɪ	-	0.207
ˈɛ	ˈɛ	0.2
ˈɛ	ˈɑː	0.2
ˈuː	ˈʊ	0.182
ˈuː	ˈuːu̯	0.182
n	n_d̥	0.174
ˈoə̯	ˈɒː	0.167
ˈaː	ˈæɪ̯	0.167
ˈiː	ˈɪ	0.154
ˈiə̯	ˈɒː	0.15
ˈɪə̯	ˈɒː	0.143
ˈɪə̯	ˈɑ	0.143
ˈɪə̯	-	0.143
ˈɪ	ˈæɪ̯	0.138
j	ˈeː	0.136
j	j	0.136
ˈa	ˈɛ	0.111
ʋ	v_ˈɒː	0.111
ˈɔ	ˈɪ	0.105
ˈɔ	ˈɛ	0.105
ˈiə̯	ˈɔː	0.1
ˈiə̯	ˈæːɪ̯	0.1
r	ˈɑː_ɐ	0.1
ˈi	ˈiːi̯	0.083
ˈɪ	ˈʏ	0.069
ˈɪ	ˈɪə̯	0.069
ˈɪ	ˈɛə̯	0.069
