Romagnol	Romagnol	probability
ˈɛ̃	j	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈo_s	ˈo_s	1.0
ˈeə̯_l	ˈa_l	1.0
ˈeə̯_#>	ɾ_#>	1.0
ˈe	ˈe	1.0
ˈa	ˈa	1.0
ʤ	ʧ	1.0
ɲ	ɲ	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z_ɐ	θ	1.0
z_u	z	1.0
z_#>	θ_#>	1.0
z	-	1.0
v_ˈa	w_ˈa	1.0
v_ɐ	w	1.0
u_j	u	1.0
u	o	1.0
r_ɐ	a	1.0
p_#>	p_o_#>	1.0
p	p	1.0
n_t	ˈe_n	1.0
n_#>	n_o_#>	1.0
k_#>	k_o_#>	1.0
j̃	n	1.0
f	f	1.0
e	ˈe	1.0
d_ˈɛ	d_ˈi	1.0
a	a	1.0
<#_θ	<#_θ	1.0
<#_ˈɔ	<#_w	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈe	1.0
k	k	0.95
m	m	0.931
r	ɾ	0.875
s	s	0.857
n	n	0.829
ɐ	a	0.817
t_#>	t_o_#>	0.8
ɡ	ɣ	0.786
ʧ	ʎ	0.75
ˈʌ̃	ˈa	0.739
v	β	0.733
ˈeə̯	ˈa	0.727
ˈeː	ˈe	0.7
t	t	0.69
ˈɛ	ˈe	0.68
#>	o_#>	0.653
ˈɛə̯	j_ˈe	0.643
ˈu	ˈu	0.625
ˈou̯	ˈo	0.625
ˈi	ˈi	0.625
l	l	0.594
θ	θ	0.571
ˈɔ	w_ˈe	0.556
ð	ʧ	0.545
b	b	0.524
ˈõũ̯	ˈo_n	0.5
ˈõũ̯	n_o	0.5
j	l	0.467
ˈẽ	ˈi	0.455
ɐ_r	ɾ	0.444
θ	-	0.429
i	i	0.4
d	ð	0.393
d	d	0.393
ˈɔə̯	w_ˈe	0.389
ˈo	ˈu	0.389
ˈu	w_ˈe	0.375
l	ʎ	0.344
ɐ_r	ɾ_o	0.333
ˈeː	j_ˈe	0.3
ˈi	ˈe	0.292
ˈɔə̯	ˈo	0.278
ˈo	w_ˈe	0.278
ˈẽ	ˈe	0.273
ˈẽ	j	0.273
ˈeə̯	ˈa_ɾ	0.273
ð	-	0.273
j	ʎ	0.267
ˈʌ̃	ˈa_n	0.261
ˈou̯	ˈu	0.25
ʧ	k_l	0.25
b	β	0.238
ˈɔə̯	w	0.222
ˈɔ	ˈu_j	0.222
ˈɔ	ˈu	0.222
ɐ_r	ɾ_e	0.222
ˈɛə̯	ˈe	0.214
ɡ	ɡ	0.214
t_#>	#>	0.2
i	o_s	0.2
i	e	0.2
i	-	0.2
ð	ʝ	0.182
t	ð	0.172
ˈɛ	ˈi	0.16
ˈɛə̯	ˈe_j	0.143
s	ʃ	0.143
d	-	0.143
b	-	0.143
v	w	0.133
v	-	0.133
j	u	0.133
j	-	0.133
#>	e_#>	0.133
ˈou̯	w	0.125
n	-	0.114
ˈɔə̯	-	0.111
ˈo	ˈo_m	0.111
ˈo	ˈo	0.111
ˈo	-	0.111
ɐ	e	0.11
b	b_w	0.095
#>	ɾ_#>	0.093
ˈi	j	0.083
ˈɛ	e	0.08
ˈɛ	-	0.08
d	j	0.071
t	j_t	0.069
t	-	0.069
m	b_ɾ	0.069
#>	a_#>	0.067
l	-	0.062
n	e_n	0.057
#>	s_#>	0.053
