Insular North Frisian	Icelandic	probability
ˈʊ_ŋ	ɲ	1.0
ˈɛː	r	1.0
ˈøː	-	1.0
ˈyː_s	sː	1.0
ˈa_ʁ̥	ˈa_r̥	1.0
ʃ	s	1.0
ʁ̥	r̥	1.0
ɣ̥	-	1.0
ɡ	ɟ̊	1.0
ə_m	m_ʏ	1.0
ɐ_n	r_t͡n̥	1.0
ŋ_k	ʰk	1.0
ŋ	ŋ	1.0
ð	ð	1.0
tʲ	θ_ˈɪ	1.0
s_ˈɔ	s	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n_d̥	1.0
m	m	1.0
lʲ	t͡l̥_ʏ	1.0
l_ˈeː	l	1.0
kʰ_n	n̥	1.0
f_ˈɔ	f	1.0
e	-	1.0
d_ɐ	ʰt͡n̥	1.0
b	b̥	1.0
aɪ̯	aːu̯	1.0
h	h	0.871
f	f	0.844
r	r	0.842
ɾ	ð	0.832
ɪ	-	0.757
t	t	0.72
x	-	0.701
d	d̥	0.679
l	l	0.641
k	k	0.625
ˈua̯	ˈœːy̯	0.622
ˈaɪ̯	-	0.62
ˈyː	-	0.597
ə	-	0.596
kʰ	kʰ	0.592
ˈɔ	-	0.537
tʰ	tʰ	0.508
v	v	0.506
ˈeː	-	0.505
ʁ̥_t	ð	0.5
ʁ̥_t	r_ð	0.5
tʰ	θ	0.492
ˈɔ	ˈoːu̯	0.463
ˈœ	-	0.422
kʰ	cʰ	0.408
ə	ʏ	0.404
ˈyː	ˈuː	0.403
ˈiː	ˈiː	0.4
ˈɔː	-	0.384
ˈʊ	ˈu	0.38
ˈaɪ̯	ɣ_ʏ	0.38
ˈua̯	-	0.378
ˈʊ	-	0.375
ˈʏ	ˈuː	0.368
ˈɛ	-	0.367
ɐ	ɪ	0.356
ˈuː	-	0.351
k	c	0.343
ˈɔː	ˈaː	0.326
ˈa	ˈaː	0.323
ˈʏ	ˈʏ	0.322
ˈə	ˈiː	0.305
x	ˈɔu̯	0.299
n	n	0.299
ˈuː	ˈɔ	0.298
ˈoː	ˈœːy̯	0.291
ˈɔː	ˈa	0.29
ˈoː	-	0.29
ˈa	-	0.265
ˈə	-	0.25
ɪ	ɑu̯	0.243
ɐ	r̥	0.243
ˈa	ˈɑu̯	0.235
ˈʏ	-	0.23
ˈə	ˈɪ	0.223
ˈoː	ˈoːu̯	0.222
ç	j	0.215
ç	-	0.215
ç	r̥	0.214
ç	ɡ̊	0.212
v	-	0.203
ˈiː	ˈɛːi̯	0.2
ˈoː	ˈɑːu̯	0.197
ˈeː	ˈɛː	0.197
d	θ	0.197
ˈiː	-	0.196
l	t͡l̥	0.192
n	n_d̥	0.189
ˈœ	ˈʏ	0.184
ˈeː	ˈɪː	0.182
t	ʰt	0.182
ɐ	ʏ	0.18
ˈa	ˈɛ	0.177
ˈuː	ˈa	0.175
ˈuː	r	0.175
v	kʰ_v	0.169
ɾ	nː	0.168
l	l̥	0.167
ˈœ	ˈa	0.158
ˈœ	ˈoːu̯	0.153
ɐ	r	0.149
ç	ɣ	0.143
n	t͡n̥	0.14
ˈʊ	ˈoːu̯	0.13
h	ç	0.129
n	-	0.125
d	t	0.124
ˈiː	j	0.123
v	v_ˈɛː	0.122
ˈeː	ˈa	0.116
ˈʊ	ˈʏ	0.115
ˈɛ	ˈɪ	0.114
n	nː	0.109
ˈə	ˈi	0.107
f	v_a	0.101
ˈɛ	j	0.095
ˈɛ	ˈaːi̯	0.094
ˈɛ	ˈʏ	0.092
ˈɛ	j_ˈoːu̯	0.088
n	n̥	0.086
ˈœ	ˈɪ	0.082
r	r_ˈai̯	0.082
ˈiː	ˈɑːu̯	0.081
ˈʏ	ˈiː	0.08
r	r̥	0.076
ɐ	ɡ̊_ʏ	0.071
ˈə	ˈɛː	0.069
t	ð	0.065
ˈɛ	ˈœ	0.063
f	r̥	0.056
n	ʏ	0.053
