Lithuanian	Lithuanian	probability
̌_d	d̥	1.0
̌	-	1.0
̂_dʲ	ɟ	1.0
̂	-	1.0
ˈ_s_#>	#>	1.0
ˈ_#>	#>	1.0
ʑ	z	1.0
ʊ_ˈ_s_#>	#>	1.0
ʃ	s	1.0
ɫ	ɫ	1.0
ɪ_rʲ	r̩	1.0
ɪ_r	r̩	1.0
ɪ_#>	ɛ_#>	1.0
ɛʊ̯	-	1.0
ɛɪ̯_s	x	1.0
ɕ	s	1.0
ɐʊ̯	u	1.0
ɐɪ̯	-	1.0
ɐ_ˈ	a	1.0
ɐ_s_#>	#>	1.0
ɐ_s	f	1.0
ɐ_r	r_a	1.0
ŋ	-	1.0
æː_̌	ɛ	1.0
æː	-	1.0
z	-	1.0
vʲ	v	1.0
uː_̂	i	1.0
uə̯	-	1.0
tʲ	-	1.0
s_#>	#>	1.0
rʲ	r	1.0
r	r	1.0
pʲ	p	1.0
p	-	1.0
mʲ	m	1.0
kʲ_æː	k_o	1.0
iə̯_̂_ʃ_ʊ	ɾ	1.0
iə̯	ɛ	1.0
dʲ	d	1.0
bʲ	b	1.0
b	b	1.0
aː	-	1.0
<#_ɡ	<#_ɡ	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_kʲ	<#	1.0
ˈ	ˈ	0.786
m	m	0.75
eː	a	0.75
d	d	0.75
v	v	0.714
ɡʲ	ʒ	0.667
t	t	0.667
nʲ	-	0.667
n	n	0.667
oː	a_ˈ	0.625
lʲ	l	0.625
#>	a_#>	0.6
k	k	0.583
ɛ	ɛ_ˈ	0.571
ʒ	z	0.5
ʒ	-	0.5
ɡ	ɡ	0.5
sʲ	s	0.5
iː	i	0.5
iː	-	0.5
aː_̌	o	0.5
<#	<#_j	0.5
ɪ_ˈ	ˈ	0.444
ʊ	-	0.429
k	-	0.417
ɪ	-	0.4
#>	ɛ_#>	0.4
oː	-	0.375
lʲ	ɫ	0.375
ɪ_ˈ	o	0.333
ɡʲ	-	0.333
t	-	0.333
nʲ	u	0.333
n	-	0.333
ɪ	ɛ	0.32
ɡ	ɡ̊	0.3
s	s	0.294
ʊ	u	0.286
ʊ	o	0.286
ɛ	ɛ	0.286
v	-	0.286
ɐ	o_ˈ	0.261
ɐ	a	0.261
sʲ	v	0.25
sʲ	-	0.25
m	-	0.25
eː	-	0.25
d	d̥	0.25
aː_̌	ˈ	0.25
aː_̌	ɔ_ˈ	0.25
<#	<#_ɡ	0.25
<#	<#_d	0.25
s	k	0.235
ɪ_ˈ	t	0.222
ɐ	o	0.217
ˈ	-	0.214
ɡ	-	0.2
s	n	0.176
s	-	0.176
ɛ	-	0.143
ɐ	n	0.13
ɐ	-	0.13
ɪ	o_ˈ	0.12
s	ʦ	0.118
ɪ	o	0.08
ɪ	m	0.08
