Gallurese	Gallurese	probability
ˈu_tː	ˈu	1.0
ˈo_r	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈa_rː	ˈe_ʀ	1.0
ˈa_l	ˈa_w	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	s	1.0
ʦː_i	ɥ	1.0
ʦː	s	1.0
ʦ_a	s_ɔ	1.0
ʤ	j	1.0
ʣ	j	1.0
ɲː	ɲ	1.0
ɡ_u	k	1.0
ŋ	ŋ	1.0
z_u	lː	1.0
tː_u	j	1.0
tː_i	j	1.0
tː	t	1.0
t_a	d_ɔ	1.0
sː	ˈɔ_s	1.0
s_t	t	1.0
s_k	ʧ	1.0
s_i	s_ə	1.0
rː	ʀ	1.0
pː	-	1.0
p_a	b	1.0
n_t	ŋ	1.0
mː	m	1.0
l_t	ˈɔ_ʀ	1.0
kː	k	1.0
j_u	ʤ_ə	1.0
j_#>	#>	1.0
i_d	ˈɪ_j	1.0
i_#>	#>	1.0
fː	f	1.0
e	-	1.0
cː	ʎ	1.0
c	k_l	1.0
a_r	ʀ	1.0
a_#>	#>	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a	<#_œ	1.0
<#	<#_ɒ	1.0
u_#>	#>	0.922
r	ʀ	0.919
f	f	0.9
p	p	0.844
m	m	0.833
b	b	0.812
ɡ	ɡ	0.8
a	ɔ	0.7
ɖː	l	0.688
v	v	0.688
ɟ	ʤ	0.667
o	-	0.667
j	l	0.667
d	-	0.643
<#_l	<#_l	0.625
ˈa	ˈa	0.617
l	l	0.591
k	k	0.579
s	s	0.556
ˈɛ	ˈe	0.552
ɟː	ʤ	0.5
ɟː	j	0.5
t	t	0.476
n	ŋ	0.462
s	ɪ	0.444
#>	ɔ_#>	0.444
ˈu	ˈu	0.435
k	ʧ	0.421
ʧ	s	0.4
<#_l	<#_ʎ	0.375
ˈe	ˈɪ	0.37
i	ə	0.37
ˈɔ	w	0.361
ˈi	ˈi	0.344
ˈɔ	w_ˈɔ	0.333
ɟ	ʤ_ɒ	0.333
o	ə	0.333
n	n	0.333
j	-	0.333
i	-	0.333
#>	ə_#>	0.333
u	ə	0.324
v	vʲ	0.312
ˈo	ˈũ	0.3
ˈo	ˈu	0.3
ˈa	ˈã	0.277
ˈɛ	ˈẽ	0.276
ʧ	-	0.267
ˈu	ˈy	0.261
ˈe	ˈe	0.259
#>	ˈi_#>	0.222
ˈi	ˈɪ	0.219
ˈo	ˈa_w	0.2
ˈo	w	0.2
ɡ	-	0.2
t	ʧ	0.19
t	-	0.19
ɖː	ʎ	0.188
b	v	0.188
i	w	0.185
l	ʀ	0.182
u	ɔ	0.176
ˈɔ	ˈœ	0.167
a	ɒ	0.157
ˈi	ˈĩ	0.156
ˈe	ˈe_j	0.148
ˈe	ʀ_ə	0.148
t	d	0.143
d	z	0.143
d	d	0.143
l	-	0.136
ʧ	ʃ	0.133
ʧ	z	0.133
ˈu	ˈỹ	0.13
n	ˈɔ̃	0.128
ɖː	ʀ	0.125
u	ŋ	0.118
u	u	0.118
u	-	0.118
ˈɛ	ˈɪ̃	0.103
f	-	0.1
ˈi	ˈa	0.094
ˈi	ə	0.094
ˈi	-	0.094
p	b	0.094
l	ˈɔ	0.091
ˈu	w_ˈẽ	0.087
ˈu	w	0.087
ˈɔ	ˈu	0.083
m	mʲ	0.083
m	-	0.083
r	-	0.081
u_#>	w_#>	0.078
n	-	0.077
ˈe	-	0.074
i	ŋ	0.074
d	dʲ	0.071
ˈɛ	ˈa	0.069
ʧ	ʒ	0.067
ˈa	ˈe	0.064
p	-	0.062
u	ʎ	0.059
u	s	0.059
a	-	0.057
ˈɔ	ˈɔ	0.056
