Bavarian	Middle High German	probability
β	b̥	1.0
ˈɛ	ˈɛ	1.0
ˈɒː	ˈɑ	1.0
ˈɒ	ˈɑ	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈuɐ̯	ˈuə̯	1.0
ˈu_j	l	1.0
ˈoɐ̯	ˈei̯	1.0
ˈou̯	ˈoː	1.0
ˈiː	ˈi	1.0
ˈau̯	ˈuː	1.0
ʋ	w	1.0
ʃ_d̥	s_t	1.0
ʃ	ʃ	1.0
ɡ̊_s	x_s	1.0
ɡ̊_r	ɡ_r	1.0
ə	-	1.0
ɑ	ə	1.0
ɐ_n	r_n	1.0
sː	s̻ː	1.0
s_ˈo	s_ˈɑ	1.0
r	r	1.0
l	l	1.0
j_d̥	l_t	1.0
j	l	1.0
h	h	1.0
eː	ɛ	1.0
d̥_ˈo	d_ˈo	1.0
d̥_r	t_r	1.0
b̥͡v̥	p͡f	1.0
b̥	b	0.96
a	ə	0.913
ˈiɐ̯	ˈiə̯	0.882
f	v	0.881
fː	f	0.851
ʦ	ʦ	0.84
m	m	0.821
kʰ	kʰ	0.815
ˈi	ˈi	0.773
ˈo	ˈo	0.771
ˈu	ˈu	0.694
ˈoː	ˈɑː	0.685
ˈe	ˈɛ	0.67
ç	-	0.642
ˈa	-	0.641
ˈai̯	ˈiː	0.599
n	n	0.597
ɐ	r	0.593
x	x	0.588
ˈaː	ˈou̯	0.543
ɡ̊	ɡ	0.541
s	s	0.539
d̥	t	0.509
x	xː	0.412
ŋ	ɡ_ə	0.39
ˈa	ˈɑ	0.359
ç	xː_ə	0.358
ˈai̯	ˈyː	0.333
ˈe	ˈe	0.33
s	s̻	0.321
ɡ̊	kː	0.297
d̥	d	0.288
ˈaː	ˈuː	0.272
ŋ	ŋ_ɡ	0.266
ˈeː	ˈɛ_h	0.258
ɐ	ə_r	0.247
n	ə	0.238
ˈo	ˈɑ	0.229
ˈi	ˈy	0.227
ŋ	ŋ	0.218
ˈeː	ˈeː	0.209
ˈeː	ˈɛ	0.203
ˈeː	ˈe	0.196
kʰ	k	0.185
d̥	d̥	0.179
n	nː	0.165
ˈu	-	0.162
ɡ̊	k	0.162
ʦ	ʦː	0.16
ɐ	r_ə	0.159
ˈoː	ˈo	0.158
ˈoː	-	0.158
fː	fː	0.149
ˈu	ˈy	0.143
ˈeː	ˈøː	0.135
ŋ	ə	0.126
f	f	0.119
ˈiɐ̯	ˈyə̯	0.118
m	b_ə	0.116
ˈaː	ˈæː	0.092
ˈaː	ou̯	0.092
s	s̻ː_ə	0.086
ˈai̯	ˈei̯	0.068
m	mː	0.063
s	s_ə	0.055
