Western Lombard	Sicilian	probability
a	a	1.0
b	b	1.0
i	i	1.0
u	a	1.0
w	w	1.0
ɲ	ɲː	1.0
ˈaː	ˈa	1.0
ˈu	ˈu	1.0
ˈũː	-	1.0
ˈy	ˈu	1.0
ˈø	ˈɔ	1.0
ˈøː	ˈɔ	1.0
e	ɪ	0.971
ʤ	ʤ	0.11
ˈãː	ˈa_n	0.871
d	d	0.232
l	l_ʊ	0.072
p	p_ʊ	0.062
t	t	0.632
ɡ	ɡ	0.332
ˈe	ˈi	0.562
d	t	0.383
f	v_ɪ	0.063
k	k_ʊ	0.183
ʋ	p	0.213
ʧ	ɕ	0.53
ˈi	ˈi	0.673
ˈɔ	ˈɔ	0.823
j	-	0.804
m	m	0.854
n	n	0.884
r	ɾ_ʊ	0.054
r	ɾ_ɪ	0.054
ʦ	ɕ	0.234
ʧ	cː_ʊ	0.374
d	-	0.385
r	-	0.165
ˈɛ	ˈi	0.125
ˈɛ	ˈɛ	0.875
j	ɟː	0.196
l	-	0.066
l	ɖː	0.076
l	ɖː_ʊ	0.226
l	l	0.56
m	m_ɪ	0.146
n	nː	0.116
ʦ	ʦː_ʊ	0.766
ˈa	ˈa_ɾ	0.136
ˈa	ˈa	0.746
f	f	0.937
k	k	0.807
r	r	0.067
s	ʃː	0.17
s	ɕ_ɪ	0.207
s	s	0.607
ʋ	v	0.787
ʧ	tː	0.097
ˈi	ɪ	0.327
ˈɔ	ˈa	0.177
p	p	0.938
ɡ	-	0.668
ˈe	ˈɛ	0.438
r	ɾ	0.529
t	tː	0.149
t	n_t	0.219
ʤ	j	0.89
ˈa	ˈa_r	0.119
ˈãː	ˈa	0.129
