Swabian	Middle High German	probability
ˈɪ	ˈi	1.0
ˈɔə̯	ˈuə̯	1.0
ˈɔe̯	ˈei̯	1.0
ˈɔ	ˈo	1.0
ˈuː	ˈuə̯	1.0
ˈuə̯	ˈuə̯	1.0
ˈeə̯	ˈɛ	1.0
ʕ_n	r_n	1.0
ʕ	r	1.0
ʋ	w	1.0
ʃ_d	s_t	1.0
ʃ	ʃ	1.0
ʁ	r	1.0
ɪ	i	1.0
ɡ_ʁ	ɡ_r	1.0
ɡ_s	x_s	1.0
t	t	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ə	1.0
h	h	1.0
eə̯	ɛ	1.0
e	lː	1.0
b̥͡f	p͡f	1.0
b	b	0.968
ˈa	ˈɑ	0.902
a	ə_n	0.902
m	m	0.845
ˈɛː	ˈɛ	0.833
ˈe	ˈi	0.818
ˈi	ˈi	0.809
ʦ	ʦ	0.781
n	n	0.767
ɡ	ɡ	0.749
ˈəi̯	ˈiː	0.714
ˈiə̯	ˈiə̯	0.714
ˈaː	ˈɑ	0.7
ˈao̯	ˈuː	0.685
f	v	0.659
s	s	0.628
ʌ	ə_r	0.611
ç	x	0.602
l_d	l_t	0.564
x	x	0.56
ˈɔː	ˈɑː	0.546
d	t	0.546
ŋ	ŋ_ɡ	0.523
ˈɛ	ˈɛ	0.519
ˈiː	ˈi	0.511
ˈiː	ˈiə̯	0.489
ŋ	ŋ	0.477
ˈɔː	ˈɑ	0.454
ˈo	ˈo	0.447
ˈu	ˈu	0.444
ˈo	ˈu	0.442
x	xː	0.44
l_d	l_d̥	0.436
ˈae̯	ˈyː	0.421
ˈoː	ˈoː	0.407
ˈeː	-	0.404
ç	xː	0.398
ʌ	r	0.389
ˈu	ˈy	0.333
ˈoː	-	0.327
ˈao̯	ˈou̯	0.315
f	f	0.314
ˈaː	ˈɑ_n	0.3
ˈeː	ˈɛ	0.298
ˈeː	ˈøː	0.298
ˈəi̯	ˈyː	0.286
ˈiə̯	ˈyə̯	0.286
d	d	0.273
ˈoː	ˈo	0.265
s	s̻	0.254
ˈu	-	0.222
ˈae̯	ˈiː	0.221
ʦ	ʦː	0.219
ˈae̯	ˈeː	0.211
ˈɛ	ˈe	0.202
ɡ	kː	0.198
ˈe	-	0.182
ˈɛː	ˈæː	0.167
n	nː	0.158
d	d̥	0.156
ˈɛ	-	0.155
ˈae̯	ˈei̯	0.147
ˈɛ	ˈɑ	0.124
s	s̻ː	0.118
ˈo	-	0.111
ˈa	-	0.098
ˈi	ˈiə̯	0.097
ˈi	ˈy	0.094
m	-	0.079
m	mː	0.076
n	ˈɑː_n	0.074
ɡ	k	0.052
