Galician	Bellunese	probability
a	a	0.443
a	ˈa	0.242
a	-	0.193
a	ˈɛ	0.06
b	v	0.54
b	b	0.448
d	d	0.87
d	t	0.13
e	-	0.335
e	e	0.284
e	ˈa	0.119
e	ˈɛ	0.059
e	i	0.058
f	f	0.959
i	i	0.548
i	e	0.238
i	-	0.159
i	ˈi	0.055
j	-	0.569
j	ˈa	0.219
j	z	0.119
k	k	0.857
k	-	0.103
l	l	0.975
m	m	0.773
m	-	0.118
m	ð	0.072
n	n	0.625
n	ŋ	0.349
o	o	0.751
o	-	0.185
o	ˈɔ	0.064
p	p	0.927
p	-	0.073
r	r	0.937
r	l	0.063
s	s	0.63
s	-	0.142
s	z	0.081
s	θ	0.064
t	t	0.919
t	-	0.068
u	u	0.813
u	o	0.187
v	v	1.0
w	w	0.425
w	-	0.286
w	o	0.22
w	j	0.068
ð	d	0.448
ð	-	0.284
ð	t	0.239
ŋ	ŋ	0.953
ɐ	a	0.905
ɐ	-	0.089
ɡ	ɡ	0.959
ɣ	ɡ	0.95
ɪ	-	0.32
ɪ	e	0.289
ɪ	o	0.214
ɪ	i	0.066
ɪ	a	0.055
ɪ	l	0.055
ɲ	n	0.486
ɲ	ɲ	0.364
ɲ	ŋ	0.15
ɾ	r	0.896
ɾ	-	0.085
ʃ	ð	0.383
ʃ	z	0.373
ʃ	-	0.192
ʃ	s	0.053
ʊ	-	0.573
ʊ	o	0.427
ʎ	ʧ	0.352
ʎ	j	0.281
ʎ	-	0.253
ʧ	p_j	0.365
ʧ	j	0.36
ʧ	ʧ	0.275
ˈa	ˈa	0.968
ˈe	ˈe	0.5
ˈe	e	0.191
ˈe	-	0.115
ˈe	ˈi	0.096
ˈi	ˈi	0.71
ˈi	ˈe	0.16
ˈo	ˈo	0.634
ˈo	ˈu	0.153
ˈo	ˈɔ	0.087
ˈu	ˈu	0.732
ˈu	ˈo	0.165
ˈu	u	0.053
ˈɑ	ˈa	1.0
ˈɔ	ˈɔ	0.603
ˈɔ	ˈo	0.397
ˈɛ	ˈɛ	0.596
ˈɛ	ˈe	0.193
ˈɛ	j_ˈe	0.174
β	v	0.777
β	f	0.095
β	-	0.062
θ	θ	0.368
θ	s	0.352
θ	z	0.18
θ	-	0.088
