East Low German	Nynorsk Norwegian	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_kʰ	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ɾ	1.0
<#_tʰ	<#_tʰ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ˈae̯	<#_ˈæɪ̯	1.0
b_m	ʋ_ɑ	1.0
d	-	1.0
d_#>	#>	1.0
f_#>	ʋ_#>	1.0
h	-	1.0
k_#>	k_#>	1.0
kʰ	ç	1.0
l	l	1.0
l_d	lː_#>	1.0
p	p	1.0
p_#>	p_#>	1.0
r	ɾ	1.0
r_ˈʏ	ɾ_ˈɛ	1.0
s	s	1.0
s_#>	s_#>	1.0
w	ʋ	1.0
x	ʰtː	1.0
x_#>	ɡ_#>	1.0
x_t	ʰtː_e	1.0
æ_#>	ɾ_#>	1.0
ŋ_#>	ŋː	1.0
ɡ	ɡ	1.0
ʃ	ʂ	1.0
ʃ_#>	s_k	1.0
ˈae̯_#>	ˈeː_#>	1.0
ˈaʊ̯_ɾ	ˈuː	1.0
ˈeː	ˈoː	1.0
ˈuː_æ	ˈuː_ɾ	1.0
ˈyː	ˈyː	1.0
ˈɒː_n	ˈoː_n	1.0
ˈɔ	ˈʏ	1.0
ˈɔʏ̯	ˈøː	1.0
ˈɛː	ˈeː	1.0
ˈʊ	ˈʉ	1.0
ˈʏ	ˈʏ	1.0
<#_d	<#_d	0.481
<#_z	<#_ʂ	0.211
l_#>	lː_#>	0.231
t_#>	#>	0.571
ˈa	-	0.091
ˈa	ˈɔ	0.091
ˈa	ˈɑ	0.591
ˈaʊ̯	ˈoː	0.111
ˈaː	ˈɑ_ɾ	0.571
ˈɪ	ˈæɪ̯	0.1
n_#>	ɑ_#>	0.532
<#	<#_ˈɛ	0.273
<#	<#_kʰ	0.273
<#_j	<#_ɡ	0.333
<#_j	<#	0.333
<#_j	<#_j	0.333
<#_ʃ	<#_ʂ	0.3
n_#>	#>	0.213
t	ʰtː	0.143
v	-	0.333
æ	n	0.133
æ	ɾ_ɑ	0.133
æ	ɾ	0.733
ç_#>	ɡː_#>	0.133
ŋ	ŋː_e	0.333
ŋ	ɡ	0.333
ŋ	ɑ	0.333
ˈae̯	ˈʉː	0.263
ˈuː	ˈɔ	0.143
ˈuː	ˈʊ	0.143
<#_d	<#_ç	0.074
<#_d	<#_tʰ	0.444
l_#>	l_e	0.154
m	mː	0.4
n	nː	0.524
ˈiː	ˈyː	0.154
ˈuː	ˈʉː	0.714
ˈɒː	ˈɑː	0.214
ˈɛ	j	0.444
<#	<#_j	0.455
<#_l	<#_j	0.25
<#_l	<#_l	0.75
<#_v	<#	0.375
<#_v	<#_ʋ	0.625
k	k	0.5
k	ç	0.5
l_#>	l_#>	0.615
m_#>	ʋ	0.25
m_#>	#>	0.25
m_#>	m_#>	0.5
n_#>	n_#>	0.255
t	d_#>	0.095
t	tː	0.095
ŋ_k	ŋː_#>	0.5
ŋ_k	ʰkː	0.5
ˈae̯	ˈuː	0.105
ˈae̯	ˈiː	0.105
ˈaʊ̯	ˈuː	0.5
ˈoː	ˈæʉ̯	0.5
ˈoː	ˈoː	0.5
ˈœː	ˈʉː	0.5
ˈœː	ˈɔ	0.5
ˈɒː	ˈoː	0.5
ˈɪ	ˈɛ	0.15
ˈɪ	ˈiː	0.15
m	m_ɑ	0.6
n	n	0.286
ç_#>	#>	0.6
ˈiː	ˈiː	0.846
ˈɒː	ˈɑ	0.286
ˈɛ	ˈɛ	0.556
ˈɪ	ˈɪ	0.6
<#_ʃ	<#_s	0.7
t	t	0.667
v	ʋ	0.667
ç_#>	ɡ_#>	0.267
ˈa	ˈɑː	0.227
ˈae̯	ˈyː	0.158
ˈae̯	ˈæɪ̯	0.368
<#_z	<#_s	0.789
n	n_d	0.19
t_#>	t_#>	0.429
ˈaʊ̯	ˈæʉ̯	0.389
ˈaː	ˈɑː	0.429
