Fuzhounese	Fuzhounese	probability
⁵⁵	⁵⁵	1.0
⁵³	²¹	1.0
⁵	²¹	1.0
ʦ	ʦ	1.0
ʔ_⁵	²¹	1.0
ʔ_²⁴	²¹	1.0
ɥ_ŋ	ŋ	1.0
ɥ	-	1.0
ɛ_j	i	1.0
ɑ_ʔ	ɛ	1.0
ɑ	a	1.0
ŋ_²¹³	n_²¹³	1.0
ø_ɥ_ʔ	u	1.0
ø	o	1.0
³³	⁵³	1.0
²⁴	²¹	1.0
²¹³	²¹³	1.0
y	y	1.0
w_ɔ	a	1.0
w_ɑ	a	1.0
w_ŋ	ŋ	1.0
w_o	ə	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o_w	u	1.0
nˡ_a	n_a	1.0
j_ʔ	ɛ	1.0
j_²⁴²	²¹³	1.0
h	x	1.0
e_w	a_w	1.0
a_ŋ	n	1.0
a_w	ə_w	1.0
<#_l̃	<#_n	1.0
<#	<#_x	1.0
ʦʰ	ʦʰ	0.8
ŋ	n	0.73
a	a	0.722
m	m	0.714
o	a	0.706
ɛ	-	0.7
²⁴²	²¹³	0.7
w	w	0.688
kʰ	kʰ	0.667
s	s	0.636
ɔ	-	0.571
e	-	0.571
k	ʨ	0.545
j	j	0.542
nˡ	ɚ	0.5
nˡ	nʲ	0.5
p	f	0.462
t	t	0.455
k	k	0.455
u	-	0.444
ɔ	ɛ	0.429
e	ɛ	0.429
i	z̩	0.4
i	i	0.4
p	p	0.385
t	ʦ	0.364
s	ɕ	0.364
u	u	0.333
kʰ	ʨʰ	0.333
j	-	0.333
ɛ	i	0.3
²⁴²	⁵³	0.3
m	-	0.286
u	w_ə	0.222
ʦʰ	ʨʰ	0.2
i	-	0.2
w	ɥ	0.188
t	ʦʰ	0.182
o	o	0.176
a	i	0.167
p	pʰ	0.154
ŋ	ŋ	0.135
w	-	0.125
j	i	0.125
o	a_w	0.118
a	-	0.111
ŋ	-	0.081
ŋ	a_n	0.054
