East Frisian Low Saxon	East Frisian Low Saxon	probability
χ	h	1.0
ˈʏə̯	ˈœ	1.0
ˈʏ	-	1.0
ˈʊə̯	-	1.0
ˈɛːɪ̯	-	1.0
ˈɔː	ˈɒː	1.0
ˈɔ_l	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈɒːɒ̯	ˈɒː	1.0
ˈɒː	ˈɒː	1.0
ˈɑːʊ̯	ˈu_ʋ	1.0
ˈɑːɑ̯	ˈɑ	1.0
ˈɑʊ̯	ˈuə̯	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈuə̯	1.0
ˈœy̯	ˈuə̯	1.0
ˈœ	-	1.0
ˈøy̯	ˈuə̯	1.0
ˈæː	ˈiə̯	1.0
ˈyː	-	1.0
ˈuːu̯	ˈyː	1.0
ˈuː	ˈyː	1.0
ˈoːo̯	ˈoː	1.0
ˈoː	ˈoː	1.0
ˈiːi̯	h_ˈi	1.0
ˈeːe̯	ˈeː	1.0
ʊ	ˈuə̯	1.0
ɫ	l	1.0
ɡ̊	-	1.0
ɡ	ɦ	1.0
ɑɪ̯	iə̯	1.0
ɐ_t	ɾ_t	1.0
ɐ_n	ɾ_n	1.0
ɐ	ɾ	1.0
z̥	z̥	1.0
z	z	1.0
w	ʋ	1.0
v̥	v̥	1.0
t	t	1.0
s_k	ʃ_h	1.0
p	p	1.0
o	-	1.0
m	m	1.0
j	-	1.0
f_#>	v_ə_#>	1.0
f	v	1.0
b	b	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
#>	v_ə_#>	1.0
d̥	d̥	0.926
d	d	0.926
n	n	0.9
r	ɾ	0.895
s	s	0.84
ˈiː	ˈi	0.818
v	ʋ	0.818
k	k	0.806
ˈɛ	ˈæ	0.778
ˈɑ	ˈɑ	0.778
ˈeː	ˈeː	0.778
l	l	0.756
ə	-	0.667
ˈɪ	ˈɪ	0.619
ɣ̊	ɦ̥	0.615
ˈʊ	ˈu	0.6
ˈɑː	ˈɑ	0.5
ˈɑː	ˈæ	0.5
ˈøːø̯	ˈøː	0.5
ˈøːø̯	-	0.5
ˈøː	ˈøː	0.5
ˈøː	ˈoː	0.5
ˈæːɪ̯	ˈiə̯	0.5
ˈæːɪ̯	-	0.5
ŋ	ŋ_k	0.5
ŋ	ŋ	0.5
ˈæɪ̯	ˈiə̯	0.438
ˈʊ	ˈɔ	0.4
ə	ɪ	0.333
ˈæɪ̯	ˈɛː	0.312
ɣ̊	ɦ_ə	0.308
ˈæɪ̯	ˈeː	0.25
l	w	0.244
ˈɛ	-	0.222
ˈeː	-	0.222
k	-	0.194
ˈɪ	ˈɛ	0.19
ˈɪ	-	0.19
ˈiː	-	0.182
v	v	0.182
s	z	0.16
ˈɑ	ˈɔ	0.111
ˈɑ	-	0.111
r	ɾ_ˈiə̯	0.105
ɣ̊	ç	0.077
d̥	-	0.074
d	-	0.074
n	n_d	0.071
